A	'a	 a 
Intento	i n t 'e n t o	 i n t 'ɛ n t o 
Feia	f 'e j a	 f 'ɛ j a 
Eines	'e j n e s	 'ɛ j n e s 
Divendres	d i v 'e n d ɾ e s	 d i v 'ɛ n d ɾ e s 
per	p 'e ɾ	 p e ɾ 
ven	v 'e n	 v 'ɛ n 
txec	t ʃ 'e k	 t ʃ 'ɛ k 
tristesa	t ɾ i s t 'e z a	 t ɾ i s t 'ɛ z a 
testimonis	t e s t i m 'ɔ n i s	 t e s t i m 'o n i s 
te	t 'e	 t e 
suspendre	s u s p 'e n d ɾ e	 s u s p 'ɛ n d ɾ e 
seguint	s e ɣ 'i n t	 s e ɣ u 'i n t 
s'hagin	s 'a d ʒ i n	 s 'ɔ d ʒ i n 
s'adonessin	s a ð o n 'e s i n	 s a ð o n 'ɛ s i n 
retrobo	r e t ɾ 'o β o	 r e t ɾ 'ɔ β o 
renda	r 'e n d a	 r 'ɛ n d a 
remei	r e m 'e j	 r e m 'ɛ i 
reduir	r e ð w 'i ɾ	 r e ð u 'i ɾ 
pesca	p 'e s k a	 p 'ɛ s k a 
n'he	n 'e	 n 'ɛ 
mestre	m 'e s t ɾ e	 m 'ɛ s t ɾ e 
menjo	m 'e n d ʒ o	 m 'ɛ n d ʒ o 
membre	m 'e m b ɾ e	 m 'ɛ m b ɾ e 
mantenen	m a n t 'e n e n	 m a n t 'ɛ n e n 
lleixa	ʎ 'e j ʃ a	 ʎ 'ɛ j ʃ a 
l'hem	l 'ɛ m	 a 'e m 
grega	g ɾ 'e ɣ a	 g ɾ 'ɛ ɣ a 
foscos	f 'o s k o s	 f 'ɔ s k o s 
foren	f 'o ɾ e n	 f 'ɔ ɾ e n 
fer-nos	f 'e ɾ n o s	 f 'ɛ ɾ n o s 
fer-li	f 'e ɾ l i	 f 'ɛ ɾ l i 
esperen	a s p 'e ɾ e n	 a s p 'ɛ ɾ e n 
element	e l e m 'e n t	 ɛ l e m 'e n t 
eh	'e	 'ɛ 
dolents	d o l 'e n s	 d o l 'e n t s 
dimoni	d i m 'ɔ n i	 d i m 'o n i 
d'introduir	d i n t ɾ o ð w 'i ɾ	 d i n t ɾ o ð u 'i ɾ 
corren	k 'o r e n	 k 'ɔ r e n 
contribuents	k o n t ɾ i β u 'e n s	 k o n t ɾ i β u 'e n t s 
conec	k o n 'e k	 k o n 'ɛ k 
comparseros	k o m p a ɾ s 'e ɾ o s	 k o m p a ɾ s 'ɛ ɾ o s 
celebra	s e l 'e β ɾ a	 s e l 'ɛ β ɾ a 
caiguda	k a j ɣ 'u ð a	 k a i ɣ 'u ð a 
bàsquet	b 'a s k e t	 b a s k 'e t 
buits	b w 'i t s	 b d ʒ 'i t s 
bec	b 'e k	 b 'ɛ k 
admetre	a d m 'e t ɾ e	 a d m 'ɛ t ɾ e 
Volen	v 'o l e n	 v 'ɔ l e n 
Tens	t 'e n s	 t 'ɛ n s 
Sota	s 'o t a	 s 'ɔ t a 
Pontevedra	p o n t e v 'e ð ɾ a	 p o n t e v 'ɛ ð ɾ a 
Pels	p 'e l s	 p 'ɛ l s 
Menjo	m 'e n d ʒ o	 m 'ɛ n d ʒ o 
L'havien	l a v 'i e n	 ʎ a v 'i e n 
Espero	a s p 'e ɾ o	 a s p 'ɛ ɾ o 
Començo	k o m 'e n s o	 k o m 'ɛ n s o 
Centre	s 'e n t ɾ e	 s 'ɛ n t ɾ e 
univers	u n i v 'ɛ ɾ s	 u n i v 'e ɾ s 
transforma	t ɾ a n s f 'o ɾ m a	 t ɾ a n s f 'ɔ ɾ m a 
trametre	t ɾ a m 'e t ɾ e	 t ɾ a m 'ɛ t ɾ e 
tonto	t 'o n t o	 t 'ɔ n t o 
testimoni	t e s t i m 'ɔ n i	 t e s t i m 'o n i 
tecles	t 'e k l e s	 t 'ɛ k l e s 
te'n	t 'e n	 t 'ɛ n 
t'ho	t 'o	 t 'i 
sofre	s 'o f ɾ e	 s 'ɔ f ɾ e 
sisena	s i z 'e n a	 s i s 'e n a 
seqüeles	s e k w 'ɛ l e s	 s e k 'ɛ l e s 
seda	s 'e ð a	 s 'ɛ ð a 
sec	s 'e k	 s 'ɛ k 
sanefes	s a n 'e f e s	 s a n 'ɛ f e s 
sanefa	s a n 'e f a	 s a n 'ɛ f a 
s'accepten	s a k s 'e p t e n	 s a k s 'ɛ p t e n 
ronda	r 'o n d a	 r 'ɔ n d a 
riquesa	r i k 'e z a	 r i k 'ɛ z a 
rere	r 'e ɾ e	 r 'ɛ ɾ e 
refresco	r e f ɾ 'e s k o	 r e f ɾ 'ɛ s k o 
reformes	r e f 'o ɾ m e s	 r e f 'ɔ ɾ m e s 
recorre	r e k 'o r e	 r e k 'ɔ r e 
pàrquing	p 'a ɾ k i ŋ k	 p a ɾ k 'i ŋ k 
produint	p ɾ o ð w 'i n t	 p ɾ o ð u 'i n t 
presta	p ɾ 'e s t a	 p ɾ 'ɛ s t a 
presses	p ɾ 'e s e s	 p ɾ 'ɛ s e s 
presents	p ɾ e z 'e n s	 p ɾ e z 'e n t s 
presento	p ɾ e z 'e n t o	 p ɾ e z 'ɛ n t o 
poguessin	p o ɣ 'e s i n	 p o ɣ 'ɛ s i n 
poemes	p o 'e m e s	 p o 'ɛ m e s 
pesos	p 'e z o s	 p 'ɛ z o s 
perdre's	p 'ɛ ɾ ð ɾ e s	 p e ɾ ð ɾ 'ɛ s 
penja	p 'e n d ʒ a	 p 'ɛ n d ʒ a 
pengen	p 'e n d ʒ e n	 p 'ɛ n d ʒ e n 
passegen	p a s 'e d ʒ e n	 p a s 'ɛ d ʒ e n 
participants	p a ɾ t i s i p 'a n s	 p a ɾ t i s i p 'a n t s 
ordres	'o ɾ ð ɾ e s	 'ɔ ɾ ð ɾ e s 
omple	'o m p l e	 'ɔ m p l e 
ombres	'o m b ɾ e s	 'ɔ m b ɾ e s 
n'estava	n a s t 'a v a	 n e s t 'a v a 
mengen	m 'e n d ʒ e n	 m 'ɛ n d ʒ e n 
megues	m 'e ɣ e s	 m 'ɛ ɣ e s 
matrimoni	m a t ɾ i m 'ɔ n i	 m a t ɾ i m 'o n i 
l'hagués	l a ɣ 'e s	 ʎ a ɣ 'e s 
l'alcohol	l a l k o 'o l	 l a l k o 'a l 
immenses	i m m 'e n s e s	 i m m 'ɛ n s e s 
immensa	i m m 'e n s a	 i m m 'ɛ n s a 
haver-la	a v 'e ɾ l a	 a v 'ɛ ɾ l a 
haver-hi	a v 'e ɾ i	 a v 'ɛ ɾ i 
guants	g w 'a n s	 g w 'a n t s 
grecs	g ɾ 'e k s	 g ɾ 'ɛ k s 
grec	g ɾ 'e k	 g ɾ 'ɛ k 
golfes	g 'o l f e s	 g 'ɔ l f e s 
gespa	d ʒ 'e s p a	 g s p a 
gasoil	g a z 'ɔ j l	 g a z o 'i l 
fronts	f ɾ 'o n s	 f ɾ 'o n t s 
frescos	f ɾ 'e s k o s	 f ɾ 'ɛ s k o s 
frego	f ɾ 'e ɣ o	 f ɾ 'ɛ ɣ o 
freds	f ɾ 'e t s	 f ɾ 'ɛ d s 
francesos	f ɾ a n s 'e z o s	 f ɾ a n s 'ɛ z o s 
fotre	f 'o t ɾ e	 f 'ɔ t ɾ e 
fer-ne	f 'e ɾ n e	 f 'ɛ ɾ n e 
fer-la	f 'e ɾ l a	 f 'ɛ ɾ l a 
fem-ho	f 'e m o	 f 'ɛ m o 
feblesa	f e β l 'e z a	 f e β l 'ɛ z a 
exempts	e g z 'e m t s	 e g z 'ɛ m p t s 
estàndard	a s t 'a n d a ɾ t	 a s t a n d 'a ɾ t 
estranyesa	a s t ɾ a ɲ 'e z a	 a s t ɾ a ɲ 'ɛ z a 
estesa	a s t 'e z a	 a s t 'ɛ z a 
espongiformes	a s p o n d ʒ i f 'o ɾ m e s	 a s p o n d ʒ i f 'ɔ ɾ m e s 
escolta	a s k 'o l t a	 a s k 'ɔ l t a 
escletxa	a s k l 'e t ʃ a	 a s k l 'ɛ t ʃ a 
entrega	a n t ɾ 'e ɣ a	 a n t ɾ 'ɛ ɣ a 
entesos	a n t 'e z o s	 a n t 'ɛ z o s 
enquestes	a ŋ k 'e s t e s	 a ŋ k 'ɛ s t e s 
enquesta	a ŋ k 'e s t a	 a ŋ k 'ɛ s t a 
empremtes	a m p ɾ 'e m t e s	 a m p ɾ 'ɛ m t e s 
elèctrics	e l 'ɛ k t ɾ i k s	 e l e k t ɾ 'i k s 
dínars	d 'i n a ɾ s	 d i n 'a ɾ s 
dècada	d 'ɛ k a ð a	 d e k 'a ð a 
drapaire	d ɾ a p 'a j ɾ e	 d ɾ a p a 'i ɾ e 
digui'm	d 'i ɣ i m	 d i ɣ 'i m 
difondre	d i f 'o n d ɾ e	 d i f 'ɔ n d ɾ e 
d'hores	d 'ɔ ɾ e s	 d i 'o ɾ e s 
d'homes	d 'ɔ m e s	 d u 'o m e s 
còctels	k 'ɔ k t e l s	 k o k t 'ɛ l s 
curtcircuit	k u ɾ t s i ɾ k w 'i t	 k u ɾ t s 'i ɾ k 'u 'i t 
creua	k ɾ 'e w a	 k ɾ 'ɛ w a 
conca	k 'o ŋ k a	 k 'ɔ ŋ k a 
comte	k 'o m t e	 k 'ɔ m t e 
compren	k 'o m p ɾ e n	 k 'ɔ m p ɾ e n 
comenten	k o m 'e n t e n	 k o m 'ɛ n t e n 
colze	k 'o l z e	 k 'ɔ l z e 
ceptre	s 'e p t ɾ e	 s 'ɛ p t ɾ e 
cegues	s 'e ɣ e s	 s 'ɛ ɣ e s 
brolla	b ɾ 'o ʎ a	 b ɾ 'ɔ ʎ a 
bots	b 'o t s	 b 'ɔ t s 
bosses	b 'o s e s	 b 'ɔ s e s 
borsa	b 'o ɾ s a	 b 'ɔ ɾ s a 
borda	b 'o ɾ ð a	 b 'ɔ ɾ ð a 
bolígrafs	b o l 'i ɣ ɾ a f s	 b o l i ɣ ɾ 'a f s 
boixedes	b o j ʃ 'e ð e s	 b o j ʃ 'ɛ ð e s 
beca	b 'e k a	 b 'ɛ k a 
assumptes	a s 'u m t e s	 a s 'u m p t e s 
assumpte	a s 'u m t e	 a s 'u m p t e 
anècdotes	a n 'ɛ g d o t e s	 a n e g d 'ɔ t e s 
anglesa	a ŋ g l 'e z a	 a ŋ g l 'ɛ z a 
ampolles	a m p 'o ʎ e s	 a m p 'ɔ ʎ e s 
aimara	a j m 'a ɾ a	 a i m 'a ɾ a 
agafant-me	a ɣ a f 'a m m e	 a ɣ a f 'a n d m e 
accepto	a k s 'e p t o	 a k s 'ɛ p t o 
Verds	v 'ɛ ɾ t s	 v 'ɛ ɾ i s 
Torre	t 'o r e	 t 'ɔ r e 
Tornes	t 'o ɾ n e s	 t 'ɔ ɾ n e s 
Tenen	t 'e n e n	 t 'ɛ n e n 
Temps	t 'e m s	 t 'ɛ m p s 
Serveis	s e ɾ v 'e j s	 s e ɾ v 'ɛ i s 
Ribagorça	r i β a ɣ 'o ɾ s a	 r i β a ɣ 'ɔ ɾ s a 
Perdoni	p e ɾ ð 'ɔ n i	 p e ɾ ð 'o n i 
Noruega	n o ɾ u 'e ɣ a	 n o ɾ u 'ɛ ɣ a 
Naturalesa	n a t u ɾ a l 'e z a	 n a t u ɾ a l 'ɛ z a 
Mig	m 'i t ʃ	 m 'i k 
Me	m 'e	 m e 
Maresme	m a ɾ 'e z m e	 m a ɾ 'ɛ z m e 
Llei	ʎ 'e j	 ʎ 'ɛ i 
Güell	g w 'e ʎ	 g 'e ʎ 
Formes	f 'o ɾ m e s	 f 'ɔ ɾ m e s 
Escolta	a s k 'o l t a	 a s k 'ɔ l t a 
Eivissa	e j v 'i s a	 e i v 'i s a 
Dones	d 'ɔ n e s	 d 'o n e s 
Dimecres	d i m 'e k ɾ e s	 d i m 'ɛ k ɾ e s 
Descarrega't	d e s k a r 'e ɣ a t	 d e s k a r e ɣ 'a t 
Del	d 'e l	 d e l 
Celoni	s e l 'ɔ n i	 s e l 'o n i 
Camps	k 'a m s	 k 'a m p s 
per	p 'e ɾ	 p e ɾ 
Volen	v 'o l e n	 v 'ɔ l e n 
Hi	'i	 i 
De	d 'e	 d e 
xops	t ʃ 'o p s	 t ʃ 'ɔ p s 
vinguessis	v i ŋ g 'e s i s	 v i ŋ g u 'ɛ s i s 
vents	v 'e n s	 v 'e n t s 
vendre	v 'e n d ɾ e	 v 'ɛ n d ɾ e 
tornem-hi	t o ɾ n 'e m i	 t o ɾ n 'ɛ m i 
tenda	t 'e n d a	 t 'ɛ n d a 
seny	s 'e ɲ	 s 'ɛ ɲ 
sens	s 'e n s	 s 'ɛ n s 
seguien	s e ɣ 'i e n	 s e ɣ u 'i e n 
s'escapava	s a s k a p 'a v a	 s e s k a p 'a v a 
s'encarregarà	s a ŋ k a r e ɣ a ɾ 'a	 s e ŋ k a r e ɣ a ɾ 'a 
retorna	r e t 'o ɾ n a	 r e t 'ɔ ɾ n a 
resten	r 'e s t e n	 r s t e n 
reiterada	r e i t e ɾ 'a ð a	 r e j t e ɾ 'a ð a 
presumpte	p ɾ e z 'u m t e	 p ɾ e z 'u m p t e 
prenen	p ɾ 'e n e n	 p ɾ 'ɛ n e n 
pop	p 'o p	 p 'ɔ p 
polonesa	p o l o n 'e z a	 p o l o n 'ɛ z a 
poder-hi	p o ð 'e ɾ i	 p o ð 'ɛ ɾ i 
plaers	p l a 'ɛ ɾ s	 p l a 'e ɾ s 
pinedes	p i n 'e ð e s	 p i n 'ɛ ð e s 
pessigolles	p e s i ɣ 'o ʎ e s	 p e s i ɣ 'ɔ ʎ e s 
permesa	p e ɾ m 'e z a	 p e ɾ m 'ɛ z a 
penses	p 'e n s e s	 p 'ɛ n s e s 
pegues	p 'e ɣ e s	 p 'ɛ ɣ e s 
ombra	'o m b ɾ a	 'ɔ m b ɾ a 
oi	'ɔ j	 'o i 
nèctar	n 'ɛ k t a ɾ	 n e k t 'a ɾ 
mossec	m o s 'e k	 m o s 'ɛ k 
morro	m 'o r o	 m 'ɔ r o 
molesta	m o l 'e s t a	 m o l 'ɛ s t a 
metres	m 'e t ɾ e s	 m 'ɛ t ɾ e s 
maduresa	m a ð u ɾ 'e z a	 m a ð u ɾ 'ɛ z a 
m'havien	m a v 'i e n	 m e a v 'i e n 
l'himne	l 'i m n e	 a 'i m n e 
irrompre	i r 'o m p ɾ e	 i r 'ɔ m p ɾ e 
impresos	i m p ɾ 'e z o s	 i m p ɾ 'ɛ z o s 
honest	o n 'e s t	 o n 'ɛ s t 
himne	'i m n e	 u 'i m n e 
grotesc	g ɾ o t 'e s k	 g ɾ o t 'ɛ s k 
fruita	f ɾ w 'i t a	 f ɾ d ʒ 'i t a 
fonda	f 'o n d a	 f 'ɔ n d a 
fleca	f l 'e k a	 f l 'ɛ k a 
fer-te	f 'e ɾ t e	 f 'ɛ ɾ t e 
feble	f 'e β l e	 f 'ɛ β l e 
elefants	e l e f 'a n s	 e l e f 'a n t s 
distendre	d i s t 'e n d ɾ e	 d i s t 'ɛ n d ɾ e 
dirigents	d i ɾ i d ʒ 'e n s	 d i ɾ i d ʒ 'e n t s 
dirhams	d i ɾ 'a m s	 d i ɾ a 'a m s 
desmai	d e z m 'a j	 d e z m 'a i 
deshidratades	d e s i ð ɾ a t 'a ð e s	 d e z i ð ɾ a t 'a ð e s 
descomptes	d e s k 'o m t e s	 d e s k 'ɔ m p t e s 
descompte	d e s k 'o m t e	 d e s k 'ɔ m p t e 
depenen	d e p 'e n e n	 d e p 'ɛ n e n 
creuen	k ɾ 'e w e n	 k ɾ 'ɛ w e n 
corro	k 'o r o	 k 'ɔ r o 
copa	k 'o p a	 k 'ɔ p a 
concentren	k o n s 'e n t ɾ e n	 k o n s 'ɛ n t ɾ e n 
comprometre	k o m p ɾ o m 'e t ɾ e	 k o m p ɾ o m 'ɛ t ɾ e 
compres	k 'o m p ɾ e s	 k 'ɔ m p ɾ e s 
certesa	s e ɾ t 'e z a	 s e ɾ t 'ɛ z a 
bolonyesa	b o l o ɲ 'e z a	 b o l o ɲ 'ɛ z a 
beques	b 'e k e s	 b 'ɛ k e s 
arruinats	a r w i n 'a t s	 a r i i n 'a t s 
aquesta	a k 'e s t a	 a k 'ɛ s t a 
afronta	a f ɾ 'o n t a	 a f ɾ 'ɔ n t a 
adonar-me'n	a ð o n 'a ɾ m e n	 a ð o n a ɾ m 'ɛ n 
accepten	a k s 'e p t e n	 a k s 'ɛ p t e n 
absort	a p s 'ɔ ɾ t	 a p s 'o ɾ t 
Ui	w 'i	 ' u i 
Tota	t 'o t a	 t 'ɔ t a 
Sec	s 'e k	 s 'ɛ k 
Se'm	s 'e m	 s 'ɛ m 
Ronda	r 'o n d a	 r 'ɔ n d a 
Queda	k 'e ð a	 k 'ɛ ð a 
Port	p 'ɔ ɾ t	 p 'o ɾ t 
Nord	n 'ɔ ɾ t	 n 'o ɾ t 
Ginebra	d ʒ i n 'e β ɾ a	 d ʒ i n 'ɛ β ɾ a 
Engega	a n d ʒ 'e ɣ a	 a n d ʒ 'ɛ ɣ a 
Deixa	d 'e j ʃ a	 d 'ɛ j ʃ a 
Conec	k o n 'e k	 k o n 'ɛ k 
ítems	'i t e m s	 i t 'e m s 
àrab	'a ɾ a p	 'a ɾ a β 
que	k 'e	 k e 
quants	k w 'a n s	 k w 'a n t s 
eh	'e	 'ɛ 
Us	'u s	 u s 
Que	k 'e	 k e 
Quants	k w 'a n s	 k w 'a n t s 
La	l 'a	 l a 
En	'e n	 e n 
xopa	t ʃ 'o p a	 t ʃ 'ɔ p a 
xop	t ʃ 'o p	 t ʃ 'ɔ p 
xinesa	t ʃ i n 'e z a	 t ʃ i n 'ɛ z a 
xeics	t ʃ 'e j k s	 t ʃ e 'i k s 
xef	t ʃ 'e f	 t ʃ 'ɛ f 
xai	t ʃ 'a j	 t ʃ 'a i 
vuitens	v w i t 'e n s	 v w i t 'ɛ n s 
vodka	v 'o t k a	 v 'ɔ ð k a 
virrei	v i r 'e j	 v i r 'ɛ i 
vingueren	v i ŋ g 'e ɾ e n	 v i ŋ g 'ɛ ɾ e n 
vigents	v i d ʒ 'e n s	 v i d ʒ 'e n t s 
vespres	v 'e s p ɾ e s	 v 'ɛ s p ɾ e s 
verds	v 'ɛ ɾ t s	 v 'ɛ ɾ i s 
vendre'ns	v 'e n d ɾ e n s	 v e n d ɾ 'ɛ n s 
vendre'ls	v 'e n d ɾ e l s	 v e n d ɾ 'ɛ l s 
vellesa	v e ʎ 'e z a	 v e ʎ 'ɛ z a 
valoren	v a l 'o ɾ e n	 v a l 'ɔ ɾ e n 
validesa	v a l i ð 'e z a	 v a l i ð 'ɛ z a 
valents	v a l 'e n s	 v a l 'e n t s 
urgents	u ɾ d ʒ 'e n s	 u ɾ d ʒ 'e n t s 
uniforme	u n i f 'o ɾ m e	 u n i f 'ɔ ɾ m e 
txecs	t ʃ 'e k s	 t ʃ 'ɛ k s 
tsars	t s 'a ɾ s	 a z 'a ɾ s 
truites	t ɾ w 'i t e s	 t ɾ d ʒ 'i t e s 
truita	t ɾ w 'i t a	 t ɾ d ʒ 'i t a 
tronxos	t ɾ 'o n t ʃ o s	 t ɾ 'ɔ n t ʃ o s 
trontolla	t ɾ o n t 'o ʎ a	 t ɾ o n t 'ɔ ʎ a 
trobadoresca	t ɾ o β a ð o ɾ 'e s k a	 t ɾ o β a ð o ɾ 'ɛ s k a 
trilingües	t ɾ i l 'i ŋ g w e s	 t ɾ i l 'i ŋ g e s 
treuen	t ɾ 'e w e n	 t ɾ 'ɛ w e n 
trepig	t ɾ e p 'i t ʃ	 t ɾ e p 'i ɣ 
trepants	t ɾ e p 'a n s	 t ɾ e p 'a n t s 
trec	t ɾ 'e k	 t ɾ 'ɛ k 
trasplantessin	t ɾ a s p l a n t 'e s i n	 t ɾ a s p l a n t 'ɛ s i n 
transmetre	t ɾ a n z m 'e t ɾ e	 t ɾ a n z m 'ɛ t ɾ e 
transmeto	t ɾ a n z m 'e t o	 t ɾ a n z m 'ɛ t o 
transmetent-me	t ɾ a n z m e t 'e m m e	 t ɾ a n z m e t 'ɛ n d m e 
transmeten	t ɾ a n z m 'e t e n	 t ɾ a n z m 'ɛ t e n 
transcorre	t ɾ a n s k 'o r e	 t ɾ a n s k 'ɔ r e 
traficants	t ɾ a f i k 'a n s	 t ɾ a f i k 'a n t s 
tova	t 'o v a	 t 'ɔ v a 
totxo	t 'o t ʃ o	 t 'ɔ t ʃ o 
totes	t 'o t e s	 t 'ɔ t e s 
tot	t 'o t	 t 'ɔ t 
torre	t 'o r e	 t 'ɔ r e 
torero	t o ɾ 'e ɾ o	 t o ɾ 'ɛ ɾ o 
topen	t 'o p e n	 t 'ɔ p e n 
tomba	t 'o m b a	 t 'ɔ m b a 
tirallongues	t i ɾ a ʎ 'o ŋ g e s	 t i ɾ a ʎ 'ɔ ŋ g e s 
tirallonga	t i ɾ a ʎ 'o ŋ g a	 t i ɾ a ʎ 'ɔ ŋ g a 
tinerfenya	t i n e ɾ f 'e ɲ a	 t i n e ɾ f 'ɛ ɲ a 
testos	t 'e s t o s	 t 'ɛ s t o s 
testa	t 'e s t a	 t 'ɛ s t a 
terraqüi	t e r 'a k w i	 t e r 'a k i 
tempteig	t e m t 'e t ʃ	 t e m p t 'e t ʃ 
teclegen	t e k l 'e d ʒ e n	 t e k l 'ɛ d ʒ e n 
te'm	t 'e m	 t 'ɛ m 
te'l	t 'e l	 t 'ɛ l 
tangents	t a n d ʒ 'e n s	 t a n d ʒ 'e n t s 
t'hagis	t 'a d ʒ i s	 t 'ɔ d ʒ i s 
t'estimes	t a s t 'i m e s	 t e s t 'i m e s 
t'estima	t a s t 'i m a	 t e s t 'i m a 
t'estic	t a s t 'i k	 t e s t 'i k 
t'enyoro	t e ɲ 'o ɾ o	 t e ɲ 'ɔ ɾ o 
t'ensenyen	t a n s 'e ɲ e n	 t e n s 'ɛ ɲ e n 
t'ensenyaré	t a n s e ɲ a ɾ 'e	 t e n s e ɲ a ɾ 'e 
súpers	s 'u p e ɾ s	 s u p 'e ɾ s 
sòlids	s 'ɔ l i t s	 s o l i 'a s 
successos	s u k s 'e s o s	 s u k s 'ɛ s o s 
subministressin	s u b m i n i s t ɾ 'e s i n	 s u b m i n i s t ɾ 'ɛ s i n 
subhasta	s u β 'a s t a	 s u β u 'a s t a 
subgrup	s u b g ɾ 'u p	 s u β ɣ ɾ 'u p 
sotmetre	s o d m 'e t ɾ e	 s o d m 'ɛ t ɾ e 
sotmesos	s o d m 'e z o s	 s o d m 'ɛ z o s 
sospesen	s o s p 'e z e n	 s o s p 'ɛ z e n 
sospesa	s o s p 'e z a	 s o s p 'ɛ z a 
sorna	s 'o ɾ n a	 s 'ɔ ɾ n a 
sopes	s 'o p e s	 s 'ɔ p e s 
sopen	s 'o p e n	 s 'ɔ p e n 
sopa	s 'o p a	 s 'ɔ p a 
solemnes	s o l 'e m n e s	 s o l 'ɛ m n e s 
silvestres	s i l v 'e s t ɾ e s	 s i l v 'ɛ s t ɾ e s 
servents	s e ɾ v 'e n s	 s e ɾ v 'e n t s 
serps	s 'e ɾ p s	 s 'ɛ ɾ p s 
serp	s 'e ɾ p	 s 'ɛ ɾ p 
serens	s e ɾ 'e n s	 s e ɾ 'ɛ n s 
ser-ho	s 'e ɾ o	 s 'ɛ ɾ o 
ser-hi	s 'e ɾ i	 s 'ɛ ɾ i 
seques	s 'e k e s	 s 'ɛ k e s 
sents	s 'e n s	 s 'e n t s 
sentint-me	s e n t 'i m m e	 s e n t 'i n d m e 
senten	s 'e n t e n	 s 'ɛ n t e n 
sempre	s 'e m p ɾ e	 s 'ɛ m p ɾ e 
semblessin	s e m b l 'e s i n	 s e m b l 'ɛ s i n 
seitons	s e j t 'o n s	 s e i t 'o n s 
seduir	s e ð w 'i ɾ	 s e ð u 'i ɾ 
secs	s 'e k s	 s 'ɛ k s 
salts	s 'a l s	 s 'a l t s 
salpebra	s a l p 'e β ɾ a	 s a l p 'ɛ β ɾ a 
sahrauí	s a ɾ a w 'i	 s a r a w 'i 
s'oposen	s o p 'o z e n	 s o p 'ɔ z e n 
s'executen	s e g z e k 'u t e n	 s e k s e k 'u t e n 
s'esperava	s a s p e ɾ 'a v a	 s e s p e ɾ 'a v a 
s'espera	s a s p 'e ɾ a	 s e s p 'e ɾ a 
s'especifiquen	s a s p e s i f 'i k e n	 s e s p e s i f 'i k e n 
s'espantin	s a s p 'a n t i n	 s e s p 'a n t i n 
s'esforçava	s a s f o ɾ s 'a v a	 s e s f o ɾ s 'a v a 
s'escoltà	s a s k o l t 'a	 s e s k o l t 'a 
s'equivoquen	s e k i v 'o k e n	 s e k i v 'ɔ k e n 
s'ensenyen	s a n s 'e ɲ e n	 s e n s 'ɛ ɲ e n 
s'enlairaria	s a n l a j ɾ a ɾ 'i a	 s e n l a j ɾ a ɾ 'i a 
s'enganxen	s a ŋ g 'a n t ʃ e n	 s e ŋ g 'a n t ʃ e n 
s'endugui	s a n d 'u ɣ i	 s e n d 'u ɣ i 
s'encén	s a n s 'e n	 s e n s 'e n 
s'encarrega	s a ŋ k a r 'e ɣ a	 s e ŋ k a r 'ɛ ɣ a 
s'emporti	s a m p 'ɔ ɾ t i	 s e m p 'ɔ ɾ t i 
s'emmiralla	s a m m i ɾ 'a ʎ a	 s e m m i ɾ 'a ʎ a 
s'embolica	s a m b o l 'i k a	 s e m b o l 'i k a 
s'amaguessin	s a m a ɣ 'e s i n	 s a m a ɣ 'ɛ s i n 
s'alimenten	s a l i m 'e n t e n	 s a l i m 'ɛ n t e n 
s'aixequen	s a j ʃ 'e k e n	 s a j ʃ 'ɛ k e n 
s'adonen	s a ð 'o n e n	 s a ð 'ɔ n e n 
ruixar	r u j ʃ 'a ɾ	 r i ʃ 'a ɾ 
rotonda	r o t 'o n d a	 r o t 'ɔ n d a 
ronden	r 'o n d e n	 r 'ɔ n d e n 
ronca	r 'o ŋ k a	 r 'ɔ ŋ k a 
rodolen	r o ð 'o l e n	 r o ð 'ɔ l e n 
rodejant-ne	r o ð e d ʒ 'a n n e	 r o ð e d ʒ 'a n d n e 
riqueses	r i k 'e z e s	 r i k 'ɛ z e s 
revers	r e v 'ɛ ɾ s	 r e v 'e ɾ s 
resseguint	r e s e ɣ 'i n t	 r e s e ɣ u 'i n t 
respecto	r e s p 'e k t o	 r e s p 'ɛ k t o 
respectessin	r e s p e k t 'e s i n	 r e s p e k t 'ɛ s i n 
resen	r 'e z e n	 r 'ɛ z e n 
reptes	r 'e p t e s	 r 'ɛ p t e s 
reproduint-la	r e p ɾ o ð w 'i n l a	 r e p ɾ o ð i i n t l a 
repensar-nos-ho	r e p e n s 'a ɾ n o z o	 r e p e n s a ɾ n 'ɔ z o 
rep	r 'e p	 r 'ɛ p 
renoven	r e n 'o v e n	 r e n 'ɔ v e n 
renecs	r e n 'e k s	 r e n 'ɛ k s 
rencontre	r e ŋ k 'o n t ɾ e	 r e ŋ k 'ɔ n t ɾ e 
remescles	r e m 'e s k l e s	 r e m 'ɛ s k l e s 
reintegrament	r e i n t e ɣ ɾ a m 'e n t	 r e 'i n t 'ɛ ɣ ɾ a m 'e n t 
regla	r 'e ɣ l a	 r 'ɛ ɣ l a 
refrescants	r e f ɾ e s k 'a n s	 r e f ɾ e s k 'a n t s 
reexaminar	r e e k s a m i n 'a ɾ	 r e e g z a m i n 'a ɾ 
redemptora	r e ð e m t 'o ɾ a	 r e ð e m p t 'o ɾ a 
recorren	r e k 'o r e n	 r e k 'ɔ r e n 
reconeixent-ne	r e k o n e j ʃ 'e n n e	 r e k o n e j ʃ 'ɛ n d n e 
reconduir-lo	r e k o n d w 'i ɾ l o	 r e k 'o n d z i ɾ l o 
reconduir	r e k o n d w 'i ɾ	 r e k o n d u 'i ɾ 
