Aaró	a a ɾ 'o
ensucrar	a n s u k ɾ 'a
ensucrat	a n s u k ɾ 'a t
ensumada	a n s u m 'a ð a
ensumades	a n s u m 'a ð e s
ensumar	a n s u m 'a
ensumat	a n s u m 'a t
ensumats	a n s u m 'a t s
ensús	a n s 'u s
entabanar	a n t a β a n 'a
entaforar	a n t a f o ɾ 'a
entalla	a n t 'a ʎ a
entalladura	a n t a ʎ a ð 'u ɾ a
entallar	a n t a ʎ 'a
entapissar	a n t a p i s 'a
entén	a n t 'e n
entendre	a n t 'e n d ɾ e
entendrir	a n t e n d ɾ 'i
entenedor	a n t e n e ð 'o
enteniment	a n t e n i m 'e n
entenimentat	a n t e n i m e n t 'a t
enterra	a n t 'ɛ r a
enterrada	a n t e r 'a ð a
enterrades	a n t e r 'a ð e s
enterrament	a n t e r a m 'e n
enterrar	a n t e r 'a
enterrares	a n t e r 'a ɾ e s
enterraria	a n t e r a ɾ 'i a
enterrat	a n t e r 'a t
enterrats	a n t e r 'a t s
enterrava	a n t e r 'a β a
enterres	a n t 'ɛ r e s
enterro	a n t 'ɛ r o
entesa	a n t 'e z a
enteses	a n t 'e z e s
èntesi	'ɛ n t e z i
entesos	a n t 'e z o s
entitat	a n t i t 'a t
entitats	a n t i t 'a t s
entonar	a n t o n 'a
entrada	a n t ɾ 'a ð a
entrades	a n t ɾ 'a ð e s
entramat	a n t ɾ a m 'a t
entrant	a n t ɾ 'a n
entranya	a n t ɾ 'a ɲ a
entrat	a n t ɾ 'a t
entrats	a n t ɾ 'a t s
entre	'e n t ɾ e
entrebanc	a n t ɾ e β 'a ŋ
entrebancar	a n t ɾ e β a ŋ k 'a
entregar	a n t ɾ e ɣ 'a
entregat	a n t ɾ e ɣ 'a t
entren	'e n t ɾ e n
entrenada	a n t ɾ e n 'a ð a
entrenades	a n t ɾ e n 'a ð e s
entrenador	a n t ɾ e n a ð 'o
entrenadora	a n t ɾ e n a ð 'o ɾ a
entrenar	a n t ɾ e n 'a
entrenat	a n t ɾ e n 'a t
entrenats	a n t ɾ e n 'a t s
entrenús	a n t ɾ e n 'u s
entres	'e n t ɾ e s
entreteniment	a n t ɾ e t e n i m 'e n
entretenir	a n t ɾ e t e n 'i
entretinguda	a n t ɾ e t i ŋ g 'u ð a
entretingudes	a n t ɾ e t i ŋ g 'u ð e s
entretingut	a n t ɾ e t i ŋ g 'u t
entretinguts	a n t ɾ e t i ŋ g 'u t s
entrevista	a n t ɾ e β 'i s t a
entristida	a n t ɾ i s t 'i ð a
entristides	a n t ɾ i s t 'i ð e s
entristir	a n t ɾ i s t 'i
entristit	a n t ɾ i s t 'i t
entristits	a n t ɾ i s t 'i t s
entronitzada	a n t ɾ o n i d z 'a ð a
entronitzades	a n t ɾ o n i d z 'a ð e s
entronitzar	a n t ɾ o n i d z 'a
entronitzat	a n t ɾ o n i d z 'a t
entronitzats	a n t ɾ o n i d z 'a t s
envà	a m b 'a
envaïda	a m b a 'i ð a
envaïdes	a m b a 'i ð e s
envair	a m b a 'i
envaït	a m b a 'i t
envaïts	a m b a 'i t s
envanir	a m b a n 'i
envejable	a m b e ʒ 'a β l e
envejada	a m b e ʒ 'a ð a
envejades	a m b e ʒ 'a ð e s
envejar	a m b e ʒ 'a
envejat	a m b e ʒ 'a t
envejats	a m b e ʒ 'a t s
envejós	a m b e ʒ 'o s
envelat	a m b e l 'a t
envellida	a m b e ʎ 'i ð a
envellides	a m b e ʎ 'i ð e s
envelliment	a m b e ʎ i m 'e n
envellir	a m b e ʎ 'i
envellit	a m b e ʎ 'i t
envellits	a m b e ʎ 'i t s
enverinada	a m b e ɾ i n 'a ð a
enverinades	a m b e ɾ i n 'a ð e s
enverinament	a m b e ɾ i n a m 'e n
enverinar	a m b e ɾ i n 'a
enverinat	a m b e ɾ i n 'a t
enverinats	a m b e ɾ i n 'a t s
envesprir	a m b e s p ɾ 'i
envestida	a m b e s t 'i ð a
envestir	a m b e s t 'i
envestit	a m b e s t 'i t
envetar	a m b e t 'a
envoltada	a m b o l t 'a ð a
envoltades	a m b o l t 'a ð e s
envoltar	a m b o l t 'a
envoltat	a m b o l t 'a t
envoltats	a m b o l t 'a t s
enxampada	a n tʃ a m p 'a ð a
enxampades	a n tʃ a m p 'a ð e s
enxampar	a n tʃ a m p 'a
enxampat	a n tʃ a m p 'a t
enxampats	a n tʃ a m p 'a t s
enxaneta	a n tʃ a n 'e t a
enxufar	a n tʃ u f 'a
enzim	a n z 'i m
Èol	'ɛ o l
eòlic	e 'ɔ l i k
ep	'e p
epèntesi	e p 'ɛ n t e z i
èpic	'ɛ p i k
epicant	e p i k 'a n
epidídim	e p i ð 'i ð i m
epidural	e p i ð u ɾ 'a l
Epifania	e p i f a n 'i a
epífit	e p 'i f i t
epilobi	e p i l 'ɔ β i
Epir	e p 'i
episcopal	e p i s k o p 'a l
episodi	e p i z 'ɔ ð i
episòdic	e p i z 'ɔ ð i k
episòdica	e p i z 'ɔ ð i k a
episòdics	e p i z 'ɔ ð i k s
episòdiques	e p i z 'ɔ ð i k e s
epistemologia	e p i s t e m o l o ʒ 'i a
epístola	e p 'i s t o l a
epitafi	e p i t 'a f i
epitèlic	e p i t 'ɛ l i k
epitèlica	e p i t 'ɛ l i k a
epitèlics	e p i t 'ɛ l i k s
epitèliques	e p i t 'ɛ l i k e s
epítet	e p 'i t e t
epònim	e p 'ɔ n i m
èpsilon	'ɛ p s i l o n
Equador	e k w a ð 'o
equador	e k w a ð 'o
equadors	e k w a ð 'o s
eqüestre	e k w 'e s t ɾ e
equí	e k 'i
equidistant	e k i ð i s t 'a n
equilibrada	e k i l i β ɾ 'a ð a
equilibrades	e k i l i β ɾ 'a ð e s
equilibrar	e k i l i β ɾ 'a
equilibrat	e k i l i β ɾ 'a t
equilibrats	e k i l i β ɾ 'a t s
equilibri	e k i l 'i β ɾ i
equilibris	e k i l 'i β ɾ i s
equilibrista	e k i l i β ɾ 'i s t a
equina	e k 'i n a
equines	e k 'i n e s
equinocci	e k i n 'ɔ k s i
equins	e k 'i n s
equip	e k 'i p
equipada	e k i p 'a ð a
equipades	e k i p 'a ð e s
equipament	e k i p a m 'e n
equipar	e k i p 'a
equipares	e k i p 'a ɾ e s
equipat	e k i p 'a t
equipatge	e k i p 'a dʒ e
equipats	e k i p 'a t s
equitat	e k i t 'a t
equivaldre	e k i β 'a l d ɾ e
equivalent	e k i β a l 'e n
equivocada	e k i β o k 'a ð a
equivocades	e k i β o k 'a ð e s
equivocar	e k i β o k 'a
equivocat	e k i β o k 'a t
equivocats	e k i β o k 'a t s
equivoco	e k i β 'o k o
era	'e ɾ a
érem	'e ɾ e m
eren	'e ɾ e n
eres	'e ɾ e s
erre	'ɛ r e
erren	'ɛ r e n
erri	'ɛ r i
errin	'ɛ r i n
erris	'ɛ r i s
erro	'ɛ r o
és	'e s
Esaú	a z a 'u
esbalair	a z β a l a 'i
esbaltir	a z β a l t 'i
esbandida	a z β a n d 'i ð a
esbandides	a z β a n d 'i ð e s
esbandir	a z β a n d 'i
esbandit	a z β a n d 'i t
esbandits	a z β a n d 'i t s
esbatanar	a z β a t a n 'a
esbategar	a z β a t e ɣ 'a
esbatre	a z β 'a t ɾ e
esbirro	a z β 'i r o
esbombada	a z β o m b 'a ð a
esbombades	a z β o m b 'a ð e s
esbombar	a z β o m b 'a
esbombat	a z β o m b 'a t
esbombats	a z β o m b 'a t s
esborrada	a z β o r 'a ð a
esborrades	a z β o r 'a ð e s
esborrador	a z β o r a ð 'o
esborrany	a z β o r 'a ɲ
esborrar	a z β o r 'a
esborrat	a z β o r 'a t
esborrats	a z β o r 'a t s
esborronar	a z β o r o n 'a
esbós	a z β 'o s
esbossar	a z β o s 'a
esbotifarrada	a z β o t i f a r 'a ð a
esbotifarrades	a z β o t i f a r 'a ð e s
esbotifarrar	a z β o t i f a r 'a
esbotifarrat	a z β o t i f a r 'a t
esbotifarrats	a z β o t i f a r 'a t s
esbotzada	a z β o d z 'a ð a
esbotzades	a z β o d z 'a ð e s
esbotzar	a z β o d z 'a
esbotzat	a z β o d z 'a t
esbotzats	a z β o d z 'a t s
esbramegar	a z β ɾ a m e ɣ 'a
esbrinada	a z β ɾ i n 'a ð a
esbrinades	a z β ɾ i n 'a ð e s
esbrinar	a z β ɾ i n 'a
esbrinat	a z β ɾ i n 'a t
esbrinats	a z β ɾ i n 'a t s
esbrossar	a z β ɾ o s 'a
esbudellada	a z β u ð e ʎ 'a ð a
esbudellades	a z β u ð e ʎ 'a ð e s
esbudellar	a z β u ð e ʎ 'a
esbudellat	a z β u ð e ʎ 'a t
esbudellats	a z β u ð e ʎ 'a t s
esbufegar	a z β u f e ɣ 'a
escabellar	a s k a β e ʎ 'a
escabellat	a s k a β e ʎ 'a t
escabre	a s k 'a β ɾ e
escacat	a s k a k 'a t
escacs	a s k 'a k s
escafandra	a s k a f 'a n d ɾ a
escafandre	a s k a f 'a n d ɾ e
escafoide	a s k a f 'ɔ j ð e
escafoides	a s k a f 'ɔ j ð e s
escaguitxar	a s k a ɣ i tʃ 'a
escaig	a s k 'a tʃ
escairada	a s k a j ɾ 'a ð a
escairades	a s k a j ɾ 'a ð e s
escairar	a s k a j ɾ 'a
escairat	a s k a j ɾ 'a t
escairats	a s k a j ɾ 'a t s
escaire	a s k 'a j ɾ e
escala	a s k 'a l a
escalada	a s k a l 'a ð a
escalades	a s k a l 'a ð e s
escalafó	a s k a l a f 'o
escalar	a s k a l 'a
escalat	a s k a l 'a t
escalats	a s k a l 'a t s
escaldadura	a s k a l d a ð 'u ɾ a
escaldar	a s k a l d 'a
escàlem	a s k 'a l e m
escalfada	a s k a l f 'a ð a
escalfades	a s k a l f 'a ð e s
escalfament	a s k a l f a m 'e n
escalfar	a s k a l f 'a
escalfat	a s k a l f 'a t
escalfats	a s k a l f 'a t s
escalfeir	a s k a l f e 'i
escalfor	a s k a l f 'o
escalinata	a s k a l i n 'a t a
escalivada	a s k a l i β 'a ð a
escalivar	a s k a l i β 'a
escalivat	a s k a l i β 'a t
escalunya	a s k a l 'u ɲ a
escama	a s k 'a m a
escamar	a s k a m 'a
escames	a s k 'a m e s
escamot	a s k a m 'ɔ t
escampada	a s k a m p 'a ð a
escampades	a s k a m p 'a ð e s
escampar	a s k a m p 'a
escampat	a s k a m p 'a t
escampats	a s k a m p 'a t s
escandalitzada	a s k a n d a l i d z 'a ð a
escandalitzades	a s k a n d a l i d z 'a ð e s
escandalitzar	a s k a n d a l i d z 'a
escandalitzat	a s k a n d a l i d z 'a t
escandalitzats	a s k a n d a l i d z 'a t s
escandall	a s k a n d 'a ʎ
escandallar	a s k a n d a ʎ 'a
escandalós	a s k a n d a l 'o s
escandalosa	a s k a n d a l 'o z a
escandaloses	a s k a n d a l 'o z e s
escandalosos	a s k a n d a l 'o z o s
escandi	a s k 'a n d i
escandinava	a s k a n d i n 'a β a
escandinaves	a s k a n d i n 'a β e s
escandir	a s k a n d 'i
escàndol	a s k 'a n d o l
escanejada	a s k a n e ʒ 'a ð a
escanejades	a s k a n e ʒ 'a ð e s
escanejar	a s k a n e ʒ 'a
escanejat	a s k a n e ʒ 'a t
escanejats	a s k a n e ʒ 'a t s
escàner	a s k 'a n e
escanyar	a s k a ɲ 'a
escanyolit	a s k a ɲ o l 'i t
escapa	a s k 'a p a
escapà	a s k a p 'a
escapada	a s k a p 'a ð a
escapades	a s k a p 'a ð e s
escapament	a s k a p a m 'e n
escapar	a s k a p 'a
escaparàs	a s k a p a ɾ 'a s
escaparat	a s k a p a ɾ 'a t
escapàrem	a s k a p 'a ɾ e m
escapares	a s k a p 'a ɾ e s
escaparia	a s k a p a ɾ 'i a
escapat	a s k a p 'a t
escapats	a s k a p 'a t s
escapava	a s k a p 'a β a
escapçadura	a s k a p s a ð 'u ɾ a
escapçar	a s k a p s 'a
escapes	a s k 'a p e s
escapisme	a s k a p 'i z m e
escapo	a s k 'a p o
escapoló	a s k a p o l 'o
escàpula	a s k 'a p u l a
escaquer	a s k a k 'e
escaquista	a s k a k 'i s t a
escar	a s k 'a
escarabat	a s k a ɾ a β 'a t
escarabats	a s k a ɾ a β 'a t s
escarada	a s k a ɾ 'a ð a
escarafall	a s k a ɾ a f 'a ʎ
escaramussada	a s k a ɾ a m u s 'a ð a
escaramussades	a s k a ɾ a m u s 'a ð e s
escaramussar	a s k a ɾ a m u s 'a
escaramussat	a s k a ɾ a m u s 'a t
escaramussats	a s k a ɾ a m u s 'a t s
escarit	a s k a ɾ 'i t
escarolat	a s k a ɾ o l 'a t
escarrassada	a s k a r a s 'a ð a
escarrassades	a s k a r a s 'a ð e s
escarrassat	a s k a r a s 'a t
escarrassats	a s k a r a s 'a t s
escàs	a s k 'a s
escassejar	a s k a s e ʒ 'a
escassesa	a s k a s 'e z a
escassetat	a s k a s e t 'a t
escat	a s k 'a t
escata	a s k 'a t a
escatar	a s k a t 'a
escatimada	a s k a t i m 'a ð a
escatimades	a s k a t i m 'a ð e s
escatimar	a s k a t i m 'a
escatimat	a s k a t i m 'a t
escatimats	a s k a t i m 'a t s
escatologia	a s k a t o l o ʒ 'i a
escena	a s 'e n a
escenari	a s e n 'a ɾ i
escènic	a s 'ɛ n i k
escènica	a s 'ɛ n i k a
escènics	a s 'ɛ n i k s
escenificar	a s e n i f i k 'a
escèniques	a s 'ɛ n i k e s
escèptic	a s 'ɛ p t i k
escèptica	a s 'ɛ p t i k a
escèpticament	a s 'ɛ p t i k a m 'e n
escepticisme	a s e p t i s 'i z m e
escèptics	a s 'ɛ p t i k s
escèptiques	a s 'ɛ p t i k e s
escif	a s 'i f
escil·la	a s 'i l a
escindir	a s i n d 'i
esclafada	a s k l a f 'a ð a
esclafades	a s k l a f 'a ð e s
esclafar	a s k l a f 'a
esclafat	a s k l a f 'a t
esclafats	a s k l a f 'a t s
esclafidor	a s k l a f i ð 'o
esclafir	a s k l a f 'i
esclafit	a s k l a f 'i t
esclatada	a s k l a t 'a ð a
esclatades	a s k l a t 'a ð e s
esclatar	a s k l a t 'a
esclatat	a s k l a t 'a t
esclatats	a s k l a t 'a t s
esclava	a s k l 'a β a
esclavatge	a s k l a β 'a dʒ e
esclaves	a s k l 'a β e s
esclavina	a s k l a β 'i n a
esclavitud	a s k l a β i t 'u t
esclavitzada	a s k l a β i d z 'a ð a
esclavitzades	a s k l a β i d z 'a ð e s
esclavitzar	a s k l a β i d z 'a
esclavitzat	a s k l a β i d z 'a t
esclavitzats	a s k l a β i d z 'a t s
esclerostina	a s k l e ɾ o s t 'i n a
escletxa	a s k l 'e tʃ a
escó	a s k 'o
escocés	a s k o s 'e s
escoceses	a s k o s 'e z e s
escocesos	a s k o s 'e z o s
escoda	a s k 'ɔ ð a
escolà	a s k o l 'a
escolana	a s k o l 'a n a
escolania	a s k o l a n 'i a
escolladura	a s k o ʎ a ð 'u ɾ a
escollar	a s k o ʎ 'a
escollat	a s k o ʎ 'a t
escollida	a s k o ʎ 'i ð a
escollides	a s k o ʎ 'i ð e s
escollir	a s k o ʎ 'i
escollit	a s k o ʎ 'i t
escollits	a s k o ʎ 'i t s
escolta	a s k 'o l t a
escoltada	a s k o l t 'a ð a
escoltades	a s k o l t 'a ð e s
escoltar	a s k o l t 'a
escoltat	a s k o l t 'a t
escoltats	a s k o l t 'a t s
escombra	a s k 'o m b ɾ a
escombrada	a s k o m b ɾ 'a ð a
escombrades	a s k o m b ɾ 'a ð e s
escombrador	a s k o m b ɾ a ð 'o
escombrall	a s k o m b ɾ 'a ʎ
escombrar	a s k o m b ɾ 'a
escombraries	a s k o m b ɾ a ɾ 'i e s
escombrat	a s k o m b ɾ 'a t
escombrats	a s k o m b ɾ 'a t s
escomesa	a s k o m 'e z a
escometre	a s k o m 'e t ɾ e
escon	a s k 'o n
escondir	a s k o n d 'i
escopeta	a s k o p 'e t a
escopetada	a s k o p e t 'a ð a
escopida	a s k o p 'i ð a
escopides	a s k o p 'i ð e s
escopidor	a s k o p i ð 'o
escopina	a s k o p 'i n a
escopinada	a s k o p i n 'a ð a
escopinar	a s k o p i n 'a
escopinya	a s k o p 'i ɲ a
escopir	a s k o p 'i
escopit	a s k o p 'i t
escopits	a s k o p 'i t s
escorada	a s k o ɾ 'a ð a
escorades	a s k o ɾ 'a ð e s
escorar	a s k o ɾ 'a
escorares	a s k o ɾ 'a ɾ e s
escorat	a s k o ɾ 'a t
escorats	a s k o ɾ 'a t s
escorranc	a s k o r 'a ŋ
escorreguda	a s k o r e ɣ 'u ð a
escorregudes	a s k o r e ɣ 'u ð e s
escorregut	a s k o r e ɣ 'u t
escorreguts	a s k o r e ɣ 'u t s
escórrer	a s k 'o r e
escot	a s k 'ɔ t
escota	a s k 'ɔ t a
escotada	a s k o t 'a ð a
escotades	a s k o t 'a ð e s
escotar	a s k o t 'a
escotat	a s k o t 'a t
escotats	a s k o t 'a t s
escotilla	a s k o t 'i ʎ a
escreix	a s k ɾ 'e j ʃ
escridassar	a s k ɾ i ð a s 'a
escriny	a s k ɾ 'i ɲ
escriptor	a s k ɾ i p t 'o
escriptori	a s k ɾ i p t 'ɔ ɾ i
escriptura	a s k ɾ i p t 'u ɾ a
escripturar	a s k ɾ i p t u ɾ 'a
escripturari	a s k ɾ i p t u ɾ 'a ɾ i
escrit	a s k ɾ 'i t
escrita	a s k ɾ 'i t a
escrites	a s k ɾ 'i t e s
escrits	a s k ɾ 'i t s
escrivà	a s k ɾ i β 'a
escrotal	a s k ɾ o t 'a l
escrutada	a s k ɾ u t 'a ð a
escrutades	a s k ɾ u t 'a ð e s
escrutador	a s k ɾ u t a ð 'o
escrutar	a s k ɾ u t 'a
escrutat	a s k ɾ u t 'a t
escrutats	a s k ɾ u t 'a t s
escrutini	a s k ɾ u t 'i n i
escudella	a s k u ð 'e ʎ a
escuder	a s k u ð 'e
escuixar	a s k u j ʃ 'a
escull	a s k 'u ʎ
escullera	a s k u ʎ 'e ɾ a
esculpir	a s k u l p 'i
escultor	a s k u l t 'o
escultòric	a s k u l t 'ɔ ɾ i k
escultòrica	a s k u l t 'ɔ ɾ i k a
escultòrics	a s k u l t 'ɔ ɾ i k s
escultòriques	a s k u l t 'ɔ ɾ i k e s
escultura	a s k u l t 'u ɾ a
escultural	a s k u l t u ɾ 'a l
esculturals	a s k u l t u ɾ 'a l s
escuma	a s k 'u m a
escumar	a s k u m 'a
escumós	a s k u m 'o s
escurada	a s k u ɾ 'a ð a
escurades	a s k u ɾ 'a ð e s
escurar	a s k u ɾ 'a
escurat	a s k u ɾ 'a t
escurats	a s k u ɾ 'a t s
escut	a s k 'u t
escuterista	a s k u t e ɾ 'i s t a
esdentegat	a z ð e n t e ɣ 'a t
esdeveniment	a z ð e β e n i m 'e n
esdevenir	a z ð e β e n 'i
esdevinguda	a z ð e β i ŋ g 'u ð a
esdevingudes	a z ð e β i ŋ g 'u ð e s
esdevingut	a z ð e β i ŋ g 'u t
esdevinguts	a z ð e β i ŋ g 'u t s
esdrúixol	a z ð ɾ 'u j ʃ o l
esfera	a s f 'e ɾ a
esfereïdor	a s f e ɾ e i ð 'o
esfereir	a s f e ɾ e 'i
esfèric	a s f 'ɛ ɾ i k
esfèrica	a s f 'ɛ ɾ i k a
esfinx	a s f 'i n tʃ
esfondrament	a s f o n d ɾ a m 'e n
esfondrar	a s f o n d ɾ 'a
esfullar	a s f u ʎ 'a
esfumar	a s f u m 'a
esfumí	a s f u m 'i
esgarrada	a z ɣ a r 'a ð a
esgarrades	a z ɣ a r 'a ð e s
esgarrapà	a z ɣ a r a p 'a
esgarrapada	a z ɣ a r a p 'a ð a
esgarrapades	a z ɣ a r a p 'a ð e s
esgarrapar	a z ɣ a r a p 'a
esgarrapat	a z ɣ a r a p 'a t
esgarrapats	a z ɣ a r a p 'a t s
esgarrar	a z ɣ a r 'a
esgarrat	a z ɣ a r 'a t
esgarrats	a z ɣ a r 'a t s
esgarrifança	a z ɣ a r i f 'a n s a
esgarrifar	a z ɣ a r i f 'a
esgarrifor	a z ɣ a r i f 'o
esgarrifós	a z ɣ a r i f 'o s
esgatinyada	a z ɣ a t i ɲ 'a ð a
esgatinyades	a z ɣ a t i ɲ 'a ð e s
esgatinyat	a z ɣ a t i ɲ 'a t
esgatinyats	a z ɣ a t i ɲ 'a t s
esgavellar	a z ɣ a β e ʎ 'a
esglai	a z ɣ l 'a j
esglaó	a z ɣ l a 'o
esglaonada	a z ɣ l a o n 'a ð a
esglaonades	a z ɣ l a o n 'a ð e s
esglaonar	a z ɣ l a o n 'a
esglaonat	a z ɣ l a o n 'a t
esglaonats	a z ɣ l a o n 'a t s
esgotada	a z ɣ o t 'a ð a
esgotades	a z ɣ o t 'a ð e s
esgotament	a z ɣ o t a m 'e n
esgotar	a z ɣ o t 'a
esgotat	a z ɣ o t 'a t
esgotats	a z ɣ o t 'a t s
esgranar	a z ɣ ɾ a n 'a
esgrima	a z ɣ ɾ 'i m a
esgrimida	a z ɣ ɾ i m 'i ð a
esgrimides	a z ɣ ɾ i m 'i ð e s
esgrimir	a z ɣ ɾ i m 'i
esgrimit	a z ɣ ɾ i m 'i t
esgrimits	a z ɣ ɾ i m 'i t s
esguerrada	a z ɣ e r 'a ð a
esguerrades	a z ɣ e r 'a ð e s
esguerrar	a z ɣ e r 'a
esguerrat	a z ɣ e r 'a t
esguerrats	a z ɣ e r 'a t s
esguerro	a z ɣ 'ɛ r o
eslògan	a z l 'ɔ ɣ a n
eslora	a z l 'o ɾ a
eslovac	a z l o β 'a k
eslovaca	a z l o β 'a k a
esmaixada	a z m a j ʃ 'a ð a
esmaixar	a z m a j ʃ 'a
esmalt	a z m 'a l
esmaltar	a z m a l t 'a
esmaragda	a z m a ɾ 'a g d a
esmenada	a z m e n 'a ð a
esmenades	a z m e n 'a ð e s
esmenar	a z m e n 'a
esmenat	a z m e n 'a t
esmenats	a z m e n 'a t s
esment	a z m 'e n
esmentada	a z m e n t 'a ð a
esmentades	a z m e n t 'a ð e s
esmentar	a z m e n t 'a
esmentat	a z m e n t 'a t
esmentats	a z m e n t 'a t s
esmeril	a z m e ɾ 'i l
esmerilar	a z m e ɾ i l 'a
esmicolada	a z m i k o l 'a ð a
esmicolades	a z m i k o l 'a ð e s
esmicolar	a z m i k o l 'a
esmicolat	a z m i k o l 'a t
esmicolats	a z m i k o l 'a t s
esmolada	a z m o l 'a ð a
esmolades	a z m o l 'a ð e s
esmolador	a z m o l a ð 'o
esmolar	a z m o l 'a
esmolat	a z m o l 'a t
esmolats	a z m o l 'a t s
esmòquing	a z m 'ɔ k i ŋ
esmunyida	a z m u ɲ 'i ð a
esmunyides	a z m u ɲ 'i ð e s
esmunyir	a z m u ɲ 'i
esmunyit	a z m u ɲ 'i t
esmunyits	a z m u ɲ 'i t s
esmussada	a z m u s 'a ð a
esmussades	a z m u s 'a ð e s
esmussar	a z m u s 'a
esmussat	a z m u s 'a t
esmussats	a z m u s 'a t s
esnifada	a z n i f 'a ð a
esnifades	a z n i f 'a ð e s
esnifar	a z n i f 'a
esnifat	a z n i f 'a t
esnifats	a z n i f 'a t s
esòfag	a z 'ɔ f a k
esofàgic	a z o f 'a ʒ i k
esofàgica	a z o f 'a ʒ i k a
esofàgics	a z o f 'a ʒ i k s
esofàgiques	a z o f 'a ʒ i k e s
espadanya	a s p a ð 'a ɲ a
espadatxí	a s p a ð a tʃ 'i
espagat	a s p a ɣ 'a t
espai	a s p 'a j
espais	a s p 'a j s
espalmador	a s p a l m a ð 'o
espalmar	a s p a l m 'a
espant	a s p 'a n
espantada	a s p a n t 'a ð a
espantades	a s p a n t 'a ð e s
espantadís	a s p a n t a ð 'i s
espantall	a s p a n t 'a ʎ
espantar	a s p a n t 'a
espantat	a s p a n t 'a t
espantats	a s p a n t 'a t s
espanto	a s p 'a n t o
espantós	a s p a n t 'o s
Espanya	a s p 'a ɲ a
espanyar	a s p a ɲ 'a
espanyolisme	a s p a ɲ o l 'i z m e
espanyolista	a s p a ɲ o l 'i s t a
espanyolitzada	a s p a ɲ o l i d z 'a ð a
espanyolitzades	a s p a ɲ o l i d z 'a ð e s
espanyolitzar	a s p a ɲ o l i d z 'a
espanyolitzat	a s p a ɲ o l i d z 'a t
espanyolitzats	a s p a ɲ o l i d z 'a t s
esparadrap	a s p a ɾ a ð ɾ 'a p
espàrec	a s p 'a ɾ e k
espàrecs	a s p 'a ɾ e k s
esparracar	a s p a r a k 'a
esparrall	a s p a r 'a ʎ
esparralló	a s p a r a ʎ 'o
espàrrec	a s p 'a r e k
espasa	a s p 'a z a
espasmar	a s p a z m 'a
espasme	a s p 'a z m e
espasmes	a s p 'a z m e s
espasmòdic	a s p a z m 'ɔ ð i k
espàtula	a s p 'a t u l a
espaventada	a s p a β e n t 'a ð a
espaventades	a s p a β e n t 'a ð e s
espaventar	a s p a β e n t 'a
espaventat	a s p a β e n t 'a t
espaventats	a s p a β e n t 'a t s
espavilada	a s p a β i l 'a ð a
espavilades	a s p a β i l 'a ð e s
espavilar	a s p a β i l 'a
espavilat	a s p a β i l 'a t
espavilats	a s p a β i l 'a t s
específic	a s p e s 'i f i k
especificada	a s p e s i f i k 'a ð a
especificades	a s p e s i f i k 'a ð e s
especificar	a s p e s i f i k 'a
especificat	a s p e s i f i k 'a t
especificats	a s p e s i f i k 'a t s
espècimen	a s p 'ɛ s i m e n
espectacle	a s p e k t 'a k l e
espectador	a s p e k t a ð 'o
espectre	a s p 'e k t ɾ e
espècul	a s p 'ɛ k u l
especulada	a s p e k u l 'a ð a
especulades	a s p e k u l 'a ð e s
especular	a s p e k u l 'a
especulat	a s p e k u l 'a t
especulativa	a s p e k u l a t 'i β a
especulatives	a s p e k u l a t 'i β e s
especulats	a s p e k u l 'a t s
espellifar	a s p e ʎ i f 'a
espellir	a s p e ʎ 'i
espellucar	a s p e ʎ u k 'a
espelma	a s p 'ɛ l m a
espera	a s p 'e ɾ a
esperada	a s p e ɾ 'a ð a
esperades	a s p e ɾ 'a ð e s
esperadíssim	a s p e ɾ a ð 'i s i m
esperadíssima	a s p e ɾ a ð 'i s i m a
esperadíssimes	a s p e ɾ a ð 'i s i m e s
esperadíssims	a s p e ɾ a ð 'i s i m s
esperança	a s p e ɾ 'a n s a
esperançador	a s p e ɾ a n s a ð 'o
esperançar	a s p e ɾ a n s 'a
esperançat	a s p e ɾ a n s 'a t
esperar	a s p e ɾ 'a
esperares	a s p e ɾ 'a ɾ e s
esperaria	a s p e ɾ a ɾ 'i a
esperat	a s p e ɾ 'a t
esperats	a s p e ɾ 'a t s
esperava	a s p e ɾ 'a β a
esperes	a s p 'e ɾ e s
esperit	a s p e ɾ 'i t
esperità	a s p e ɾ i t 'a
esperó	a s p e ɾ 'o
esperonar	a s p e ɾ o n 'a
esperonejar	a s p e ɾ o n e ʒ 'a
espessidor	a s p e s i ð 'o
espessir	a s p e s 'i
espessor	a s p e s 'o
espetec	a s p e t 'e k
espetegar	a s p e t e ɣ 'a
espia	a s p 'i a
espicassar	a s p i k a s 'a
espicossar	a s p i k o s 'a
espiga	a s p 'i ɣ a
espigada	a s p i ɣ 'a ð a
espigall	a s p i ɣ 'a ʎ
espigar	a s p i ɣ 'a
espigares	a s p i ɣ 'a ɾ e s
espigaria	a s p i ɣ a ɾ 'i a
espigat	a s p i ɣ 'a t
espigats	a s p i ɣ 'a t s
espigava	a s p i ɣ 'a β a
espigo	a s p 'i ɣ o
espígol	a s p 'i ɣ o l
espigues	a s p 'i ɣ e s
espill	a s p 'i ʎ
espina	a s p 'i n a
Espina	a s p 'i n a
espinac	a s p i n 'a k
espinacs	a s p i n 'a k s
espinel·la	a s p i n 'ɛ l a
espinós	a s p i n 'o s
espinosa	a s p i n 'o z a
espinosos	a s p i n 'o z o s
espira	a s p 'i ɾ a
