A	'a	 a 
llestos	ʎ 'e s t o s	 ʎ 'ɛ s t o s 
llet	ʎ 'e t	 ʎ 'ɛ t 
lletera	ʎ e t 'e ɾ a	 ʎ e t 'ɛ ɾ a 
lletra	ʎ 'e t ɾ a	 ʎ 'ɛ t ɾ a 
lletrejada	ʎ e t ɾ e d ʒ 'a ð a	 ʎ 'e t ɾ e d ʒ 'a ð a 
lletrejades	ʎ e t ɾ e d ʒ 'a ð e s	 ʎ 'e t ɾ e d ʒ 'a ð e s 
lletrejar	ʎ e t ɾ e d ʒ 'a ɾ	 ʎ 'e t ɾ e d ʒ 'a ɾ 
lletrejat	ʎ e t ɾ e d ʒ 'a t	 ʎ 'e t ɾ e d ʒ 'a t 
lletrejats	ʎ e t ɾ e d ʒ 'a t s	 ʎ 'e t ɾ e d ʒ 'a t s 
lletres	ʎ 'e t ɾ e s	 ʎ 'ɛ t ɾ e s 
lletsó	ʎ e t s 'o	 ʎ 'e t s 'o 
lleu	ʎ 'e w	 ʎ 'ɛ w 
lleuger	ʎ e w d ʒ 'e ɾ	 ʎ 'e w d ʒ 'ɛ ɾ 
lleure	ʎ 'e w ɾ e	 ʎ 'ɛ w ɾ e 
lleus	ʎ 'e w s	 ʎ 'ɛ w s 
lleva	ʎ 'e v a	 ʎ 'ɛ v a 
llevadora	ʎ e v a ð 'o ɾ a	 ʎ e v a ð 'ɔ ɾ a 
lleves	ʎ 'e v e s	 ʎ 'ɛ v e s 
llevo	ʎ 'e v o	 ʎ 'ɛ v o 
llibrer	ʎ i β ɾ 'e ɾ	 ʎ i β ɾ 'ɛ ɾ 
llibreria	ʎ i β ɾ e ɾ 'i a	 ʎ 'i β ɾ e ɾ 'i a 
llibret	ʎ i β ɾ 'e t	 ʎ i β ɾ 'ɛ t 
llibreta	ʎ i β ɾ 'e t a	 ʎ i β ɾ 'ɛ t a 
llibreter	ʎ i β ɾ e t 'e ɾ	 ʎ 'i β ɾ e t 'ɛ ɾ 
llibretes	ʎ i β ɾ 'e t e s	 ʎ i β ɾ 'ɛ t e s 
llicenciatura	ʎ i s e n s i a t 'u ɾ a	 ʎ i s e n s 'i a t 'u ɾ a 
lligament	ʎ i ɣ a m 'e n t	 ʎ 'i ɣ a m 'ɛ n t 
llimona	ʎ i m 'o n a	 ʎ i m 'ɔ n a 
llimonera	ʎ i m o n 'e ɾ a	 ʎ i m o n 'ɛ ɾ a 
llitera	ʎ i t 'e ɾ a	 ʎ i t 'ɛ ɾ a 
lliurament	ʎ i w ɾ a m 'e n t	 ʎ 'i w ɾ a m 'ɛ n t 
lloa	ʎ 'o a	 ʎ 'ɔ a 
lloar	ʎ o 'a ɾ	 ʎ 'o 'a ɾ 
lloat	ʎ o 'a t	 ʎ 'ɔ 'a t 
lloba	ʎ 'o β a	 ʎ 'ɔ β a 
lloc	ʎ 'ɔ k	 ʎ 'o k 
llocs	ʎ 'ɔ k s	 ʎ 'o k s 
lloen	ʎ 'o e n	 ʎ 'ɔ e n 
llogater	ʎ o ɣ a t 'e ɾ	 ʎ o ɣ a t 'ɛ ɾ 
lloguer	ʎ o ɣ 'e ɾ	 ʎ 'ɔ ɣ 'ɛ ɾ 
llora	ʎ 'o ɾ a	 ʎ 'ɔ ɾ a 
Llorach	ʎ o ɾ 'a k	 ʎ o ɾ 'a s i 
llorer	ʎ o ɾ 'e ɾ	 ʎ o ɾ 'ɛ ɾ 
lloro	ʎ 'o ɾ o	 ʎ 'ɔ ɾ o 
lloros	ʎ 'o ɾ o s	 ʎ 'ɔ ɾ o s 
lluent	ʎ u 'e n t	 ʎ u 'ɛ n t 
lluïment	ʎ u i m 'e n t	 ʎ 'u i m 'ɛ n t 
lluir	ʎ w 'i ɾ	 ʎ u 'i ɾ 
lluita	ʎ w 'i t a	 ʎ 'u 'i t a 
locomotora	l o k o m o t 'o ɾ a	 l o k o m o t 'ɔ ɾ a 
locutora	l o k u t 'o ɾ a	 l o k u t 'ɔ ɾ a 
lona	l 'o n a	 l 'ɔ n a 
londinenc	l o n d i n 'e ŋ k	 l o n d i n 'ɛ ŋ k 
Londres	l 'o n d ɾ e s	 l 'ɔ n d ɾ e s 
luminescència	l u m i n e s 'ɛ n s i a	 l u m 'i n e s 'ɛ n s i a 
Luxemburg	l u k s e m b 'u ɾ k	 l u k s 'e m b 'u ɾ k 
luxemburguesa	l u k s e m b u ɾ ɣ 'e z a	 l u k s e m b u ɾ ɣ u 'ɛ z a 
ma	m 'a	 m a 
Madagascar	m a ð a ɣ a s k 'a ɾ	 m a ð 'a ɣ a s k 'a ɾ 
madrileny	m a ð ɾ i l 'e ɲ	 m a ð ɾ i l 'ɛ ɲ 
madrilenya	m a ð ɾ i l 'e ɲ a	 m a ð ɾ i l 'ɛ ɲ a 
madrilenyes	m a ð ɾ i l 'e ɲ e s	 m a ð ɾ i l 'ɛ ɲ e s 
madrilenys	m a ð ɾ i l 'e ɲ s	 m a ð ɾ i l 'ɛ ɲ s 
maduixer	m a ð u j ʃ 'e ɾ	 m a ð 'u j ʃ 'ɛ ɾ 
maduresa	m a ð u ɾ 'e z a	 m a ð 'u ɾ 'ɛ z a 
magatzem	m a ɣ a d z 'e m	 m a ɣ a d z 'ɛ m 
mainada	m a j n 'a ð a	 m a i n 'a ð a 
maixella	m a j ʃ 'e ʎ a	 m a j ʃ 'ɛ ʎ a 
majestuós	m a d ʒ e s t u 'o s	 m 'a d ʒ e s t u 'o s 
majestuosa	m a d ʒ e s t u 'o z a	 m 'a d ʒ e s t u 'ɔ z a 
majestuosos	m a d ʒ e s t u 'o z o s	 m 'a d ʒ e s t u 'ɔ z o s 
malai	m a l 'a j	 m a l 'a i 
malais	m a l 'a j s	 m a l 'a i s 
Malàisia	m a l 'a j z i a	 m a l 'a i z i a 
malestar	m a l e s t 'a ɾ	 m 'a l e s t 'a ɾ 
maleta	m a l 'e t a	 m a l 'ɛ t a 
maleter	m a l e t 'e ɾ	 m a l e t 'ɛ ɾ 
maliciosa	m a l i s i 'o z a	 m a l i s i 'ɔ z a 
malicioses	m a l i s i 'o z e s	 m a l i s i 'ɔ s e s 
maliciosos	m a l i s i 'o z o s	 m a l i s i 'ɔ z o s 
mallot	m a ʎ 'ɔ t	 m a ʎ 'o t 
mamella	m a m 'e ʎ a	 m a m 'ɛ ʎ a 
mamellut	m a m e ʎ 'u t	 m a m 'e ʎ 'u t 
manament	m a n a m 'e n t	 m 'a n a m 'ɛ n t 
maneig	m a n 'e t ʃ	 m a n 'ɛ t ʃ 
manera	m a n 'e ɾ a	 m a n 'ɛ ɾ a 
maneta	m a n 'e t a	 m a n 'ɛ t a 
manifest	m a n i f 'e s t	 m a n i f 'ɛ s t 
manifestació	m a n i f e s t a s i 'o	 m a n 'i f e s t a s i 'o 
manifestada	m a n i f e s t 'a ð a	 m a n 'i f e s t 'a ð a 
manifestades	m a n i f e s t 'a ð e s	 m a n 'i f e s t 'a ð e s 
manifestant	m a n i f e s t 'a n t	 m a n 'i f e s t 'a n t 
manifestar	m a n i f e s t 'a ɾ	 m a n 'i f e s t 'a ɾ 
manifestares	m a n i f e s t 'a ɾ e s	 m a n 'i f e s t 'a ɾ e s 
manifestaria	m a n i f e s t a ɾ 'i a	 m a n 'i f e s t a ɾ 'i a 
manifestat	m a n i f e s t 'a t	 m a n 'i f e s t 'a t 
manifestats	m a n i f e s t 'a t s	 m a n 'i f e s t 'a t s 
manifestava	m a n i f e s t 'a v a	 m a n 'i f e s t 'a v a 
manipuladora	m a n i p u l a ð 'o ɾ a	 m a n i p u l a ð 'ɔ ɾ a 
manlleu	m a n ʎ 'e w	 m a n ʎ 'ɛ w 
manlleus	m a n ʎ 'e w s	 m a n ʎ 'ɛ w s 
manovella	m a n o v 'e ʎ a	 m a n o v 'ɛ ʎ a 
mantell	m a n t 'e ʎ	 m a n t 'ɛ ʎ 
manteniment	m a n t e n i m 'e n t	 m a n t 'ɛ n i m 'ɛ n t 
mantinguda	m a n t i ŋ g 'u ð a	 m a n t 'i ŋ g 'u ð a 
mantingudes	m a n t i ŋ g 'u ð e s	 m a n t 'i ŋ g 'u ð e s 
mantingueu	m a n t i ŋ g 'e w	 m a n t i ŋ g 'ɛ w 
mantingut	m a n t i ŋ g 'u t	 m a n t 'i ŋ g 'u t 
mantinguts	m a n t i ŋ g 'u t s	 m a n t 'i ŋ g 'u t s 
Manuel	m a n u 'ɛ l	 m a n 'u 'ɛ l 
manxec	m a n t ʃ 'e k	 m a n t ʃ 'ɛ k 
manxiula	m a n t ʃ 'i w l a	 m a n t ʃ 'i 'u l a 
maquineta	m a k i n 'e t a	 m a k i n 'ɛ t a 
marabú	m a ɾ a β 'u	 m a ɾ 'a β 'u 
marea	m a ɾ 'e a	 m a ɾ 'ɛ a 
mareig	m a ɾ 'e t ʃ	 m a ɾ 'ɛ t ʃ 
maresme	m a ɾ 'e z m e	 m 'a ɾ 'ɛ z m e 
marialluïsa	m a ɾ i a ʎ u 'i z a	 m a ɾ i 'a ʎ u 'i z a 
marianista	m a ɾ i a n 'i s t a	 m a ɾ 'i a n 'i s t a 
mariner	m a ɾ i n 'e ɾ	 m a ɾ i n 'ɛ ɾ 
marinera	m a ɾ i n 'e ɾ a	 m a ɾ i n 'ɛ ɾ a 
marineres	m a ɾ i n 'e ɾ e s	 m a ɾ i n 'ɛ ɾ e s 
marquem	m a ɾ k 'e m	 m a ɾ k 'ɛ m 
marquesa	m a ɾ k 'e z a	 m a ɾ k 'ɛ z a 
màrqueting	m 'a ɾ k e t i ŋ k	 m 'a ɾ k e t 'i ŋ k 
marrec	m a r 'e k	 m a r 'ɛ k 
martell	m a ɾ t 'e ʎ	 m a ɾ t 'ɛ ʎ 
martellejar	m a ɾ t e ʎ e d ʒ 'a ɾ	 m a ɾ t 'e ʎ e d ʒ 'a ɾ 
martinet	m a ɾ t i n 'e t	 m a ɾ t i n 'ɛ t 
mascareta	m a s k a ɾ 'e t a	 m a s k a ɾ 'ɛ t a 
mastegot	m a s t e ɣ 'ɔ t	 m a s t e ɣ 'o t 
matallums	m a t a ʎ 'u m s	 m a t 'a ʎ 'u m s 
matarem	m a t a ɾ 'e m	 m a t a ɾ 'ɛ m 
mateix	m a t 'e j ʃ	 m a t 'ɛ j ʃ 
matem	m a t 'e m	 m a t 'ɛ m 
materialisme	m a t e ɾ i a l 'i z m e	 m a t e ɾ 'i a l 'i z m e 
Mateu	m a t 'e w	 m a t 'ɛ w 
matiner	m a t i n 'e ɾ	 m a t i n 'ɛ ɾ 
matriarcals	m a t ɾ i a ɾ k 'a l s	 m a t ɾ i 'a ɾ k 'a l s 
matusser	m a t u s 'e ɾ	 m a t 'u s 'ɛ ɾ 
matxet	m a t ʃ 'e t	 m a t ʃ 'ɛ t 
mausoleu	m a w z o l 'e w	 m a w z o l 'ɛ w 
me	m 'e	 m e 
meca	m 'e k a	 m 'ɛ k a 
Meca	m 'e k a	 m 'ɛ k a 
mecenes	m e s 'e n e s	 m e s 'ɛ n e s 
mediació	m e ð i a s i 'o	 m e ð 'i a s i 'o 
mediador	m e ð i a ð 'o ɾ	 m e ð 'i a ð 'o ɾ 
medicament	m e ð i k a m 'e n t	 m e ð 'i k a m 'ɛ n t 
meitat	m e j t 'a t	 m e i t 'a t 
melancòlic	m e l a ŋ k 'ɔ l i k	 m e l 'a ŋ k 'ɔ l i k 
melanesi	m e l a n 'ɛ z i	 m e l 'a n 'ɛ z i 
melmelada	m e l m e l 'a ð a	 m 'ɛ l m e l 'a ð a 
membre	m 'e m b ɾ e	 m 'ɛ m b ɾ e 
membres	m 'e m b ɾ e s	 m 'ɛ m b ɾ e s 
mena	m 'e n a	 m 'ɛ n a 
menciona	m e n s i 'o n a	 m e n s i 'ɔ n a 
mencionaré	m e n s i o n a ɾ 'e	 m e n s i o n 'a ɾ 'e 
menciones	m e n s i 'o n e s	 m e n s i 'ɔ n e s 
menen	m 'e n e n	 m 'ɛ n e n 
menes	m 'e n e s	 m 'ɛ n e s 
menester	m e n e s t 'e ɾ	 m e n e s t 'ɛ ɾ 
mengen	m 'e n d ʒ e n	 m 'ɛ n d ʒ e n 
menges	m 'e n d ʒ e s	 m 'ɛ n d ʒ e s 
menja	m 'e n d ʒ a	 m 'ɛ n d ʒ a 
menjadora	m e n d ʒ a ð 'o ɾ a	 m e n d ʒ a ð 'ɔ ɾ a 
menjo	m 'e n d ʒ o	 m 'ɛ n d ʒ o 
ment	m 'e n t	 m 'ɛ n t 
menta	m 'e n t a	 m 'ɛ n t a 
mentider	m e n t i ð 'e ɾ	 m e n t i ð 'ɛ ɾ 
mentre	m 'e n t ɾ e	 m 'ɛ n t ɾ e 
menys	m 'e ɲ s	 m 'ɛ ɲ s 
menyspreades	m e ɲ s p ɾ e 'a ð e s	 m 'e ɲ s p ɾ e 'a ð e s 
menysvalorada	m e ɲ z v a l o ɾ 'a ð a	 m 'e ɲ z v a l o ɾ 'a ð a 
menysvalorades	m e ɲ z v a l o ɾ 'a ð e s	 m 'e ɲ z v a l o ɾ 'a ð e s 
menysvalorat	m e ɲ z v a l o ɾ 'a t	 m 'e ɲ z v a l o ɾ 'a t 
menysvalorats	m e ɲ z v a l o ɾ 'a t s	 m 'e ɲ z v a l o ɾ 'a t s 
mer	m 'e ɾ	 m 'ɛ ɾ 
mera	m 'e ɾ a	 m 'ɛ ɾ a 
meravella	m e ɾ a v 'e ʎ a	 m e ɾ a v 'ɛ ʎ a 
mercader	m e ɾ k a ð 'e ɾ	 m e ɾ k a ð 'ɛ ɾ 
Mercader	m e ɾ k a ð 'e ɾ	 m e ɾ k a ð 'ɛ ɾ 
mercuri	m e ɾ k 'u ɾ i	 m 'e ɾ k 'u ɾ i 
Mercuri	m e ɾ k 'u ɾ i	 m 'e ɾ k 'u ɾ i 
merder	m e ɾ ð 'e ɾ	 m 'e ɾ ð 'ɛ ɾ 
meres	m 'e ɾ e s	 m 'ɛ ɾ e s 
merescuda	m e ɾ e s k 'u ð a	 m 'e ɾ e s k 'u ð a 
merescudes	m e ɾ e s k 'u ð e s	 m 'e ɾ e s k 'u ð e s 
merescut	m e ɾ e s k 'u t	 m 'e ɾ e s k 'u t 
merescuts	m e ɾ e s k 'u t s	 m 'e ɾ e s k 'u t s 
mero	m 'e ɾ o	 m 'ɛ ɾ o 
mes	m 'e s	 m 'ɛ s 
mesa	m 'e z a	 m 'ɛ z a 
mescla	m 'e s k l a	 m 'ɛ s k l a 
mesclen	m 'e s k l e n	 m 'ɛ s k l e n 
mescles	m 'e s k l e s	 m 'ɛ s k l e s 
meses	m 'e z e s	 m 'ɛ z e s 
mesos	m 'e z o s	 m 'ɛ z o s 
mestra	m 'e s t ɾ a	 m 'ɛ s t ɾ a 
mestre	m 'e s t ɾ e	 m 'ɛ s t ɾ e 
mestres	m 'e s t ɾ e s	 m 'ɛ s t ɾ e s 
mestressa	m e s t ɾ 'e s a	 m e s t ɾ 'ɛ s a 
mesurament	m e z u ɾ a m 'e n t	 m e z 'u ɾ a m 'ɛ n t 
meta	m 'e t a	 m 'ɛ t a 
metal·lurgista	m e t a l u ɾ d ʒ 'i s t a	 m e t a l 'u ɾ d ʒ 'i s t a 
metatextual	m e t a t e k s t u 'a l	 m e t 'a t e k s t u 'a l 
metatextualitat	m e t a t e k s t u a l i t 'a t	 m e t 'a t e k s t u a l i t 'a t 
metes	m 'e t e s	 m 'ɛ t e s 
metralladora	m e t ɾ a ʎ a ð 'o ɾ a	 m e t ɾ a ʎ a ð 'ɔ ɾ a 
metre	m 'e t ɾ e	 m 'ɛ t ɾ e 
metres	m 'e t ɾ e s	 m 'ɛ t ɾ e s 
metro	m 'e t ɾ o	 m 'ɛ t ɾ o 
metxa	m 'e t ʃ a	 m 'ɛ t ʃ a 
meu	m 'e w	 m 'ɛ w 
meua	m 'e w a	 m 'ɛ w a 
meus	m 'e w s	 m 'ɛ w s 
meva	m 'e v a	 m 'ɛ v a 
meves	m 'e v e s	 m 'ɛ v e s 
miastènia	m i a s t 'ɛ n i a	 m i 'a s t 'ɛ n i a 
miastènies	m i a s t 'ɛ n i e s	 m i 'a s t 'ɛ n i e s 
micobacteri	m i k o β a k t 'ɛ ɾ i	 m i k o β 'a k t 'ɛ ɾ i 
microona	m i k ɾ o 'o n a	 m i k ɾ o 'ɔ n a 
microones	m i k ɾ o 'o n e s	 m i k ɾ 'ɔ 'ɔ n e s 
mig	m 'i t ʃ	 m 'i k 
migcampista	m i k k a m p 'i s t a	 m 'i ɣ k a m p 'i s t a 
milanesa	m i l a n 'e z a	 m i l 'a n 'ɛ z a 
miler	m i l 'e ɾ	 m i l 'ɛ ɾ 
millora	m i ʎ 'o ɾ a	 m i ʎ 'ɔ ɾ a 
millorament	m i ʎ o ɾ a m 'e n t	 m i ʎ 'ɔ ɾ a m 'ɛ n t 
miner	m i n 'e ɾ	 m i n 'ɛ ɾ 
miniatura	m i n i a t 'u ɾ a	 m i n 'i a t 'u ɾ a 
miqueta	m i k 'e t a	 m i k 'ɛ t a 
mirament	m i ɾ a m 'e n t	 m 'i ɾ a m 'ɛ n t 
misàndria	m i z 'a n d ɾ i a	 m i z 'a n d ɾ 'i a 
missioner	m i s i o n 'e ɾ	 m i s i o n 'ɛ ɾ 
misteriosa	m i s t e ɾ i 'o z a	 m i s t e ɾ i 'ɔ z a 
misteriosos	m i s t e ɾ i 'o z o s	 m i s t e ɾ i 'ɔ z o s 
mix	m 'i ʃ	 m 'i k s 
moc	m 'ɔ k	 m 'o k 
Moçambic	m o s a m b 'i k	 m o s 'a m b 'i k 
modest	m o ð 'e s t	 m o ð 'ɛ s t 
mofeta	m o f 'e t a	 m o f 'ɛ t a 
moliner	m o l i n 'e ɾ	 m o l i n 'ɛ ɾ 
molinet	m o l i n 'e t	 m o l i n 'ɛ t 
molsa	m 'o l s a	 m 'ɔ l s a 
molsuda	m o l s 'u ð a	 m 'o l s 'u ð a 
molsudes	m o l s 'u ð e s	 m 'o l s 'u ð e s 
molsut	m o l s 'u t	 m 'o l s 'u t 
molsuts	m o l s 'u t s	 m 'o l s 'u t s 
molts	m 'o l s	 m 'o l t s 
mòlts	m 'ɔ l s	 m 'ɔ l t s 
moment	m o m 'e n t	 m 'ɔ m 'ɛ n t 
mona	m 'o n a	 m 'ɔ n a 
monarquia	m o n a ɾ k 'i a	 m o n 'a ɾ k 'i a 
monàrquica	m o n 'a ɾ k i k a	 m o n 'a ɾ k 'i k a 
monàrquics	m o n 'a ɾ k i k s	 m o n 'a ɾ k 'i k s 
moneda	m o n 'e ð a	 m o n 'ɛ ð a 
mongeta	m o n d ʒ 'e t a	 m o n d ʒ 'ɛ t a 
mongol	m o ŋ g 'ɔ l	 m o ŋ g 'o l 
monobloc	m o n o β l 'ɔ k	 m o n o β l 'o k 
monologuista	m o n o l o ɣ 'i s t a	 m o n o l o ɣ u 'i s t a 
Montse	m 'o n s e	 m 'ɔ n d z e 
Montseny	m o n s 'e ɲ	 m 'o n s 'ɛ ɲ 
Montserrat	m o n s e r 'a t	 m 'o n s e r 'a t 
monument	m o n u m 'e n t	 m 'ɔ n u m 'ɛ n t 
morell	m o ɾ 'e ʎ	 m o ɾ 'ɛ ʎ 
morena	m o ɾ 'e n a	 m o ɾ 'ɛ n a 
morera	m o ɾ 'e ɾ a	 m o ɾ 'ɛ ɾ a 
moret	m o ɾ 'e t	 m o ɾ 'ɛ t 
morro	m 'o r o	 m 'ɔ r o 
morros	m 'o r o s	 m 'ɔ r o s 
morruda	m o r 'u ð a	 m 'o r 'u ð a 
morrudes	m o r 'u ð e s	 m 'o r 'u ð e s 
morrut	m o r 'u t	 m 'o r 'u t 
morruts	m o r 'u t s	 m 'o r 'u t s 
mort	m 'ɔ ɾ t	 m 'o ɾ t 
morter	m o ɾ t 'e ɾ	 m o ɾ t 'ɛ ɾ 
morú	m o ɾ 'u	 m 'o ɾ 'u 
mosaic	m o z 'a j k	 m o z 'a i k 
mosca	m 'o s k a	 m 'ɔ s k a 
mosques	m 'o s k e s	 m 'ɔ s k e s 
mosqueter	m o s k e t 'e ɾ	 m o s k e t 'ɛ ɾ 
mossàrab	m o s 'a ɾ a p	 m o s 'a ɾ a β 
mossega	m o s 'e ɣ a	 m o s 'ɛ ɣ a 
mossegaire	m o s e ɣ 'a j ɾ e	 m o s e ɣ 'a 'i ɾ e 
mosso	m 'o s o	 m 'ɔ s o 
mossos	m 'o s o s	 m 'ɔ s o s 
mostatxut	m o s t a t ʃ 'u t	 m o s t 'a t ʃ 'u t 
motllura	m o l l 'u ɾ a	 m o ʎ l 'u ɾ a 
motllurada	m o l l u ɾ 'a ð a	 m o l ʎ u ɾ 'a ð a 
motllurades	m o l l u ɾ 'a ð e s	 m o l ʎ u ɾ 'a ð e s 
motllurar	m o l l u ɾ 'a ɾ	 m o l ʎ u ɾ 'a ɾ 
motllurat	m o l l u ɾ 'a t	 m o l ʎ u ɾ 'a t 
motllurats	m o l l u ɾ 'a t s	 m o l ʎ u ɾ 'a t s 
moto	m 'o t o	 m 'ɔ t o 
motocicleta	m o t o s i k l 'e t a	 m o t o s i k l 'ɛ t a 
motocicletes	m o t o s i k l 'e t e s	 m o t o s i k l 'ɛ t e s 
motos	m 'o t o s	 m 'ɔ t o s 
motoserra	m o t o z 'ɛ r a	 m o t o s 'ɛ r a 
mou	m 'ɔ w	 m 'o w 
mous	m 'ɔ w s	 m 'o 'u s 
moviment	m o v i m 'e n t	 m 'ɔ v i m 'ɛ n t 
mudèjar	m u ð 'ɛ d ʒ a ɾ	 m u ð 'ɛ d ʒ 'a ɾ 
muller	m u ʎ 'e ɾ	 m 'u ʎ 'ɛ ɾ 
multidisciplinari	m u l t i ð i s i p l i n 'a ɾ i	 m u l t 'i ð i s i p l i n 'a ɾ i 
Muntaner	m u n t a n 'e ɾ	 m u n t a n 'ɛ ɾ 
muntanyenc	m u n t a ɲ 'e ŋ k	 m u n t 'a ɲ 'ɛ ŋ k 
muntanyenca	m u n t a ɲ 'e ŋ k a	 m u n t 'a ɲ 'ɛ ŋ k a 
muntanyosa	m u n t a ɲ 'o z a	 m u n t 'a ɲ 'ɔ z a 
muntanyoses	m u n t a ɲ 'o z e s	 m u n t 'a ɲ 'ɔ z e s 
Muntènia	m u n t 'ɛ n i a	 m 'u n t 'ɛ n i a 
museu	m u z 'e w	 m u z 'ɛ w 
mussol	m u s 'ɔ l	 m u s 'o l 
nadalenc	n a ð a l 'e ŋ k	 n a ð a l 'ɛ ŋ k 
nadius	n a ð 'i w s	 n a ð 'i 'u s 
nahua	n a 'u a	 n a j a 
naixement	n a j ʃ e m 'e n t	 n 'a j ʃ e m 'ɛ n t 
naixença	n a j ʃ 'e n s a	 n a j ʃ 'ɛ n s a 
naturalesa	n a t u ɾ a l 'e z a	 n a t u ɾ 'a l 'ɛ z a 
nàufrag	n 'a w f ɾ a k	 n 'a w f ɾ 'a k 
nauseabunda	n a w z e a β 'u n d a	 n 'a w z e a β 'u n d a 
nauseabundes	n a w z e a β 'u n d e s	 n 'a w z e a β 'u n d e s 
navarresa	n a v a r 'e z a	 n a v a r 'ɛ z a 
navarreses	n a v a r 'e z e s	 n a v a r 'ɛ z e s 
navarresos	n a v a r 'e z o s	 n a v a r 'ɛ z o s 
neboda	n e β 'o ð a	 n e β 'ɔ ð a 
nebulosa	n e β u l 'o z a	 n e β u l 'ɔ z a 
necesser	n e s e s 'e ɾ	 n e s e s 'ɛ ɾ 
neda	n 'e ð a	 n 'ɛ ð a 
neden	n 'e ð e n	 n 'ɛ ð e n 
nedes	n 'e ð e s	 n 'ɛ ð e s 
neerlandesa	n e e ɾ l a n d 'e z a	 n e e ɾ l a n d 'ɛ z a 
nega	n 'e ɣ a	 n 'ɛ ɣ a 
negligent	n e ɣ l i d ʒ 'e n t	 n e ɣ l i d ʒ 'ɛ n t 
nego	n 'e ɣ o	 n 'ɛ ɣ o 
negra	n 'e ɣ ɾ a	 n 'ɛ ɣ ɾ a 
negre	n 'e ɣ ɾ e	 n 'ɛ ɣ ɾ e 
negrer	n e ɣ ɾ 'e ɾ	 n e ɣ ɾ 'ɛ ɾ 
negres	n 'e ɣ ɾ e s	 n 'ɛ ɣ ɾ e s 
neguem	n e ɣ 'e m	 n e ɣ 'ɛ m 
neguen	n 'e ɣ e n	 n 'ɛ ɣ e n 
negues	n 'e ɣ e s	 n 'ɛ ɣ e s 
nen	n 'e n	 n 'ɛ n 
nena	n 'e n a	 n 'ɛ n a 
nenes	n 'e n e s	 n 'ɛ n e s 
nens	n 'e n s	 n 'ɛ n s 
nepalesa	n e p a l 'e z a	 n e p 'a l 'ɛ z a 
nepaleses	n e p a l 'e z e s	 n e p 'a l 'ɛ z e s 
nepalesos	n e p a l 'e z o s	 n e p 'a l 'ɛ z o s 
Neptú	n e p t 'u	 n 'e p t 'u 
neptuni	n e p t 'u n i	 n 'e p t 'u n i 
net	n 'e t	 n 'ɛ t 
neta	n 'e t a	 n 'ɛ t a 
netes	n 'e t e s	 n 'ɛ t e s 
nets	n 'e t s	 n 'ɛ t s 
neu	n 'e w	 n 'ɛ w 
neulir	n e w l 'i ɾ	 n e u l 'i ɾ 
neurastènia	n e w ɾ a s t 'ɛ n i a	 n e w ɾ 'a s t 'ɛ n i a 
neurona	n e w ɾ 'o n a	 n e w ɾ 'ɔ n a 
neus	n 'e w s	 n 'ɛ w s 
neutral	n e w t ɾ 'a l	 n 'e w t ɾ 'a l 
neutralisme	n e w t ɾ a l 'i z m e	 n 'e w t ɾ a l 'i z m e 
neutró	n e w t ɾ 'o	 n 'e w t ɾ 'o 
neva	n 'e v a	 n 'ɛ v a 
nevera	n e v 'e ɾ a	 n e v 'ɛ ɾ a 
niciesa	n i s i 'e z a	 n i s i 'ɛ z a 
ningú	n i ŋ g 'u	 n 'i ŋ g 'u 
ninot	n i n 'ɔ t	 n i n 'o t 
nitrur	n i t ɾ 'u ɾ	 n 'i t ɾ 'u ɾ 
nivell	n i v 'e ʎ	 n i v 'ɛ l i 
noblesa	n o β l 'e z a	 n o β l 'ɛ z a 
nocturn	n o k t 'u ɾ n	 n 'ɔ k t 'u ɾ n 
nodriment	n o ð ɾ i m 'e n t	 n 'ɔ ð ɾ i m 'ɛ n t 
noguera	n o ɣ 'e ɾ a	 n o ɣ 'ɛ ɾ a 
Noguera	n o ɣ 'e ɾ a	 n o ɣ 'ɛ ɾ a 
noi	n 'ɔ j	 n 'o i 
noieta	n o j 'e t a	 n o j 'ɛ t a 
nois	n 'ɔ j s	 n 'o i s 
nombre	n 'o m b ɾ e	 n 'ɔ m b ɾ e 
nombres	n 'o m b ɾ e s	 n 'ɔ m b ɾ e s 
Nombres	n 'o m b ɾ e s	 n 'ɔ m b ɾ e s 
nombrosa	n o m b ɾ 'o z a	 n o m b ɾ 'ɔ z a 
nombrosos	n o m b ɾ 'o z o s	 n o m b ɾ 'ɔ z o s 
nomenament	n o m e n a m 'e n t	 n o m 'ɛ n a m 'ɛ n t 
nord	n 'ɔ ɾ t	 n 'o ɾ t 
norma	n 'o ɾ m a	 n 'ɔ ɾ m a 
normes	n 'o ɾ m e s	 n 'ɔ ɾ m e s 
noruec	n o ɾ u 'e k	 n o ɾ 'u 'ɛ k 
Noruega	n o ɾ u 'e ɣ a	 n o ɾ u 'ɛ ɣ a 
nou	n 'ɔ w	 n 'o w 
noucasat	n o w k a z 'a t	 n o 'u k a z 'a t 
noucentisme	n o w s e n t 'i z m e	 n 'ɔ w s e n t 'i z m e 
nouguerola	n o w ɣ e ɾ 'ɔ l a	 n 'ɔ w ɣ e ɾ 'ɔ l a 
nous	n 'ɔ w s	 n 'o 'u s 
novembre	n o v 'e m b ɾ e	 n o v 'ɛ m b ɾ e 
novena	n o v 'e n a	 n o v 'ɛ n a 
noya	n 'ɔ j a	 n 'ɔ a 
