big	b 'i tʃ
esgüellaren	e z g w e ʎ 'a ɾ e n
esgüellares	e z g w e ʎ 'a ɾ e s
esgüellareu	'e z g w e ʎ a ɾ 'ɛ 'u
esgüellaria	e z g w e ʎ a ɾ 'i a
esgüellaràs	e z g w e ʎ a ɾ 'a s
esgüellaven	e z g w e ʎ 'a β e n
esgüellaves	e z g w e ʎ 'a β e s
esgüellàrem	e z g w e ʎ 'a ɾ e m
esgüellàreu	e z g w e ʎ 'a ɾ e u
esgüellàvem	e z g w e ʎ 'a β e m
esgüellàveu	'e z g w e ʎ 'a β e 'u
lampalagües	l a m p a l 'a ɣ e s
llengüejada	ʎ e ŋ g w e ʒ 'a ð a
llengüejant	ʎ e ŋ g w e ʒ 'a n
llengüejara	ʎ e ŋ g w e ʒ 'a ɾ a
llengüejats	ʎ e ŋ g w e ʒ 'a t s
llengüejava	ʎ e ŋ g w e ʒ 'a β a
monolingües	m o n o l 'i ŋ g w e s
multilingüe	m u l t i l 'i ŋ g w e
nicaragüenc	n i k a ɾ a g w 'e ŋ
nicaragüeny	n i k a ɾ a g w 'ɛ ɲ
nicaregüenc	n i k a ɾ e g w 'e ŋ
paraigüeres	p a ɾ a j ɣ 'e ɾ e s
paraigüeria	p a ɾ a ŋ g w e ɾ 'i a
plurilingüe	p l u ɾ i l 'i ŋ g w e
redargüeixi	r e ð a g w 'ɛ j ʃ i
redargüeixo	r e ð a g w 'ɛ j ʃ o
Guia	g 'i a
Guic	g 'i k
Guim	g 'i m
Guiu	g i 'u
agui	'a ɣ i
egui	'ɛ ɣ i
guia	g 'i a
guie	g 'i e
guii	g 'i i
guil	g 'i l
Guido	g 'i ð o
Guier	g i 'e
Guigó	g i ɣ 'o
Guils	g 'i l s
Guilà	g i l 'a
Guimó	g i m 'o
Guinó	g i n 'o
Guiol	g i 'ɔ l
Guiot	g i 'ɔ t
Guitó	g i t 'o
Guixa	g 'i tʃ a
Guixà	g i ʃ 'a
aguin	'a ɣ i n
aguis	'a ɣ i s
aguió	a ɣ i 'o
argui	'a ɾ ɣ i
begui	b 'ɛ ɣ i
bogui	b 'ɔ ɣ i
bugui	b 'u ɣ i
cagui	k 'a ɣ i
cegui	s 'ɛ ɣ i
cogui	k 'ɔ ɣ i
dagui	d 'a ɣ i
degui	d 'ɛ ɣ i
digui	d 'i ɣ i
dugui	d 'u ɣ i
eguin	'ɛ ɣ i n
fogui	f 'ɔ ɣ i
fugui	f 'u ɣ i
guiam	g u i 'a m
guiar	g u j 'a
guias	g 'i a s
guiat	g u i 'a t
guiau	g u j 'a
guiem	g i 'ɛ m
guien	g u 'i e n
guier	g i 'e
guies	g 'i e s
guieu	g 'i 'ɛ 'u
guiin	g u i 'i n
guiis	g 'i i s
guill	g u 'i ʎ
Aguiló	a ɣ i l 'o
Bangui	b 'a ŋ g i
Enguix	a ŋ g 'i tʃ
Guifre	g u 'i f ɾ e
Guifré	g i f ɾ 'e
Guilla	g u 'i ʎ a
Guillé	g i ʎ 'e
Guilló	g i ʎ 'o
Guimet	g i m 'ɛ t
Guinea	g i n 'e a
Guinol	g i n 'ɔ l
Guinyó	g i ɲ 'o
Guiral	g i ɾ 'a l
Guiret	g i ɾ 'ɛ t
Guiset	g i s 'ɛ t
Guiter	g i t 'e
Guitet	g i t 'ɛ t
Guiula	g u i 'u l a
Guivet	g i β 'ɛ t
Guixer	g i ʃ 'e
Seguiu	s e ɣ i 'u
adigui	a ð 'i ɣ i
afogui	a f 'ɔ ɣ i
aguiar	a ɣ u j 'a
aguiat	a ɣ u i 'a t
aguila	a ɣ u 'i l a
aguilo	a ɣ 'i l o
aguisa	a ɣ 'i z a
aguise	a ɣ 'i z e
aguisi	a ɣ 'i z i
aguiso	a ɣ 'i z o
aguisà	a ɣ i z 'a
aguisí	a ɣ i s 'i
ajagui	a ʒ 'a ɣ i
ajegui	a ʒ 'ɛ ɣ i
amagui	a m 'a ɣ i
amigui	a m 'i ɣ i
anguid	a ŋ g 'i
apagui	a p 'a ɣ i
apegui	a p 'ɛ ɣ i
aregui	a ɾ 'ɛ ɣ i
arguia	a ɾ ɣ 'i a
arguim	a ɾ ɣ u 'i m
arguir	a ɾ ɣ 'i
arguis	'a ɾ ɣ i s
arguit	a ɾ ɣ 'i t
arguiu	a ɾ ɣ i 'u
arguix	a ɾ ɣ 'i tʃ
beguin	b 'ɛ ɣ i n
beguis	b 'ɛ ɣ i s
blegui	b l 'ɛ ɣ i
boguin	b 'ɔ ɣ i n
boguis	b 'ɔ ɣ i s
bregui	b ɾ 'ɛ ɣ i
buguis	b 'u ɣ i s
caguin	k 'a ɣ i n
caguis	k 'a ɣ i s
caigui	k 'a i ɣ i
calgui	k 'a l ɣ i
ceguin	s 'ɛ ɣ i n
ceguis	s 'ɛ ɣ i s
clogui	k l 'ɔ ɣ i
coguin	k 'ɔ ɣ i n
coguis	k 'ɔ ɣ i s
colgui	k 'ɔ l ɣ i
cregui	k ɾ 'ɛ ɣ i
deguin	d 'ɛ ɣ i n
deguis	d 'ɛ ɣ i s
diguin	d 'i ɣ i n
diguis	d 'i ɣ i s
dingui	d 'i ŋ g i
dolgui	d 'ɔ l ɣ i
dragui	d ɾ 'a ɣ i
drogui	d ɾ 'ɔ ɣ i
duguin	d 'u ɣ i n
duguis	d 'u ɣ i s
eguina	e ɣ 'i n a
eguine	e ɣ 'i n e
eguini	e ɣ 'i n i
eguino	e ɣ 'i n o
eguins	e ɣ 'i n s
eguinà	e ɣ i n 'a
eguiní	e ɣ i n 'i
enguix	a ŋ g 'i tʃ
erogui	e ɾ 'ɔ ɣ i
esguit	a z ɣ 'i t
fangui	f 'a ŋ g i
fargui	f 'a ɾ ɣ i
fengui	f 'ɛ ŋ g i
foguin	f 'ɔ ɣ i n
foguis	f 'ɔ ɣ i s
folgui	f 'ɔ l ɣ i
fongui	f 'ɔ ŋ g i
fregui	f ɾ 'ɛ ɣ i
fuguin	f 'u ɣ i n
fuguis	f 'u ɣ i s
furgui	f 'u ɾ ɣ i
galgui	g 'a l ɣ i
grogui	g ɾ 'ɔ ɣ i
guiada	g i 'a ð a
guiant	g i 'a n
guiara	g i 'a ɾ a
guiare	g i 'a ɾ e
guiarà	g i a ɾ 'a
guiaré	g i a ɾ 'e
guiats	g u i 'a t s
guiava	g i 'a β a
guiera	g i 'e ɾ a
guiers	g i 'e s
guieta	g i 'ɛ t a
guigou	g i ɣ o 'u
guilal	g i l 'a l
guilda	g u 'i l d a
guilla	g u 'i ʎ a
Aguilar	a ɣ i l 'a
Aguiler	a ɣ i l 'e
Aguirre	a ɣ 'i r e
Anguita	a ŋ g u 'i t a
Gauguin	g 'a u ɣ i n
Genguis	dʒ 'ɛ ŋ g i s
Guibert	g i β 'ɛ t
Guijoan	g i ʒ o 'a n
Guilana	g i l 'a n a
Guilart	g i l 'a t
Guilera	g i l 'e ɾ a
Guillem	g i ʎ 'ɛ m
Guillot	g i ʎ 'ɔ t
Guillén	g i ʎ 'e n
Guimerà	g i m e ɾ 'a
Guinard	g i n 'a ɾ i
Guinnes	g w 'i n n e s
Guisard	g i z 'a ɾ i
Guitard	g i t 'a ɾ i
Guixers	g i ʃ 'e s
Reguill	r e ɣ u 'i ʎ
Ubangui	u β 'a ŋ g i
abrigui	a β ɾ 'i ɣ i
abrogui	a β ɾ 'ɔ ɣ i
adargui	a ð 'a ɾ ɣ i
adiguin	a ð 'i ɣ i n
adiguis	a ð 'i ɣ i s
afoguin	a f 'ɔ ɣ i n
afoguis	a f 'ɔ ɣ i s
agregui	a ɣ ɾ 'ɛ ɣ i
aguiats	a ɣ u i 'a t s
aguiles	a ɣ 'i l e s
aguilot	a ɣ i l 'ɔ t
aguions	a ɣ u i 'o n s
aguisam	a ɣ i z 'a m
aguisar	a ɣ i z 'a
aguisas	a ɣ i z 'a s
aguisat	a ɣ i z 'a t
aguisau	a ɣ i z a 'u
aguisem	a ɣ i s 'ɛ m
aguisen	a ɣ 'i z e n
aguises	a ɣ 'i z e s
aguiseu	a ɣ i s e 'u
aguisin	a ɣ 'i z i n
aguisis	a ɣ 'i z i s
aguissa	a ɣ 'i s a
aguisse	a ɣ 'i s e
aguissi	a ɣ 'i s i
aguisso	a ɣ 'i s o
aguisés	a ɣ i s 'e s
ajaguin	a ʒ 'a ɣ i n
ajaguis	a ʒ 'a ɣ i s
ajeguin	a ʒ 'ɛ ɣ i n
ajeguis	a ʒ 'ɛ ɣ i s
alligui	a ʎ 'i ɣ i
amaguin	a m 'a ɣ i n
amaguis	a m 'a ɣ i s
amargui	a m 'a ɾ ɣ i
amiguin	a m 'i ɣ i n
amiguis	a m 'i ɣ i s
anguids	a ŋ g 'i s
anguila	a ŋ g u 'i l a
anguilo	a ŋ g 'i l o
anguiló	a ŋ g i l 'o
apaguin	a p 'a ɣ i n
apaguis	a p 'a ɣ i s
apeguin	a p 'ɛ ɣ i n
apeguis	a p 'ɛ ɣ i s
aplegui	a p l 'ɛ ɣ i
areguin	a ɾ 'ɛ ɣ i n
areguis	a ɾ 'ɛ ɣ i s
arengui	a ɾ 'ɛ ŋ g i
arguida	a ɾ ɣ u 'i ð a
arguiem	a ɾ ɣ i 'ɛ m
arguien	a ɾ ɣ u 'i e n
arguies	a ɾ ɣ 'i e s
arguieu	a ɾ ɣ 'i 'ɛ 'u
arguint	a ɾ ɣ u 'i n
arguira	a ɾ ɣ u 'i ɾ a
arguire	a ɾ ɣ u 'i ɾ e
arguisc	a ɾ ɣ u 'i s k
arguits	a ɾ ɣ 'i t s
arguixo	a ɾ ɣ 'i tʃ o
arrogui	a r 'ɔ ɣ i
arrugui	a r 'u ɣ i
artigui	a t 'i ɣ i
assegui	a s 'ɛ ɣ i
atengui	a t 'ɛ ŋ g i
atingui	a t 'i ŋ g i
atorgui	a t 'ɔ ɾ ɣ i
atragui	a t ɾ 'a ɣ i
atregui	a t ɾ 'ɛ ɣ i
avengui	a β 'ɛ ŋ g i
avingui	a β 'i ŋ g i
bategui	b a t 'ɛ ɣ i
beguina	b e ɣ 'i n a
beguins	b e ɣ 'i n s
belegui	b e l 'ɛ ɣ i
biguins	b i ɣ 'i n s
bleguin	b l 'ɛ ɣ i n
bleguis	b l 'ɛ ɣ i s
bofegui	b o f 'ɛ ɣ i
bonegui	b o n 'ɛ ɣ i
breguin	b ɾ 'ɛ ɣ i n
breguis	b ɾ 'ɛ ɣ i s
bufegui	b u f 'ɛ ɣ i
caiguin	k 'a i ɣ i n
caiguis	k 'a i ɣ i s
calguin	k 'a l ɣ i n
calguis	k 'a l ɣ i s
ceguins	s e ɣ 'i n s
cloguin	k l 'ɔ ɣ i n
cloguis	k l 'ɔ ɣ i s
colguin	k 'ɔ l ɣ i n
colguis	k 'ɔ l ɣ i s
conegui	k o n 'ɛ ɣ i
creguin	k ɾ 'ɛ ɣ i n
creguis	k ɾ 'ɛ ɣ i s
càguila	k 'a ɣ i l a
daguins	d a ɣ 'i n s
delegui	d e l 'ɛ ɣ i
denegui	d e n 'ɛ ɣ i
derogui	d e ɾ 'ɔ ɣ i
dinguis	d 'i ŋ g i s
divagui	d i β 'a ɣ i
dolguin	d 'ɔ l ɣ i n
dolguis	d 'ɔ l ɣ i s
draguin	d ɾ 'a ɣ i n
draguis	d ɾ 'a ɣ i s
dringui	d ɾ 'i ŋ g i
droguin	d ɾ 'ɔ ɣ i n
droguis	d ɾ 'ɔ ɣ i s
ecoguia	e k o ɣ 'i a
eguilaz	e ɣ i l 'a z
eguinam	e ɣ i n 'a m
eguinar	e ɣ i n 'a
eguinas	e ɣ i n 'a s
eguinat	e ɣ i n 'a t
eguinau	e ɣ i n a 'u
eguinem	e ɣ i n 'ɛ m
eguinen	e ɣ 'i n e n
eguines	e ɣ 'i n e s
eguineu	e ɣ i n e 'u
eguinin	e ɣ 'i n i n
eguinis	e ɣ 'i n i s
eguinés	e ɣ i n 'e s
eixugui	e j ʃ 'u ɣ i
embagui	a m b 'a ɣ i
embegui	a m b 'ɛ ɣ i
embigui	a m b 'i ɣ i
embogui	a m b 'ɔ ɣ i
empegui	a m p 'ɛ ɣ i
enaigui	a n 'a i ɣ i
encegui	a n s 'ɛ ɣ i
endegui	a n d 'ɛ ɣ i
endugui	a n d 'u ɣ i
enfigui	a n f 'i ɣ i
engegui	a n dʒ 'ɛ ɣ i
enguier	a ŋ g i 'e
enguixa	a ŋ g 'i tʃ a
enguixe	a ŋ g 'i tʃ e
enguixi	a ŋ g 'i k s i
enguixo	a ŋ g 'i tʃ o
enguixà	a ŋ g i ʃ 'a
enguixí	a ŋ g i ʃ 'i
ensegui	a n s 'ɛ ɣ i
eroguin	e ɾ 'ɔ ɣ i n
eroguis	e ɾ 'ɔ ɣ i s
esguimb	a z ɣ u 'i m b
esguins	a z ɣ 'i n s
esguita	a z ɣ u 'i t a
esguite	a z ɣ u 'i t e
esguiti	a z ɣ u 'i t i
esguito	a z ɣ u 'i t o
esguits	a z ɣ 'i t s
esguità	a z ɣ i t 'a
esguitó	a z ɣ i t 'o
espigui	a s p 'i ɣ i
estigui	a s t 'i ɣ i
fadigui	f a ð 'i ɣ i
fanguin	f 'a ŋ g i n
fanguis	f 'a ŋ g i s
farguin	f 'a ɾ ɣ i n
farguis	f 'a ɾ ɣ i s
fatigui	f a t 'i ɣ i
fenguin	f 'ɛ ŋ g i n
fenguis	f 'ɛ ŋ g i s
flingui	f l 'i ŋ g i
folguin	f 'ɔ l ɣ i n
folguis	f 'ɔ l ɣ i s
fonguin	f 'ɔ ŋ g i n
fonguis	f 'ɔ ŋ g i s
freguin	f ɾ 'ɛ ɣ i n
freguis	f ɾ 'ɛ ɣ i s
fumigui	f u m 'i ɣ i
furguin	f 'u ɾ ɣ i n
furguis	f 'u ɾ ɣ i s
galguin	g 'a l ɣ i n
galguis	g 'a l ɣ i s
ganguil	g a ŋ g 'i l
garguil	g a ɾ ɣ 'i l
gemegui	dʒ e m 'ɛ ɣ i
girigui	dʒ i ɾ 'i ɣ i
groguis	g ɾ 'ɔ ɣ i s
guiable	g i 'a β l e
guiades	g u i 'a ð e s
guiador	g i a ð 'o
guiaran	g i a ɾ 'a n
guiaras	g i 'a ɾ a s
guiarem	g i a ɾ 'ɛ m
guiaren	g i 'a ɾ e n
guiares	g i 'a ɾ e s
guiareu	g 'i a ɾ 'ɛ 'u
guiaria	g i a ɾ 'i a
guiaràs	g i a ɾ 'a s
guiatge	g i 'a dʒ e
guiavem	g u i a β 'ɛ m
guiaven	g i 'a β e n
guiaves	g i 'a β e s
guiaveu	g u 'i a β 'ɛ 'u
guidice	g i ð 'i s e
guieres	g i 'e ɾ e s
guietes	g i 'ɛ t e s
guilals	g i l 'a l s
guilarà	g i l a ɾ 'a
guildes	g u 'i l d e s
Aguilart	a ɣ i l 'a t
Aguilera	a ɣ i l 'e ɾ a
Anguilla	a ŋ g u 'i ʎ a
Guiamell	g i a m 'e ʎ
Guiamets	g i a m 'ɛ t s
Guijarro	g i ʒ 'a r o
Guijaume	g i ʒ a 'u m e
Guillema	g i ʎ 'ɛ m a
Guillemí	g i ʎ e m 'i
Guillemó	g i ʎ e m 'o
Guillera	g i ʎ 'e ɾ a
Guimjoan	g i m e o 'a n
Guinness	g i n n 'ɛ s
Guissona	g i s 'o n a
Guiteres	g i t 'e ɾ e s
Guixarró	g i ʃ a r 'o
Jáuregui	dʒ u ɾ 'ɛ ɣ i
abriguin	a β ɾ 'i ɣ i n
abriguis	a β ɾ 'i ɣ i s
abroguin	a β ɾ 'ɔ ɣ i n
abroguis	a β ɾ 'ɔ ɣ i s
absolgui	a p s 'ɔ l ɣ i
adarguin	a ð 'a ɾ ɣ i n
adarguis	a ð 'a ɾ ɣ i s
advengui	a d b 'ɛ ŋ g i
advingui	a d b 'i ŋ g i
afalagui	a f a l 'a ɣ i
afamegui	a f a m 'ɛ ɣ i
agreguin	a ɣ ɾ 'ɛ ɣ i n
agreguis	a ɣ ɾ 'ɛ ɣ i s
aguilenc	a ɣ i l 'e ŋ
aguileta	a ɣ i l 'ɛ t a
aguilons	a ɣ i l 'o n s
aguilots	a ɣ i l 'ɔ t s
aguisada	a ɣ i z 'a ð a
aguisant	a ɣ i z 'a n
aguisara	a ɣ i z 'a ɾ a
aguisare	a ɣ i z 'a ɾ e
aguisarà	a ɣ i z a ɾ 'a
aguisaré	a ɣ i z a ɾ 'e
aguisats	a ɣ i z 'a t s
aguisava	a ɣ i z 'a β a
aguissam	a ɣ i s 'a m
aguissar	a ɣ i s 'a
aguissas	a ɣ 'i s a s
aguissat	a ɣ i s 'a t
aguissau	a ɣ i s 'a u
aguissem	a ɣ i s 'ɛ m
aguissen	a ɣ 'i s e n
aguisses	a ɣ 'i s e s
aguisseu	a ɣ i s 'ɛ u
aguissin	a ɣ 'i s i n
aguissis	a ɣ 'i s i s
albergui	a l β 'ɛ ɾ ɣ i
allargui	a ʎ 'a ɾ ɣ i
alliguin	a ʎ 'i ɣ i n
alliguis	a ʎ 'i ɣ i s
allongui	a ʎ 'ɔ ŋ g i
al·legui	a l 'ɛ ɣ i
amarguin	a m 'a ɾ ɣ i n
amarguis	a m 'a ɾ ɣ i s
anguiler	a ŋ g i l 'e
anguiles	a ŋ g 'i l e s
anguillà	a ŋ g i ʎ 'a
aparegui	a p a ɾ 'ɛ ɣ i
apleguin	a p l 'ɛ ɣ i n
apleguis	a p l 'ɛ ɣ i s
aporugui	a p o ɾ 'u ɣ i
aprengui	a p ɾ 'ɛ ŋ g i
arenguin	a ɾ 'ɛ ŋ g i n
arenguis	a ɾ 'ɛ ŋ g i s
arguible	a ɾ ɣ u 'i β l e
arguicio	a ɾ ɣ i s 'i o
arguides	a ɾ ɣ 'i ð e s
arguidor	a ɾ ɣ i ð 'o
arguiran	a ɾ ɣ i ɾ 'a n
arguiras	a ɾ ɣ u i ɾ 'a s
arguirem	a ɾ ɣ i ɾ 'ɛ m
arguiren	a ɾ ɣ u 'i ɾ e n
arguires	a ɾ ɣ u 'i ɾ e s
arguireu	a ɾ ɣ i ɾ e 'u
arguiria	a ɾ ɣ i ɾ 'i a
arguisca	a ɾ ɣ u 'i s k a
arguixen	a ɾ ɣ 'i tʃ e n
arguixes	a ɾ ɣ 'i tʃ e s
arrengui	a r 'ɛ ŋ g i
arroguin	a r 'ɔ ɣ i n
arroguis	a r 'ɔ ɣ i s
arruguin	a r 'u ɣ i n
arruguis	a r 'u ɣ i s
artiguin	a t 'i ɣ i n
artiguis	a t 'i ɣ i s
asseguin	a s 'ɛ ɣ i n
asseguis	a s 'ɛ ɣ i s
atenguin	a t 'ɛ ŋ g i n
atenguis	a t 'ɛ ŋ g i s
atinguin	a t 'i ŋ g i n
atinguis	a t 'i ŋ g i s
lingüista	l i ŋ g w 'i s t a
llegüines	ʎ e ɣ 'i n e s
redargüim	r e ð a ɾ e w 'i m
redargüir	r e ð a ɾ e w 'i
redargüit	r e ð a ɾ e w 'i t
redargüiu	r e ð 'a ɾ a w 'i 'u
sotaigüin	s o t a i g w 'i n
sotaigüis	s o t 'a i ɣ i s
ambigüitat	a m b i g i t 'a t
argüicions	'a g w i s 'i 'o n s
argüidores	a g w i ð 'o ɾ e s
argüisquen	a ɾ g w 'i s k e n
desenaigüi	d e z e n 'a i ɣ i
desllengüi	d e z ʎ 'ɛ ŋ g i
exigüitats	e g z i g i t 'a t s
lingüicidi	l i ŋ g w i s 'i ð i
lingüistes	l i ŋ g w 'i s t e s
pingüinera	p i ŋ g w i n 'e ɾ a
piragüisme	p i ɾ a ɣ 'i z m e
piragüista	p i ɾ a ɣ 'i s t a
redargüint	r e ð a ɾ e w 'i n
redargüirà	r e ð a ɾ g w i ɾ 'a
redargüiré	r e ð 'a ɾ g w 'i ɾ 'e
ambigüitats	a m b i g i t 'a t s
bilingüisme	b i l i ŋ g w 'i z m e
bilingüista	b i l i ŋ g w 'i s t a
contigüitat	k o n t i g i t 'a t
desenaigüin	d e z e n a i g w 'i n
desenaigüis	d e z e n 'a i ɣ i s
desllengüin	d e z ʎ e ŋ g w 'i n
desllengüis	d e z ʎ e ŋ g w 'i s
lingüicidis	l i ŋ g w i s 'i ð i s
lingüiforme	l i ŋ g w i f 'ɔ m e
pingüineres	p i ŋ g w i n 'e ɾ e s
piragüismes	p i ɾ a ɣ 'i z m e s
piragüistes	p i ɾ a ɣ 'i s t e s
redargüiran	r e ð a ɾ g w i ɾ 'a n
redargüirem	r e ð a ɾ g w i ɾ 'ɛ m
redargüireu	r e ð 'a ɾ g w i ɾ 'ɛ 'u
redargüiria	r e ð a ɾ g w i ɾ 'i a
redargüiràs	r e ð a ɾ g w i ɾ 'a s
bilingüismes	b i l i ŋ g w 'i z m e s
bilingüistes	b i l i ŋ g w 'i s t e s
contigüitats	k o n t i g i t 'a t s
lingüiformes	l i ŋ g w i f 'ɔ m e s
redargüirien	r e ð a ɾ g w i ɾ 'i e n
redargüiries	r e ð a ɾ g w i ɾ 'i e s
redargüiríem	r e ð a ɾ g w i ɾ 'i e m
redargüiríeu	r e ð a ɾ g w i ɾ 'i e u
trilingüisme	t ɾ i l i ŋ g w 'i z m e
unilingüisme	u n i l i ŋ g w 'i z m e
monolingüisme	m o n o l i ŋ g w 'i z m e
trilingüismes	t ɾ i l i ŋ g w 'i z m e s
unilingüismes	u n i l i ŋ g w 'i z m e s
