big	b 'i tʃ }
ambigües	ə m b 'i  g e ə s }
argüeixi	a ɾ ə 'u 'ɛ ʃ i }
argüeixo	a ɾ ə w 'e ʃ o }
bilingüe	b i l 'i ŋ g w ə }
cohigües	k o 'a  g e ə s }
coligües	k o l 'i ɣ e ə s }
desaigüe	d ə z 'a i  g e ə }
eixagüem	ə ʃ ə ɣ u 'e m }
eixagüen	ə ʃ 'a  g e ə n }
eixagües	ə ʃ 'a  g e ə s }
eixagüeu	ə ʃ ə ɣ u 'ɛ w }
enaigüem	ə n ə j ə 'u 'e m }
enaigüen	ə n 'a i e ə n }
enaigües	ə n 'a i  g e ə s }
enaigüeu	ə n ə j ɣ 'u 'ɛ w }
esgüella	ə z ə w 'e ʎ ə }
esgüelle	ə z ə w 'ə ʎ ə }
esgüelli	ə z ə w 'ɛ ʎ i }
esgüello	ə z ə w 'ɛ ʎ o }
esgüells	ə z ə w 'e ʎ s }
esgüellà	ə z ɣ e ə ʎ 'a }
esgüellí	ə z ɣ e ə ʎ 'i }
exangües	ə t s 'a ŋ g w ə s }
exsangüe	ə t s 'a ŋ g w ə }
güellada	 g e ə ʎ 'a ð ə }
güellant	 g e ə ʎ 'a n t }
güellarà	 g ə e ʎ ə ɾ 'a }
güellaré	 g ə e ʎ ə ɾ 'e }
güellats	 g e ə ʎ 'a t s }
güellava	 g e ə ʎ 'a v ə }
higüeles	i ə s 'ɛ l ə s }
llengües	ʎ 'ə ŋ g w ə s }
llengüet	ʎ ə ŋ g w 'e t }
macagües	m ə k 'a ɣ e ə s }
manigües	m ə n 'i  g e ə s }
patagües	p ə t 'a ʒ i ə s }
piragüer	p i ɾ ə ɣ ɾ 'e }
piragües	p i ɾ 'a ʒ i ə s }
següents	s ə ʒ w 'e n s }
sinagües	s i n 'a ɣ e ə s }
ungüents	u ŋ g w 'e n s }
Dosaigües	d o z 'a i ɣ ɾ ə s }
Setaigües	s ə t 'a i  g e ə s }
Titaigües	t i t 'a i  g e ə s }
aigüerada	a j ɣ ɾ ə ɾ 'a ð ə }
aigüerola	a j ɣ ɾ ə ɾ 'ɔ l ə }
aigüerols	a j ɣ ɾ ə ɾ 'ɔ l s }
aigüerull	a j ɣ ɾ ə ɾ 'u ʎ }
aigüesera	a j ɣ ɾ ə z 'e ɾ ə }
aigüesers	a j ɣ ɾ ə s 'e s }
aigüesser	a j ɣ ɾ ə s 'e }
argüeixen	a ɾ ə w 'e ʃ ə n }
argüeixes	a ɾ ə w 'e ʃ ə s }
argüeixin	a ɾ ə 'u 'ɛ ʃ i n }
argüeixis	a ɾ ə 'u 'ɛ ʃ i s }
argüesqui	a ɾ ɣ 'u 'ə s k i }
bilingües	b i l 'i ŋ g w ə s }
contigües	k o n t 'i  g e ə s }
desaigüem	d ə z ə j ə 'u 'e m }
desaigüen	d ə z 'a i  g e ə n }
desaigües	d ə z 'a i ɣ ɾ ə s }
desaigüeu	d ə z ə j ɣ 'u 'ɛ w }
dosaigüer	d o z ə j ə w 'e }
esgüellar	ə z ɣ e ə ʎ 'a }
esgüellat	ə z ɣ e ə ʎ 'a t }
esgüellau	ə z ɣ e ə ʎ 'a w }
esgüellem	ə z ɣ e ə ʎ 'e m }
esgüellen	ə z ə w 'e ʎ ə n }
esgüelles	ə z ə w 'e ʎ ə s }
esgüelleu	ə z ɣ e ə ʎ 'ə w }
esgüellin	ə z ə w 'ɛ ʎ i n }
esgüellis	ə z ə w 'ɛ ʎ i s }
esgüellés	ə z ɣ e ə ʎ 'e s }
exsangües	ə t s 'a ŋ g w ə s }
güellades	 g e ə ʎ 'a ð ə s }
güellaran	 g ə e ʎ ə ɾ 'a n }
güellarem	 g ə e ʎ ə ɾ 'e m }
güellaren	 g e ə ʎ 'a ɾ ə n }
güellares	 g e ə ʎ 'a ɾ ə s }
güellareu	 g ə e ʎ ə ɾ 'ə w }
güellaria	 g ə e ʎ ə ɾ 'i ə }
güellaràs	 g ə e ʎ ə ɾ 'a s }
güellaven	 g e ə ʎ 'a v ə n }
güellaves	 g e ə ʎ 'a v ə s }
güellàrem	 g e ə ʎ 'a ɾ ə m }
güellàreu	 g e ə ʎ 'a ɾ ə w }
güellàvem	 g e ə ʎ 'a v ə m }
güellàveu	 g e ə ʎ 'a v ə w }
hurtagües	u ɾ t 'a ʒ i ə s }
llengüege	ʎ ə ŋ g 'u 'ə ʒ ə }
llengüejà	ʎ ə ŋ g w ə ʒ 'a }
llengüeta	ʎ ə ŋ g w 'e t ə }
macagüeta	m ə k ə ɣ ɾ 'e t ə }
paraigüer	p ə ɾ ə j ə w 'e }
paraigües	p ə ɾ 'a i  g e ə s }
paraigüet	p ə ɾ ə j ə 'u 'e t }
perigüell	p ə ɾ i ə w 'e ʎ }
piragüera	p i ɾ ə ɣ ɾ 'e ɾ ə }
piragüers	p i ɾ ə ɣ ɾ 'e s }
resaigües	r ə z 'a i ɣ ɾ ə s }
saragüell	s ə ɾ ə ɣ ɾ 'e ʎ }
setaigüer	s ə t ə j ə w 'e }
sotaigüem	s o t ə j ə 'u 'e m }
sotaigüen	s o t 'a i  g e ə n }
sotaigües	s o t 'a i  g e ə s }
sotaigüeu	s o t ə j ə 'u 'ɛ w }
trilingüe	t ɾ i l 'i ŋ g w ə }
ungüenter	u ŋ g w ə n t 'e }
unilingüe	u n i l 'i ŋ g w ə }
Aigüeroles	a j ɣ ɾ ə ɾ 'ɔ l ə s }
Duesaigües	d u ə z 'a i ɣ ɾ ə s }
Entraigües	ə n t ɾ 'a i  g e ə s }
Tramaigües	t ɾ ə m 'a i  g e ə s }
agüelastra	ə ɣ u ə l 'a s t ɾ ə }
agüelastre	ə ɣ u ə l 'a s t ɾ ə }
aigüerades	a j ɣ ɾ ə ɾ 'a ð ə s }
aigüerulls	a j ɣ ɾ ə ɾ 'u ʎ s }
aigüeseres	a j ɣ ɾ ə s 'e ɾ ə s }
aigüessera	a j ɣ ɾ ə s 'e ɾ ə }
aigüessers	a j ɣ ɾ ə s 'e s }
argüesquin	a ɾ ɣ 'u 'ə s k i n }
consegüent	k o n s ə ɣ ɾ 'e n t }
esgüellada	ə z ɣ e ə ʎ 'a ð ə }
esgüellant	ə z ɣ e ə ʎ 'a n t }
esgüellara	ə z ɣ e ə ʎ 'a ɾ ə }
esgüellarà	ə z ɣ ə e ʎ ə ɾ 'a }
esgüellaré	ə z ɣ ə e ʎ ə ɾ 'e }
esgüellats	ə z ɣ e ə ʎ 'a t s }
esgüellava	ə z ɣ e ə ʎ 'a v ə }
güellarien	 g ə e ʎ ə ɾ 'i ə n }
güellaries	 g ə e ʎ ə ɾ 'i ə s }
güellaríem	 g ə e ʎ ə ɾ 'i ə m }
güellaríeu	 g ə e ʎ ə ɾ 'i ə w }
güellessin	 g e ə ʎ 'ə s i n }
güellessis	 g e ə ʎ 'ə s i s }
güelléssim	 g ə e ʎ 'e s i m }
güelléssiu	 g ə e ʎ 'e s i w }
llengüeges	ʎ ə ŋ g 'u 'ə ʒ ə s }
llengüegeu	ʎ ə ŋ g 'u ə ʒ 'ɛ w }
llengüegés	ʎ ə ŋ g w ə ʒ 'e s }
llengüejar	ʎ ə ŋ g w ə ʒ 'a }
llengüejat	ʎ ə ŋ g w ə ʒ 'a t }
llengüetes	ʎ ə ŋ g w 'e t ə s }
macagüetes	m ə k ə ɣ ɾ 'e t ə s }
monolingüe	m o n o l 'i ŋ g w ə }
nicaragües	n i k ə ɾ 'a ʒ i ə s }
paraigüera	p ə ɾ ə j ə w 'e ɾ ə }
paraigüers	p ə ɾ ə j ə m 'e s }
paraigüets	p ə ɾ ə j ə 'u 'e t s }
piragüeres	p i ɾ ə ɣ ɾ 'e ɾ ə s }
redargüeix	r ə ð ə ɾ ə w 'e ʃ }
saragüells	s ə ɾ ə ɣ ɾ 'e ʎ s }
subsegüent	s u t s ə ɣ ɾ 'e n t }
titaigüenc	t i t ə j ə w 'e ŋ k }
trilingües	t ɾ i l 'i ŋ g w ə s }
ungüentari	u ŋ g w ə n t 'a ɾ i }
ungüentera	u ŋ g w ə n t 'e ɾ ə }
ungüenters	u ŋ g w ə n t 'e s }
unilingües	u n i l 'i ŋ g w ə s }
agüelastres	ə ɣ u ə l 'a s t ɾ ə s }
aigüesseres	a j ɣ ɾ ə s 'e ɾ ə s }
bilingüezzs	b i l i ŋ g u 'ə z i s }
catxalagües	k ə tʃ ə l 'a ɣ e ə s }
consegüents	k o n s ə ɣ ɾ 'e n s }
desenaigüem	d ə z ə n ə j ə 'u 'e m }
desenaigüen	d ə z ə n 'a i e ə n }
desenaigües	d ə z ə n 'a i  g e ə s }
desenaigüeu	d ə z ə n ə j ɣ 'u 'ɛ w }
desllengüem	d ə z ʎ ə ŋ g w 'e m }
desllengüen	d ə z ʎ 'e ŋ g w ə n }
desllengües	d ə z ʎ 'ə ŋ g w ə s }
desllengüeu	d ə z ʎ ə ŋ g w 'ɛ w }
duesaigüenc	d u ə z ə j ə w 'e ŋ k }
eixagüessin	ə ʃ ə ɣ u 'ɛ s i n }
eixagüessis	ə ʃ ə ɣ u 'ɛ s i s }
enaigüessin	ə n ə j ɣ 'u 'ɛ s i n }
enaigüessis	ə n ə j ɣ 'u 'ɛ s i s }
esgüellades	ə z ɣ e ə ʎ 'a ð ə s }
esgüellaran	ə z ɣ ə e ʎ ə ɾ 'a n }
esgüellarem	ə z ɣ ə e ʎ ə ɾ 'e m }
esgüellaren	ə z ɣ e ə ʎ 'a ɾ ə n }
esgüellares	ə z ɣ e ə ʎ 'a ɾ ə s }
esgüellareu	ə z ɣ ə e ʎ ə ɾ 'ə w }
esgüellaria	ə z ɣ ə e ʎ ə ɾ 'i ə }
esgüellaràs	ə z ɣ ə e ʎ ə ɾ 'a s }
esgüellaven	ə z ɣ e ə ʎ 'a v ə n }
esgüellaves	ə z ɣ e ə ʎ 'a v ə s }
esgüellàrem	ə z ɣ e ə ʎ 'a ɾ ə m }
esgüellàreu	ə z ɣ e ə ʎ 'a ɾ ə w }
esgüellàvem	ə z ɣ e ə ʎ 'a v ə m }
esgüellàveu	ə z ɣ e ə ʎ 'a v ə w }
lampalagües	l ə m p ə l 'a ɣ e ə s }
llengüejada	ʎ ə ŋ g w ə ʒ 'a ð ə }
llengüejant	ʎ ə ŋ g w ə ʒ 'a n t }
llengüejara	ʎ ə ŋ g w ə ʒ 'a ɾ ə }
llengüejats	ʎ ə ŋ g w ə ʒ 'a t s }
llengüejava	ʎ ə ŋ g w ə ʒ 'a v ə }
monolingües	m o n o l 'i ŋ g w ə s }
multilingüe	m u l t i l 'i ŋ g w ə }
nicaragüenc	n i k ə ɾ ə ɣ ɾ 'e ŋ k }
nicaragüeny	n i k ə ɾ ə ɣ u 'ə ɲ }
nicaregüenc	n i k ə ɾ ə ʒ i 'e ŋ k }
paraigüeres	p ə ɾ ə j ə ɾ 'e ɾ ə s }
paraigüeria	p ə ɾ ə j ɣ ɾ ə ɾ 'i ə }
plurilingüe	p l u ɾ i l 'i ŋ g w ə }
redargüeixi	r ə ð ə ɾ ə 'u 'ɛ ʃ i }
redargüeixo	r ə ð ə ɾ ə w 'e ʃ o }
Guia	g 'i ə }
Guic	g 'i k }
Guim	g 'i m }
Guiu	g 'i w }
agui	'a ɣ i }
egui	'ɛ ɣ i }
guia	g 'i ə }
guie	g w 'i ə }
guii	g 'i i }
guil	g 'i l }
Guido	g 'i ð o }
Guier	g i 'e  }
Guigó	g i ɣ 'o }
Guils	g 'i l s }
Guilà	g i l 'a }
Guimó	g i m 'o }
Guinó	g i n 'o }
Guiol	g i 'ɔ l }
Guiot	g i 'ɔ t }
Guitó	g i t 'o }
Guixa	g 'i ʃ ə }
Guixà	g u ʃ 'a }
aguin	'a ɣ i n }
aguis	'a ɣ i s }
aguió	ə ɣ i 'o }
argui	'a ɾ ɣ i }
begui	b 'ɛ ɣ i }
bogui	b 'ɔ ɣ i }
bugui	b 'u ɣ i }
cagui	k 'a ɣ i }
cegui	s 'ɛ ɣ i }
cogui	k 'ɔ ɣ i }
dagui	d 'a ɣ i }
degui	d 'ɛ ɣ i }
digui	d 'i ɣ i }
dugui	d 'u ɣ i }
eguin	'ɛ ɣ i n }
fogui	f 'ɔ ɣ i }
fugui	f 'u ɣ i }
guiam	g i 'a m }
guiar	g i 'a }
guias	g 'i ə s }
guiat	g i 'a t }
guiau	g i 'a }
guiem	g i 'e m }
guien	g w 'i ə n }
guier	g i 'e  }
guies	g 'i ə s }
guieu	g i 'ə w }
guiin	g u 'i i n }
guiis	g 'i i s }
guill	g u 'i ʎ }
Aguiló	ə ɣ i l 'o }
Bangui	b 'a ŋ g i }
Enguix	ə ŋ g 'i }
Guifre	g u 'i f ɾ ə }
Guifré	g i f ɾ 'e }
Guilla	g u 'i ʎ ə }
Guillé	g i ʎ 'e }
Guilló	g i ʎ 'o }
Guimet	g i m 'e t }
Guinea	g i n 'e ə }
Guinol	g i n 'ɔ l }
Guinyó	g i ɲ 'o }
Guiral	g i ɾ 'a l }
Guiret	g i ɾ 'e t }
Guiset	g i s 'e t }
Guiter	g i t 'e }
Guitet	g i t 'e t }
Guiula	g i 'u l ə }
Guivet	g i v 'e t }
Guixer	g i ʃ 'e }
Seguiu	s ə ɣ 'i w }
adigui	ə ð 'i ɣ i }
afogui	ə f 'ɔ ɣ i }
aguiar	ə ɣ i 'a }
aguiat	ə ɣ i 'a t }
aguila	ə ɣ u 'i l ə }
aguilo	ə ɣ 'i l o }
aguisa	ə ɣ 'i z ə }
aguise	ə ɣ 'i z ə }
aguisi	ə ɣ 'i z i }
aguiso	ə ɣ 'i z o }
aguisà	ə ɣ i z 'a }
aguisí	ə ɣ i s 'i }
ajagui	ə ʒ 'a ɣ i }
ajegui	ə ʒ 'ɛ ɣ i }
amagui	ə m 'a ɣ i }
amigui	ə m 'i ɣ i }
anguid	ə ŋ g 'i t }
apagui	ə p 'a ɣ i }
apegui	ə p 'ɛ ɣ i }
aregui	ə ɾ 'ɛ ɣ i }
arguia	ə ɾ ɣ 'i ə }
arguim	ə ɾ ɣ u 'i m }
arguir	ə ɾ ɣ 'i }
arguis	'a ɾ ɣ i s }
arguit	ə ɾ ɣ 'i t }
arguiu	ə ɾ ɣ 'i w }
arguix	ə ɾ ɣ 'i }
beguin	b 'ɛ ɣ i n }
beguis	b 'ɛ ɣ i s }
blegui	b l 'ɛ ɣ i }
boguin	b 'ɔ ɣ i n }
boguis	b 'ɔ ɣ i s }
bregui	b ɾ 'ɛ ɣ i }
buguis	b 'u ɣ i s }
caguin	k 'a ɣ i n }
caguis	k 'a ɣ i s }
caigui	k 'a j ɣ i }
calgui	k 'a l ɣ i }
ceguin	s 'ɛ ɣ i n }
ceguis	s 'ɛ ɣ i s }
clogui	k l 'ɔ ɣ i }
coguin	k 'ɔ ɣ i n }
coguis	k 'ɔ ɣ i s }
colgui	k 'ɔ l ɣ i }
cregui	k ɾ 'ɛ ɣ i }
deguin	d 'ɛ ɣ i n }
deguis	d 'ɛ ɣ i s }
diguin	d 'i ɣ i n }
diguis	d 'i ɣ i s }
dingui	d 'i ŋ g i }
dolgui	d 'ɔ l ɣ i }
dragui	d ɾ 'a ɣ i }
drogui	d ɾ 'ɔ ɣ i }
duguin	d 'u ɣ i n }
duguis	d 'u ɣ i s }
eguina	ə ɣ 'i n ə }
eguine	ə ɣ 'i n ə }
eguini	ə ɣ 'i n i }
eguino	ə ɣ 'i n o }
eguins	ə ɣ 'i n s }
eguinà	ə ɣ i n 'a }
eguiní	ə ɣ i n 'i }
enguix	ə ŋ g 'i }
erogui	ə ɾ 'ɔ ɣ i }
esguit	ə z ɣ 'i t }
fangui	f 'a ŋ g i }
fargui	f 'a ɾ ɣ i }
fengui	f 'ɛ ŋ g i }
foguin	f 'ɔ ɣ i n }
foguis	f 'ɔ ɣ i s }
folgui	f 'ɔ l ɣ i }
fongui	f 'ɔ ŋ g i }
fregui	f ɾ 'ɛ ɣ i }
fuguin	f 'u ɣ i n }
fuguis	f 'u ɣ i s }
furgui	f 'u ɾ ɣ i }
galgui	g 'a l ɣ i }
grogui	g ɾ 'ɔ ɣ i }
guiada	g i 'a ð ə }
guiant	g i 'a n t }
guiara	g i 'a ɾ ə }
guiare	g i 'a ɾ ə }
guiarà	g i ə ɾ 'a }
guiaré	g i ə ɾ 'e }
guiats	g i 'a t s }
guiava	g i 'a v ə }
guiera	g i 'e ɾ ə }
guiers	g i 'e s }
guieta	g i 'e t ə }
guigou	g i ɣ 'o }
guilal	g i l 'a l }
guilda	g u 'i l d ə }
guilla	g u 'i ʎ ə }
Aguilar	ə ɣ i l 'a }
Aguiler	ə ɣ i l 'e }
Aguirre	ə ɣ 'i r ə }
Anguita	ə ŋ g 'i t ə }
Gauguin	g 'a w ɣ i n }
Genguis	ʒ 'ɛ ŋ g i s }
Guibert	g i β 'ɛ ɾ t }
Guijoan	g i ʒ o 'a n }
Guilana	g i l 'a n ə }
Guilart	g i l 'a ɾ t }
Guilera	g i l 'e ɾ ə }
Guillem	g i ʎ 'e m }
Guillot	g i ʎ 'ɔ t }
Guillén	g i ʎ 'e n }
Guimerà	g i m ə ɾ 'a }
Guinard	g i n 'a ɾ ə }
Guinnes	g 'i n n ə s }
Guisard	g i z 'a ɾ ə }
Guitard	g i t 'a ɾ ə }
Guixers	g i ʃ 'e s }
Reguill	r ə ɣ u 'i ʎ }
Ubangui	u β 'a ŋ g i }
abrigui	ə β ɾ 'i ɣ i }
abrogui	ə β ɾ 'ɔ ɣ i }
adargui	ə ð 'a ɾ ɣ i }
adiguin	ə ð 'i ɣ i n }
adiguis	ə ð 'i ɣ i s }
afoguin	ə f 'ɔ ɣ i n }
afoguis	ə f 'ɔ ɣ i s }
agregui	ə ɣ ɾ 'ɛ ɣ i }
aguiats	ə ɣ i 'a t s }
aguiles	ə ɣ 'i l ə s }
aguilot	ə ɣ i l 'ɔ t }
aguions	ə ɣ i 'o n s }
aguisam	ə ɣ i z 'a m }
aguisar	ə ɣ i z 'a }
aguisas	ə ɣ 'i z ə s }
aguisat	ə ɣ i z 'a t }
aguisau	ə ɣ i z 'a w }
aguisem	ə ɣ i s 'e m }
aguisen	ə ɣ 'i z ə n }
aguises	ə ɣ 'i z ə s }
aguiseu	ə ɣ i s 'ɛ w }
aguisin	ə ɣ 'i z i n }
aguisis	ə ɣ 'i z i s }
aguissa	ə ɣ 'i s ə }
aguisse	ə ɣ 'i s ə }
aguissi	ə ɣ 'i s i }
aguisso	ə ɣ 'i s o }
aguisés	ə ɣ i s 'e s }
ajaguin	ə ʒ 'a ɣ i n }
ajaguis	ə ʒ 'a ɣ i s }
ajeguin	ə ʒ 'ɛ ɣ i n }
ajeguis	ə ʒ 'ɛ ɣ i s }
alligui	ə ʎ 'i ɣ i }
amaguin	ə m 'a ɣ i n }
amaguis	ə m 'a ɣ i s }
amargui	ə m 'a ɾ ɣ i }
amiguin	ə m 'i ɣ i n }
amiguis	ə m 'i ɣ i s }
anguids	ə ŋ g 'i s }
anguila	ə ŋ g u 'i l ə }
anguilo	ə ŋ g 'i l o }
anguiló	ə ŋ g i l 'o }
apaguin	ə p 'a ɣ i n }
apaguis	ə p 'a ɣ i s }
apeguin	ə p 'ɛ ɣ i n }
apeguis	ə p 'ɛ ɣ i s }
aplegui	ə p l 'ɛ ɣ i }
areguin	ə ɾ 'ɛ ɣ i n }
areguis	ə ɾ 'ɛ ɣ i s }
arengui	ə ɾ 'ə ŋ g i }
arguida	ə ɾ ɣ u 'i ð ə }
arguiem	ə ɾ ɣ i 'e m }
arguien	ə ɾ ɣ u 'i ə n }
arguies	ə ɾ ɣ 'i ə s }
arguieu	ə ɾ ɣ i 'ə w }
arguint	ə ɾ ɣ u 'i n t }
arguira	ə ɾ ɣ u 'i ɾ ə }
arguire	ə ɾ ɣ 'i ɾ ə }
arguisc	ə ɾ ɣ u 'i s k }
arguits	ə ɾ ɣ 'i t s }
arguixo	ə ɾ ɣ u 'i ʃ o }
arrogui	ə r 'ɔ ɣ i }
arrugui	ə r 'u ɣ i }
artigui	ə ɾ t 'i ɣ i }
assegui	ə s 'ɛ ɣ i }
atengui	ə t 'ɛ ŋ g i }
atingui	ə t 'i ŋ g i }
atorgui	ə t 'ɔ ɾ ɣ i }
atragui	ə t ɾ 'a ɣ i }
atregui	ə t ɾ 'ɛ ɣ i }
avengui	ə v 'ɛ ŋ g i }
avingui	ə v 'i ŋ g i }
bategui	b ə t 'ɛ ɣ i }
beguina	b ə ɣ 'i n ə }
beguins	b ə ɣ 'i n s }
belegui	b ə l 'ɛ ɣ i }
biguins	b i ɣ 'i n s }
bleguin	b l 'ɛ ɣ i n }
bleguis	b l 'ɛ ɣ i s }
bofegui	b o f 'ɛ ɣ i }
bonegui	b o n 'ɛ ɣ i }
breguin	b ɾ 'ɛ ɣ i n }
breguis	b ɾ 'ɛ ɣ i s }
bufegui	b u f 'ɛ ɣ i }
caiguin	k 'a j ɣ i n }
caiguis	k 'a j ɣ i s }
calguin	k 'a l ɣ i n }
calguis	k 'a l ɣ i s }
ceguins	s ə ɣ 'i n s }
cloguin	k l 'ɔ ɣ i n }
cloguis	k l 'ɔ ɣ i s }
colguin	k 'ɔ l ɣ i n }
colguis	k 'ɔ l ɣ i s }
conegui	k o n 'ɛ ɣ i }
creguin	k ɾ 'ɛ ɣ i n }
creguis	k ɾ 'ɛ ɣ i s }
càguila	k 'a ɣ i l ə }
daguins	d ə ɣ 'i n s }
delegui	d ə l 'ɛ ɣ i }
denegui	d ə n 'ɛ ɣ i }
derogui	d ə ɾ 'ɔ ɣ i }
dinguis	d 'i ŋ g i s }
divagui	d i v 'a ɣ i }
dolguin	d 'ɔ l ɣ i n }
dolguis	d 'ɔ l ɣ i s }
draguin	d ɾ 'a ɣ i n }
draguis	d ɾ 'a ɣ i s }
dringui	d ɾ 'i ŋ g i }
droguin	d ɾ 'ɔ ɣ i n }
droguis	d ɾ 'ɔ ɣ i s }
ecoguia	ə k o ɣ 'i ə }
eguilaz	ə ɣ i l 'a }
eguinam	ə ɣ i n 'a m }
eguinar	ə ɣ i n 'a }
eguinas	ə ɣ 'i n ə s }
eguinat	ə ɣ i n 'a t }
eguinau	ə ɣ i n 'a w }
eguinem	ə ɣ i n 'e m }
eguinen	ə ɣ 'i n ə n }
eguines	ə ɣ 'i n ə s }
eguineu	ə ɣ i n 'ə w }
eguinin	ə ɣ 'i n i n }
eguinis	ə ɣ 'i n i s }
eguinés	ə ɣ i n 'e s }
eixugui	ə ʃ 'u ɣ i }
embagui	ə m b 'a ɣ i }
embegui	ə m b 'ɛ ɣ i }
embigui	ə m b 'i ɣ i }
embogui	ə m b 'ɔ ɣ i }
empegui	ə m p 'ɛ ɣ i }
enaigui	ə n 'a i ɣ i }
encegui	ə n s 'ɛ ɣ i }
endegui	ə n d 'ɛ ɣ i }
endugui	ə n d 'u ɣ i }
enfigui	ə n f 'i ɣ i }
engegui	ə n ʒ 'ɛ ɣ i }
enguier	ə ŋ g i 'e  }
enguixa	ə ŋ g 'i ʃ ə }
enguixe	ə ŋ g 'i ʃ ə }
enguixi	ə ŋ g 'i ʃ i }
enguixo	ə ŋ g 'i ʃ o }
enguixà	ə ŋ g i ʃ 'a }
enguixí	ə ŋ g u ʃ 'i }
ensegui	ə n s 'ɛ ɣ i }
eroguin	ə ɾ 'ɔ ɣ i n }
eroguis	ə ɾ 'ɔ ɣ i s }
esguimb	ə z ɣ u 'i m b }
esguins	ə z ɣ 'i n s }
esguita	ə z ɣ u 'i t ə }
esguite	ə z ɣ 'i t ə }
esguiti	ə z ɣ u 'i t i }
esguito	ə z ɣ 'i t o }
esguits	ə z ɣ 'i t s }
esguità	ə z ɣ i t 'a }
esguitó	ə z ɣ i t 'o }
espigui	ə s p 'i ɣ i }
estigui	ə s t 'i ɣ i }
fadigui	f ə ð 'i ɣ i }
fanguin	f 'a ŋ g i n }
fanguis	f 'a ŋ g i s }
farguin	f 'a ɾ ɣ i n }
farguis	f 'a ɾ ɣ i s }
fatigui	f ə t 'i ɣ i }
fenguin	f 'ɛ ŋ g i n }
fenguis	f 'ɛ ŋ g i s }
flingui	f l 'i ŋ g i }
folguin	f 'ɔ l ɣ i n }
folguis	f 'ɔ l ɣ i s }
fonguin	f 'ɔ ŋ g i n }
fonguis	f 'ɔ ŋ g i s }
freguin	f ɾ 'ɛ ɣ i n }
freguis	f ɾ 'ɛ ɣ i s }
fumigui	f u m 'i ɣ i }
furguin	f 'u ɾ ɣ i n }
furguis	f 'u ɾ ɣ i s }
galguin	g 'a l ɣ i n }
galguis	g 'a l ɣ i s }
ganguil	g ə ŋ g 'i l }
garguil	g ə ɾ ɣ 'i l }
gemegui	ʒ ə m 'ɛ ɣ i }
girigui	ʒ i ɾ 'i ɣ i }
groguis	g ɾ 'ɔ ɣ i s }
guiable	g i 'a b b l ə }
guiades	g i 'a ð ə s }
guiador	g i ə ð 'o }
guiaran	g i ə ɾ 'a n }
guiaras	g i 'a ɾ ə s }
guiarem	g i ə ɾ 'e m }
guiaren	g i 'a ɾ ə n }
guiares	g i 'a ɾ ə s }
guiareu	g i ə ɾ 'ə w }
guiaria	g i ə ɾ 'i ə }
guiaràs	g i ə ɾ 'a s }
guiatge	g i 'a dʒ ə }
guiavem	g i ə v 'e m }
guiaven	g i 'a v ə n }
guiaves	g i 'a v ə s }
guiaveu	g i ə v 'ɛ w }
guidice	g i ð 'i s ə }
guieres	g i 'e ɾ ə s }
guietes	g i 'e t ə s }
guilals	g i l 'a l s }
guilarà	g i l ə ɾ 'a }
guildes	g u 'i l d ə s }
Aguilart	ə ɣ i l 'a ɾ t }
Aguilera	ə ɣ i l 'e ɾ ə }
Anguilla	ə ŋ g u 'i ʎ ə }
Guiamell	g i ə m 'e ʎ }
Guiamets	g i ə m 'e t s }
Guijarro	g i ʒ 'a r o }
Guijaume	g i ʒ 'a w m ə }
Guillema	g i ʎ 'e m ə }
Guillemí	g i ʎ ə m 'i }
Guillemó	g i ʎ ə m 'o }
Guillera	g i ʎ 'e ɾ ə }
Guimjoan	g i m o 'a n }
Guinness	g i n n 'ə s }
Guissona	g i s 'o n ə }
Guiteres	g i t 'e ɾ ə s }
Guixarró	g u ʃ ə r 'o }
Jáuregui	ʒ u u ɾ 'ɛ ɣ i }
abriguin	ə β ɾ 'i ɣ i n }
abriguis	ə β ɾ 'i ɣ i s }
abroguin	ə β ɾ 'ɔ ɣ i n }
abroguis	ə β ɾ 'ɔ ɣ i s }
absolgui	ə t s 'ɔ l ɣ i }
adarguin	ə ð 'a ɾ ɣ i n }
adarguis	ə ð 'a ɾ ɣ i s }
advengui	ə ð v 'ɛ ŋ g i }
advingui	ə ð v 'i ŋ g i }
afalagui	ə f ə l 'a ɣ i }
afamegui	ə f ə m 'ɛ ɣ i }
agreguin	ə ɣ ɾ 'ɛ ɣ i n }
agreguis	ə ɣ ɾ 'ɛ ɣ i s }
aguilenc	ə ɣ i l 'e ŋ k }
aguileta	ə ɣ i l 'e t ə }
aguilons	ə ɣ i l 'o n s }
aguilots	ə ɣ i l 'ɔ t s }
aguisada	ə ɣ i z 'a ð ə }
aguisant	ə ɣ i z 'a n t }
aguisara	ə ɣ i z 'a ɾ ə }
aguisare	ə ɣ i z 'a ɾ ə }
aguisarà	ə ɣ i z ə ɾ 'a }
aguisaré	ə ɣ i z ə ɾ 'e }
aguisats	ə ɣ i z 'a t s }
aguisava	ə ɣ i z 'a v ə }
aguissam	ə ɣ i s 'a m }
aguissar	ə ɣ i s 'a }
aguissas	ə ɣ 'i s ə s }
aguissat	ə ɣ i s 'a t }
aguissau	ə ɣ i s 'a w }
aguissem	ə ɣ i s 'e m }
aguissen	ə ɣ 'i s ə n }
aguisses	ə ɣ 'i s ə s }
aguisseu	ə ɣ i s 'ɛ w }
