a	ə
desdejuni	d ə z ð ə ʒ 'u n i
desdentada	d ə z ð ə n t 'a ð ə
desdeny	d ə z ð 'ə ɲ
desdibuixa	d ə z ð i β 'u ʃ ə
desdibuixada	d ə z ð i β u ʃ 'a ð ə
desdibuixar	d ə z ð i β u ʃ 'a
desdibuixat	d ə z ð i β u ʃ 'a t
desdibuixats	d ə z ð i β u ʃ 'a t s
desdibuixen	d ə z ð i β 'u ʃ ə n
desdir	d ə z ð 'i
desdirse	d ə z ð 'i ɾ s ə
desdit	d ə z ð 'i t
desdiu	d ə z ð 'i w
desdobla	d ə z ð 'o β l ə
desdoblada	d ə z ð o β l 'a ð ə
desdoblament	d ə z ð o β l ə m 'e n t
desdoblaments	d ə z ð o β l ə m 'e n s
desdoblar	d ə z ð o β l 'a
desdoblarlo	d ə z ð o β l 'a ɾ l o
desdoblat	d ə z ð o β l 'a t
desdon	d ə z ð 'o n
desdramatitzar	d ə z ð ɾ ə m ə t i d z 'a
deseguida	d ə z ə ɣ 'i ð ə
desembarca	d ə z ə m b 'a ɾ k ə
desembarcament	d ə z ə m b ə ɾ k ə m 'e n t
desembarcaments	d ə z ə m b ə ɾ k ə m 'e n s
desembarcar	d ə z ə m b ə ɾ k 'a
desembarcat	d ə z ə m b ə ɾ k 'a t
desembarquen	d ə z ə m b 'a ɾ k ə n
desemboca	d ə z ə m b 'o k ə
desembocadura	d ə z ə m b o k ə ð 'u ɾ ə
desembocant	d ə z ə m b o k 'a n t
desembocar	d ə z ə m b o k 'a
desembocarà	d ə z ə m b o k ə ɾ 'a
desembocat	d ə z ə m b o k 'a t
desembocava	d ə z ə m b o k 'a v ə
desembolicar	d ə z ə m b o l i k 'a
desemboquen	d ə z ə m b 'o k ə n
desemboqui	d ə z ə m b 'ɔ k i
desemborsament	d ə z ə m b o ɾ s ə m 'e n t
desemborsaments	d ə z ə m b o ɾ s ə m 'e n s
desemborsar	d ə z ə m b o ɾ s 'a
desemborsaré	d ə z ə m b o ɾ s ə ɾ 'e
desemborsat	d ə z ə m b o ɾ s 'a t
desemborses	d ə z ə m b 'o ɾ s ə s
desembre	d ə z 'e m b ɾ ə
desembussin	d ə z ə m b 'u s i n
desembutxacar	d ə z ə m b u tʃ ə k 'a
desemmascara	d ə z ə m m ə s k 'a ɾ ə
desemmascarament	d ə z ə m m ə s k ˌ a ɾ ə m 'e n t
desemmascarar	d ə z ə m m ə s k ə ɾ 'a
desemmascarat	d ə z ə m m ə s k ə ɾ 'a t
desempallega	d ə z ə m p ə ʎ 'ə ɣ ə
desempallegarme	d ə z ə m p ə ʎ ə ɣ 'a ɾ m ə
desempallegarnos	d ə z ə m p ə ʎ ə ɣ 'a ɾ n o s
desempallegarse	d ə z ə m p ə ʎ ə ɣ 'a ɾ s ə
desempaquetar	d ə z ə m p ə k ə t 'a
desempaquetaria	d ə z ə m p ə k ə t ə ɾ 'i ə
desempaquetaries	d ə z ə m p ə k ə t ə ɾ 'i ə s
desempara	d ə z ə m p 'a ɾ ə
desemparada	d ə z ə m p ə ɾ 'a ð ə
desemparament	d ə z ə m p ə ɾ ə m 'e n t
desemparats	d ə z ə m p ə ɾ 'a t s
desempat	d ə z ə m p 'a t
desempatar	d ə z ə m p ə t 'a
desena	d ə z 'ə n ə
desencadena	d ə z ə ŋ k ə ð 'ə n ə
desencadenada	d ə z ə ŋ k ə ð ə n 'a ð ə
desencadenant	d ə z ə ŋ k ə ð ə n 'a n t
desencadenar	d ə z ə ŋ k ə ð ə n 'a
desencadenarà	d ə z ə ŋ k ə ð ə n ə ɾ 'a
desencadenat	d ə z ə ŋ k ə ð ə n 'a t
desencadenaven	d ə z ə ŋ k ə ð ə n 'a v ə n
desencadenen	d ə z ə ŋ k ə ð 'e n ə n
desencalla	d ə z ə ŋ k 'a ʎ ə
desencallar	d ə z ə ŋ k ə ʎ 'a
desencant	d ə z ə ŋ k 'a n t
desencantada	d ə z ə ŋ k ə n t 'a ð ə
desencantament	d ə z ə ŋ k ə n t ə m 'e n t
desencantat	d ə z ə ŋ k ə n t 'a t
desencantats	d ə z ə ŋ k ə n t 'a t s
desencert	d ə z ə n s 'ɛ ɾ t
desencertada	d ə z ə n s ə ɾ t 'a ð ə
desencertat	d ə z ə n s ə ɾ t 'a t
desencertats	d ə z ə n s ə ɾ t 'a t s
desencerts	d ə z ə n s 'ɛ ɾ s
desencisada	d ə z ə n s i z 'a ð ə
desencisat	d ə z ə n s i z 'a t
desencisats	d ə z ə n s i z 'a t s
desencriptació	d ə z ə ŋ k ɾ i t t ə s i 'o
desencís	d ə z ə n s 'i s
desenes	d ə z 'ə n ə s
desenfadada	d ə z ə m f ə ð 'a ð ə
desenfadat	d ə z ə m f ə ð 'a t
desenfadats	d ə z ə m f ə ð 'a t s
desenfocada	d ə z ə m f o k 'a ð ə
desenfocats	d ə z ə m f o k 'a t s
desenfrenada	d ə z ə m f ɾ ə n 'a ð ə
desenfrenament	d ə z ə m f ɾ ə n ə m 'e n t
desenfrenat	d ə z ə m f ɾ ə n 'a t
desenfundar	d ə z ə m f u n d 'a
desenganxaran	d ə z ə ŋ g ə n ʃ ə ɾ 'a n
desenganxarse	d ə z ə ŋ g ə n ʃ 'a ɾ s ə
desengany	d ə z ə ŋ g 'a ɲ
desenganyada	d ə z ə ŋ g ə ɲ 'a ð ə
desenganyar	d ə z ə ŋ g ə ɲ 'a
desenganyat	d ə z ə ŋ g ə ɲ 'a t
desenganyats	d ə z ə ŋ g ə ɲ 'a t s
desenganyemnos	d ə z ə ŋ g ə ɲ 'e n n o s
desenganys	d ə z ə ŋ g 'a j n s
desengreixant	d ə z ə ŋ g ɾ ə ʃ 'a n t
desenllaç	d ə z ə n ʎ 'a s
desenredant	d ə z ə n ɾ ə ð 'a n t
desenrotllar	d ə z ə n ɾ o l ʎ l 'a
desenrunament	d ə z ə n ɾ ˌ u n ə m 'e n t
desens	d ə z 'ə n s
desentendre	d ə z ə n t 'e n d ɾ ə
desentendres	d ə z ə n t 'e n d ɾ ə s
desentenen	d ə z ə n t 'e n ə n
desenterrades	d ə z ə n t ə r 'a ð ə s
desenterrar	d ə z ə n t ə r 'a
desenterrat	d ə z ə n t ə r 'a t
desentonar	d ə z ə n t o n 'a
desentranyar	d ə z ə n t ɾ ə ɲ 'a
desentès	d ə z ə n t 'ə s
desentén	d ə z ə n t 'e n
desenvolupa	d ə z ə m v o l 'u p ə
desenvolupada	d ə z ə m v o l u p 'a ð ə
desenvolupades	d ə z ə m v o l u p 'a ð ə s
desenvolupador	d ə z ə m v o l u p ə ð 'o
desenvolupadors	d ə z ə m v o l u p ə ð 'o s
desenvolupament	d ə z ə m v o l u p ə m 'e n t
desenvolupaments	d ə z ə m v o l u p ə m 'e n s
desenvolupant	d ə z ə m v o l u p 'a n t
desenvolupar	d ə z ə m v o l u p 'a
desenvoluparan	d ə z ə m v o l u p ə ɾ 'a n
desenvoluparia	d ə z ə m v o l u p ə ɾ 'i ə
desenvoluparla	d ə z ə m v o l u p 'a ɾ l ə
desenvoluparlo	d ə z ə m v o l u p 'a ɾ l o
desenvoluparse	d ə z ə m v o l u p 'a ɾ s ə
desenvoluparà	d ə z ə m v o l u p ə ɾ 'a
desenvolupat	d ə z ə m v o l u p 'a t
desenvolupats	d ə z ə m v o l u p 'a t s
desenvolupava	d ə z ə m v o l u p 'a v ə
desenvolupaven	d ə z ə m v o l u p 'a v ə n
desenvolupen	d ə z ə m v o l 'u p ə n
desenvolupessin	d ə z ə m v o l u p 'e s i n
desenvolupi	d ə z ə m v o l 'u p i
desenvolupin	d ə z ə m v o l 'u p i n
desenvolupà	d ə z ə m v o l u p 'a
desenvolupés	d ə z ə m v o l u p 'e s
desequilibrada	d ə z ə k i l i β ɾ 'a ð ə
desequilibrant	d ə z ə k i l i β ɾ 'a n t
desequilibrants	d ə z ə k i l i β ɾ 'a n s
desequilibrar	d ə z ə k i l i β ɾ 'a
desequilibrat	d ə z ə k i l i β ɾ 'a t
desequilibri	d ə z ə k i l 'i β ɾ i
desequilibris	d ə z ə k i l 'i β ɾ i s
desercions	d ə z ə ɾ s i 'o n s
deserció	d ə z ə ɾ s i 'o
desert	d ə z 'ɛ ɾ t
deserta	d ə z 'ɛ ɾ t ə
desertar	d ə z ə ɾ t 'a
desertat	d ə z ə ɾ t 'a t
desertes	d ə z 'ɛ ɾ t ə s
desertització	d ə z ə ɾ t i d z ə s i 'o
desertor	d ə z ə ɾ t 'o
desertors	d ə z ə ɾ t 'o s
deserts	d ə z 'ɛ ɾ s
desesper	d ə z ə s p 'e
desespera	d ə z ə s p 'e ɾ ə
desesperació	d ə z ə s p ə ɾ ə s i 'o
desesperada	d ə z ə s p ə ɾ 'a ð ə
desesperadament	d ə z ə s p ə ɾ ˌ a ð ə m 'e n t
desesperades	d ə z ə s p ə ɾ 'a ð ə s
desesperant	d ə z ə s p ə ɾ 'a n t
desesperança	d ə z ə s p ə ɾ 'a n s ə
desesperar	d ə z ə s p ə ɾ 'a
desesperat	d ə z ə s p ə ɾ 'a t
desesperats	d ə z ə s p ə ɾ 'a t s
desesperava	d ə z ə s p ə ɾ 'a v ə
desesperis	d ə z ə s p 'ɛ ɾ i s
desestabilització	d ə z ə s t ə β i l i d z ə s i 'o
desestabilitzador	d ə z ə s t ə β i l i d z ə ð 'o
desestabilitzadora	d ə z ə s t ə β i l i d z ə ð 'o ɾ ə
desestabilitzadors	d ə z ə s t ə β i l i d z ə ð 'o s
desestabilitzar	d ə z ə s t ə β i l i d z 'a
desestabilitzat	d ə z ə s t ə β i l i d z 'a t
desestima	d ə z ə s t 'i m ə
desestimada	d ə z ə s t i m 'a ð ə
desestimades	d ə z ə s t i m 'a ð ə s
desestimar	d ə z ə s t i m 'a
desestimat	d ə z ə s t i m 'a t
desestimats	d ə z ə s t i m 'a t s
desestimeu	d ə z ə s t i m 'ɛ w
desestructuració	d ə z ə s t ɾ u t t u ɾ ə s i 'o
desestructurada	d ə z ə s t ɾ u t t u ɾ 'a ð ə
desestructurades	d ə z ə s t ɾ u t t u ɾ 'a ð ə s
desfalc	d ə s f 'a l k
desfan	d ə s f 'a n
desfaran	d ə s f ə ɾ 'a n
desfaries	d ə s f ə ɾ 'i ə s
desfarà	d ə s f ə ɾ 'a
desfasada	d ə s f ə z 'a ð ə
desfasades	d ə s f ə z 'a ð ə s
desfasament	d ə s f ə z ə m 'e n t
desfasat	d ə s f ə z 'a t
desfasats	d ə s f ə z 'a t s
desfavorable	d ə s f ə v o ɾ 'a b b l ə
desfavorables	d ə s f ə v o ɾ 'a b b l ə s
desfavorides	d ə s f ə v o ɾ 'i ð ə s
desfavorit	d ə s f ə v o ɾ 'i t
desfavorits	d ə s f ə v o ɾ 'i t s
desfeia	d ə s f 'ə j ə
desfent	d ə s f 'e n t
desfentse	d ə s f 'e n s ə
desfer	d ə s f 'e
desferli	d ə s f 'ɛ ɾ l i
desferma	d ə s f 'ɛ ɾ m ə
desfermada	d ə s f ə ɾ m 'a ð ə
desfermar	d ə s f ə ɾ m 'a
desfermat	d ə s f ə ɾ m 'a t
desfermats	d ə s f ə ɾ m 'a t s
desferme	d ə s f 'ɛ ɾ m ə
desferse	d ə s f 'ɛ ɾ s ə
desfet	d ə s f 'e t
desfeta	d ə s f 'e t ə
desfetes	d ə s f 'e t ə s
desfici	d ə s f 'i s i
desfigurada	d ə s f i ɣ u ɾ 'a ð ə
desfigurar	d ə s f i ɣ u ɾ 'a
desfigurat	d ə s f i ɣ u ɾ 'a t
desfila	d ə s f 'i l ə
desfilada	d ə s f i l 'a ð ə
desfilades	d ə s f i l 'a ð ə s
desfilant	d ə s f i l 'a n t
desfilar	d ə s f i l 'a
desfilaran	d ə s f i l ə ɾ 'a n
desfilat	d ə s f i l 'a t
desfilava	d ə s f i l 'a v ə
desfilaven	d ə s f i l 'a v ə n
desfilen	d ə s f 'i l ə n
desfilin	d ə s f 'i l i n
desfogada	d ə s f o ɣ 'a ð ə
desfogar	d ə s f o ɣ 'a
desfogarnos	d ə s f o ɣ 'a ɾ n o s
desfogarse	d ə s f o ɣ 'a ɾ s ə
desfogarvos	d ə s f o ɣ 'a ɾ v o s
desforestació	d ə s f o ɾ ə s t ə s i 'o
desfà	d ə s f 'a
desfés	d ə s f 'e s
desgana	d ə z ɣ 'a n ə
desgast	d ə z ɣ 'a s t
desgasta	d ə z ɣ 'a s t ə
desgastar	d ə z ɣ ə s t 'a
desgastat	d ə z ɣ ə s t 'a t
desgastats	d ə z ɣ ə s t 'a t s
desgavell	d ə z ɣ ə v 'e ʎ
desgavellat	d ə z ɣ ə v ə ʎ 'a t
desgavells	d ə z ɣ ə v 'e ʎ s
desgel	d ə z ʒ 'ɛ l
desglaç	d ə z ɣ l 'a s
desglossa	d ə z ɣ l 'o s ə
desglossament	d ə z ɣ l o s ə m 'e n t
desglossar	d ə z ɣ l o s 'a
desglossat	d ə z ɣ l o s 'a t
desgovern	d ə z ɣ o v 'ɛ ɾ n
desgracia	d ə z ɣ ɾ ə s 'i ə
desgraciada	d ə z ɣ ɾ ə s i 'a ð ə
desgraciadament	d ə z ɣ ɾ ə s i ˌ a ð ə m 'e n t
desgraciades	d ə z ɣ ɾ ə s i 'a ð ə s
desgraciar	d ə z ɣ ɾ ə s i 'a
desgraciat	d ə z ɣ ɾ ə s i 'a t
desgraciats	d ə z ɣ ɾ ə s i 'a t s
desgracies	d ə z ɣ ɾ ə s 'i ə s
desgrana	d ə z ɣ ɾ 'a n ə
desgranant	d ə z ɣ ɾ ə n 'a n t
desgranar	d ə z ɣ ɾ ə n 'a
desgrat	d ə z ɣ ɾ 'a t
desgrava	d ə z ɣ ɾ 'a v ə
desgravacions	d ə z ɣ ɾ ə v ə s i 'o n s
desgravació	d ə z ɣ ɾ ə v ə s i 'o
desgravar	d ə z ɣ ɾ ə v 'a
desgreuge	d ə z ɣ ɾ 'e w ʒ ə
desgràcia	d ə z ɣ ɾ 'a s i ə
desgràcies	d ə z ɣ ɾ 'a s i ə s
desguàs	d ə z ɣ w 'a s
deshabitada	d ə s ə β i t 'a ð ə
deshabitat	d ə s ə β i t 'a t
deshabitats	d ə s ə β i t 'a t s
deshabituació	d ə s ə β i t u ə s i 'o
desheretats	d ə s ə ɾ ə t 'a t s
deshidratació	d ə s i ð ɾ ə t ə s i 'o
deshidratades	d ə s i ð ɾ ə t 'a ð ə s
deshonest	d ə s o n 'e s t
deshonor	d ə s o n 'o
deshumanització	d ə s u m ə n i d z ə s i 'o
deshumanitzada	d ə s u m ə n i d z 'a ð ə
deshumanitzats	d ə s u m ə n i d z 'a t s
desi	d 'ɛ z i
desideràtum	d ə z i ð ə ɾ 'a t u m
desig	d ə z 'i tʃ
designa	d ə z 'i n n ə
designacions	d ə z i n n ə s i 'o n s
designació	d ə z i n n ə s i 'o
designada	d ə z i n n 'a ð ə
designades	d ə z i n n 'a ð ə s
designar	d ə z i n n 'a
designaran	d ə z i n n ə ɾ 'a n
designarà	d ə z i n n ə ɾ 'a
designat	d ə z i n n 'a t
designats	d ə z i n n 'a t s
designen	d ə z 'i n n ə n
designi	d ə z 'i n n i
designis	d ə z 'i n n i s
designés	d ə z i n n 'e s
desigs	d ə z 'i tʃ s
desigual	d ə z i g w 'a l
desiguals	d ə z i g w 'a l s
desigualtat	d ə z i g w ə l t 'a t
desigualtats	d ə z i g w ə l t 'a t s
desilusionada	d ə z i l u z i o n 'a ð ə
desilusionats	d ə z i l u z i o n 'a t s
desilusió	d ə z i l u z i 'o
desimbolt	d ə z i m b 'o l t
desimbolta	d ə z i m b 'o l t ə
desimboltura	d ə z i m b o l t 'u ɾ ə
desincentiva	d ə z i n s ə n t 'i v ə
desinfecció	d ə z i m f ə t s i 'o
desinfectant	d ə z i m f ə t t 'a n t
desinfectants	d ə z i m f ə t t 'a n s
desinfectar	d ə z i m f ə t t 'a
desinfectats	d ə z i m f ə t t 'a t s
desinfla	d ə z 'i m f l ə
desinflant	d ə z i m f l 'a n t
desinflar	d ə z i m f l 'a
desinflat	d ə z i m f l 'a t
desinformació	d ə z i m f o ɾ m ə s i 'o
desinformar	d ə z i m f o ɾ m 'a
desinformat	d ə z i m f o ɾ m 'a t
desinhibició	d ə z i n i β i s i 'o
desinhibida	d ə z i n i β 'i ð ə
desinhibint	d ə z i n i β 'i n t
desinhibit	d ə z i n i β 'i t
desinserció	d ə z i n s ə ɾ s i 'o
desinstalar	d ə z i n s t ə l 'a
desintegra	d ə z i n t 'e ɣ ɾ ə
desintegració	d ə z i n t ə ɣ ɾ ə s i 'o
desintegrar	d ə z i n t ə ɣ ɾ 'a
desinteressada	d ə z i n t ə ɾ ə s 'a ð ə
desinteressadament	d ə z i n t ə ɾ ə s ˌ a ð ə m 'e n t
desinteressades	d ə z i n t ə ɾ ə s 'a ð ə s
desinteressat	d ə z i n t ə ɾ ə s 'a t
desinteressats	d ə z i n t ə ɾ ə s 'a t s
desinterès	d ə z i n t ə ɾ 'ə s
desintoxicació	d ə z i n t o t s i k ə s i 'o
desinversions	d ə z i m v ə ɾ s i 'o n s
desinversió	d ə z i m v ə ɾ s i 'o
desinvertir	d ə z i m v ə ɾ t 'i
desisteixi	d ə z i s t 'ə ʃ i
desisteixin	d ə z i s t 'ə ʃ i n
desistir	d ə z i s t 'i
desistireu	d ə z i s t i ɾ 'ɛ w
desistit	d ə z i s t 'i t
desistiu	d ə z i s t 'i w
desitgem	d ə z i dʒ 'ə m
desitgen	d ə z 'i dʒ ə n
desitges	d ə z 'i dʒ ə s
desitgessin	d ə z i dʒ 'e s i n
desitgeu	d ə z i dʒ 'ɛ w
desitgi	d ə z 'i dʒ i
desitgin	d ə z 'i dʒ i n
desitgés	d ə z i dʒ 'e s
desitja	d ə z 'i dʒ ə
desitjable	d ə z i dʒ 'a b b l ə
desitjables	d ə z i dʒ 'a b b l ə s
desitjada	d ə z i dʒ 'a ð ə
desitjades	d ə z i dʒ 'a ð ə s
desitjant	d ə z i dʒ 'a n t
desitjar	d ə z i dʒ 'a
desitjaria	d ə z i dʒ ə ɾ 'i ə
desitjarien	d ə z i dʒ ə ɾ 'i ə n
desitjarli	d ə z i dʒ 'a ɾ l i
desitjarvos	d ə z i dʒ 'a ɾ v o s
desitjaríem	d ə z i dʒ ə ɾ 'i ə m
desitjat	d ə z i dʒ 'a t
desitjats	d ə z i dʒ 'a t s
desitjava	d ə z i dʒ 'a v ə
desitjaven	d ə z i dʒ 'a v ə n
desitjo	d ə z 'i dʒ o
desitjos	d ə z 'i dʒ o s
desitjosos	d ə z i dʒ 'o z o s
desitjós	d ə z i dʒ 'o s
deslegitima	d ə z l ə ʒ i t 'i m ə
deslegitimació	d ə z l ə ʒ i t i m ə s i 'o
deslegitimant	d ə z l ə ʒ i t i m 'a n t
deslegitimar	d ə z l ə ʒ i t i m 'a
deslegitimat	d ə z l ə ʒ i t i m 'a t
deslleial	d ə z ʎ ə j 'a l
deslleials	d ə z ʎ ə j 'a l s
deslleialtat	d ə z ʎ ə j ə l t 'a t
deslligar	d ə z ʎ i ɣ 'a
deslligarnos	d ə z ʎ i ɣ 'a ɾ n o s
deslligarse	d ə z ʎ i ɣ 'a ɾ s ə
deslligat	d ə z ʎ i ɣ 'a t
deslliurament	d ə z ʎ i w ɾ ə m 'e n t
deslliurar	d ə z ʎ i w ɾ 'a
deslliurarse	d ə z ʎ i w ɾ 'a ɾ s ə
deslliurat	d ə z ʎ i w ɾ 'a t
deslliureunos	d ə z ʎ i w ɾ 'e w n o s
desllorigador	d ə z ʎ o ɾ i ɣ ə ð 'o
desllueix	d ə z ʎ u 'ə ʃ
deslluir	d ə z ʎ u 'i
desllunat	d ə z ʎ u n 'a t
deslluït	d ə z ʎ u 'i t
deslluïts	d ə z ʎ u 'i t s
deslocalització	d ə z l o k ə l i d z ə s i 'o
deslocalitzar	d ə z l o k ə l i d z 'a
desmai	d ə z m 'a j
desmaia	d ə z m 'a j ə
desmaiar	d ə z m ə j 'a
desmais	d ə z m 'a j s
desmanegat	d ə z m ə n ə ɣ 'a t
desmantella	d ə z m ə n t 'e ʎ ə
desmantellada	d ə z m ə n t ə ʎ 'a ð ə
desmantellament	d ə z m ə n t ˌ e ʎ ə m 'e n t
desmantellar	d ə z m ə n t ə ʎ 'a
desmantellarse	d ə z m ə n t ə ʎ 'a ɾ s ə
desmantellat	d ə z m ə n t ə ʎ 'a t
desmantellats	d ə z m ə n t ə ʎ 'a t s
desmarca	d ə z m 'a ɾ k ə
desmarcament	d ə z m ˌ a ɾ k ə m 'e n t
desmarcantse	d ə z m ə ɾ k 'a n s ə
desmarcar	d ə z m ə ɾ k 'a
desmarcarles	d ə z m ə ɾ k 'a ɾ l ə s
desmarcarse	d ə z m ə ɾ k 'a ɾ s ə
desmarcarsen	d ə z m ə ɾ k 'a ɾ s ə n
desmarcat	d ə z m ə ɾ k 'a t
desmarcava	d ə z m ə ɾ k 'a v ə
desmarquen	d ə z m 'a ɾ k ə n
desmarqui	d ə z m 'a ɾ k i
desmarquin	d ə z m 'a ɾ k i n
desmarqués	d ə z m ə ɾ k 'e s
desmembració	d ə z m ə m b ɾ ə s i 'o
desmembrar	d ə z m ə m b ɾ 'a
desmembrat	d ə z m ə m b ɾ 'a t
desmemòria	d ə z m ə m 'ɔ ɾ i ə
desmenteix	d ə z m ə n t 'ə ʃ
desmenteixen	d ə z m ə n t 'ə ʃ ə n
desmentia	d ə z m ə n t 'i ə
desmentida	d ə z m ə n t 'i ð ə
desmentides	d ə z m ə n t 'i ð ə s
desmentiment	d ə z m ə n t i m 'e n t
desmentiments	d ə z m ə n t i m 'e n s
desmentint	d ə z m ə n t 'i n t
desmentir	d ə z m ə n t 'i
desmentirho	d ə z m ə n t 'i ɾ o
desmentit	d ə z m ə n t 'i t
desmereix	d ə z m ə ɾ 'ə ʃ
desmerèixer	d ə z m ə ɾ 'ə ʃ ə
desmesura	d ə z m ə z 'u ɾ ə
desmesurada	d ə z m ə z u ɾ 'a ð ə
desmesuradament	d ə z m ə z u ɾ ˌ a ð ə m 'e n t
desmesurades	d ə z m ə z u ɾ 'a ð ə s
desmesurat	d ə z m ə z u ɾ 'a t
desmesurats	d ə z m ə z u ɾ 'a t s
desmilitarització	d ə z m i l i t ə ɾ i d z ə s i 'o
desmilitaritzada	d ə z m i l i t ə ɾ i d z 'a ð ə
desmilitaritzar	d ə z m i l i t ə ɾ i d z 'a
desmilitaritzat	d ə z m i l i t ə ɾ i d z 'a t
desmitifica	d ə z m i t i f 'i k ə
desmitificació	d ə z m i t i f i k ə s i 'o
desmitificador	d ə z m i t i f i k ə ð 'o
desmitificadora	d ə z m i t i f i k ə ð 'o ɾ ə
desmitificar	d ə z m i t i f i k 'a
desmitificat	d ə z m i t i f i k 'a t
desmobilització	d ə z m o β i l i d z ə s i 'o
desmobilitzar	d ə z m o β i l i d z 'a
desmoralitza	d ə z m o ɾ ə l 'i d z ə
desmoralització	d ə z m o ɾ ə l i d z ə s i 'o
desmoralitzar	d ə z m o ɾ ə l i d z 'a
desmoralitzat	d ə z m o ɾ ə l i d z 'a t
desmoralitzats	d ə z m o ɾ ə l i d z 'a t s
desmotivació	d ə z m o t i v ə s i 'o
desmotivats	d ə z m o t i v 'a t s
desmunta	d ə z m 'u n t ə
desmuntable	d ə z m u n t 'a b b l ə
desmuntables	d ə z m u n t 'a b b l ə s
desmuntada	d ə z m u n t 'a ð ə
desmuntant	d ə z m u n t 'a n t
desmuntar	d ə z m u n t 'a
desmuntarlo	d ə z m u n t 'a ɾ l o
desmuntat	d ə z m u n t 'a t
desmuntatge	d ə z m u n t 'a dʒ ə
desmuntats	d ə z m u n t 'a t s
desmuntava	d ə z m u n t 'a v ə
desnaturalització	d ə z n ə t u ɾ ə l i d z ə s i 'o
desnaturalitzar	d ə z n ə t u ɾ ə l i d z 'a
desnaturalitzat	d ə z n ə t u ɾ ə l i d z 'a t
desnivell	d ə z n i v 'e ʎ
desnivells	d ə z n i v 'e ʎ s
desnodrits	d ə z n o ð ɾ 'i t s
desnonament	d ə z n o n ə m 'e n t
desnutrició	d ə z n u t ɾ i s i 'o
deso	d 'e z o
desobedients	d ə z o β ə ð i 'e n s
desobediència	d ə z o β ə ð i 'ə n s i ə
desobeir	d ə z o β ə 'i
desobte	d ə z 'o t t ə
desocarel	d ə z o k ə ɾ 'ɛ l
desocupació	d ə z o k u p ə s i 'o
desocupada	d ə z o k u p 'a ð ə
desocupades	d ə z o k u p 'a ð ə s
desocupar	d ə z o k u p 'a
desocupat	d ə z o k u p 'a t
desocupats	d ə z o k u p 'a t s
desodorant	d ə z o ð o ɾ 'a n t
desoint	d ə z o 'i n t
desolació	d ə z o l ə s i 'o
desolada	d ə z o l 'a ð ə
desolador	d ə z o l ə ð 'o
desoladora	d ə z o l ə ð 'o ɾ ə
desolat	d ə z o l 'a t
desolats	d ə z o l 'a t s
desorbitada	d ə z o ɾ β i t 'a ð ə
desorbitat	d ə z o ɾ β i t 'a t
desorbitats	d ə z o ɾ β i t 'a t s
desordenada	d ə z o ɾ ð ə n 'a ð ə
desordenades	d ə z o ɾ ð ə n 'a ð ə s
desordenat	d ə z o ɾ ð ə n 'a t
desordre	d ə z 'o ɾ ð ɾ ə
desordres	d ə z 'o ɾ ð ɾ ə s
desorganització	d ə z o ɾ ɣ ə n i d z ə s i 'o
desori	d ə z 'ɔ ɾ i
desorientació	d ə z o ɾ i ə n t ə s i 'o
desorientada	d ə z o ɾ i ə n t 'a ð ə
desorientar	d ə z o ɾ i ə n t 'a
desorientat	d ə z o ɾ i ə n t 'a t
desorientats	d ə z o ɾ i ə n t 'a t s
desorienten	d ə z o ɾ i 'e n t ə n
desotamà	d ə z o t ə m 'a
desoxiribonucleic	d ə z ˌ ɔ t s i r ˌ i β o n u k l 'e j k
despatx	d ə s p 'a tʃ
despatxa	d ə s p 'a tʃ ə
despatxada	d ə s p ə tʃ 'a ð ə
despatxant	d ə s p ə tʃ 'a n t
despatxar	d ə s p ə tʃ 'a
despatxat	d ə s p ə tʃ 'a t
despatxos	d ə s p 'a tʃ o s
despectiu	d ə s p ə t t 'i w
despectius	d ə s p ə t t 'i w s
despectiva	d ə s p ə t t 'i v ə
despectivament	d ə s p ə t t ˌ i v ə m 'e n t
despenalitza	d ə s p ə n ə l 'i d z ə
despenalització	d ə s p ə n ə l i d z ə s i 'o
despenalitzar	d ə s p ə n ə l i d z 'a
despendre	d ə s p 'e n d ɾ ə
despendres	d ə s p 'e n d ɾ ə s
despenja	d ə s p 'e n ʒ ə
despenjada	d ə s p ə n ʒ 'a ð ə
despenjament	d ə s p ˌ e n ʒ ə m 'e n t
despenjar	d ə s p ə n ʒ 'a
despenjaria	d ə s p ə n ʒ ə ɾ 'i ə
despenjarse	d ə s p ə n ʒ 'a ɾ s ə
despenjat	d ə s p ə n ʒ 'a t
despenjats	d ə s p ə n ʒ 'a t s
despenjava	d ə s p ə n ʒ 'a v ə
despentinada	d ə s p ə n t i n 'a ð ə
despentinarse	d ə s p ə n t i n 'a ɾ s ə
despentinat	d ə s p ə n t i n 'a t
desperdici	d ə s p ə ɾ ð 'i s i
desperfecte	d ə s p ə ɾ f 'e t t ə
desperfectes	d ə s p ə ɾ f 'e t t ə s
despert	d ə s p 'ɛ ɾ t
desperta	d ə s p 'ɛ ɾ t ə
despertada	d ə s p ə ɾ t 'a ð ə
despertador	d ə s p ə ɾ t ə ð 'o
despertadors	d ə s p ə ɾ t ə ð 'o s
despertant	d ə s p ə ɾ t 'a n t
despertar	d ə s p ə ɾ t 'a
despertaren	d ə s p ə ɾ t 'a ɾ ə n
despertareu	d ə s p ə ɾ t ə ɾ 'ɛ w
despertarse	d ə s p ə ɾ t 'a ɾ s ə
despertarà	d ə s p ə ɾ t ə ɾ 'a
