a	ə
capgira	k ə b ʒ 'i ɾ ə
capgirant	k ə b ʒ i ɾ 'a n
capgiraven	k ə b ʒ i ɾ 'a β ə n
capgiren	k ə b ʒ 'i ɾ ə n
capi	k 'a p i
capilar	k ə p i l 'a
capir	k ə p 'i r
capital	k ə p i t 'a l
capitalisme	k ə p i t ə l 'i z m ə
capitalista	k ə p i t ə l 'i s t ə
capitalistes	k ə p i t ə l 'i s t ə s
capitalitat	k ə p i t ə l i t 'a t
capitalitza	k ə p i t ə l 'i d z ə
capitalització	k ə p i t ə l i d z ə s i 'o
capitalitzades	k ə p i t ə l i d z 'a ð ə s
capitalitzar	k ə p i t ə l i d z 'a
capitalitzats	k ə p i t ə l i d z 'a t s
capitalitzen	k ə p i t ə l 'i d z ə n
capitalitzi	k ə p i t ə l 'i d z i
capitals	k ə p i t 'a l s
capitana	k ə p i t 'a n ə
capitaneja	k ə p i t ə n 'ɛ ʒ ə
capitanejada	k ə p i t ə n ə ʒ 'a ð ə
capitanejat	k ə p i t ə n ə ʒ 'a t
capitanejats	k ə p i t ə n ə ʒ 'a t s
capitanes	k ə p i t 'a n ə s
capitania	k ə p i t ə n 'i ə
capitans	k ə p i t 'a n s
capitells	k ə p i t 'e ʎ s
capitost	k ə p i t 'ɔ s t
capitostos	k ə p i t 'ɔ s t u s
capitulació	k ə p i t u l ə s i 'o
capità	k ə p i t 'a
capmàs	k ə b m 'a s
capoeira	k ə p u 'ɛ j ɾ ə
caporal	k ə p u ɾ 'a l
capot	k ə p 'ɔ t
caprici	k ə p ɾ 'i s i
capriciosa	k ə p ɾ i s i 'o z ə
capricis	k ə p ɾ 'i s i s
capriciós	k ə p ɾ i s i 'o s
capricorn	k ə p ɾ i k 'ɔ r n
capritx	k ə p ɾ 'i tʃ
capritxos	k ə p ɾ 'i t ʃ u s
capritxosa	k ə p ɾ i t ʃ 'o z ə
capritxós	k ə p ɾ i t ʃ 'o s
caps	k 'a p s
capsa	k 'a p s ə
capses	k 'a p s ə s
capseta	k ə p s 'ɛ t ə
capta	k 'a p t ə
captació	k ə p t ə s i 'o
captada	k ə p t 'a ð ə
captades	k ə p t 'a ð ə s
captadors	k ə p t ə ð 'o s
captaire	k ə p t 'a j ɾ ə
captaireria	k ə p t ə j ɾ ə ɾ 'i ə
captaires	k ə p t 'a j ɾ ə s
captant	k ə p t 'a n
captar	k ə p t 'a
captareu	k ə p t ə ɾ 'ɛ w
captarho	k ə p t 'a ɾ u
captat	k ə p t 'a t
captats	k ə p t 'a t s
captava	k ə p t 'a β ə
capten	k 'a p t ə n
capteniment	k ə p t ə n i m 'e n
capteniments	k ə p t ə n i m 'e n s
capteu	k ə p t 'ɛ w
captiu	k ə p t 'i w
captius	k ə p t 'i w s
captiva	k ə p t 'i β ə
captivada	k ə p t i β 'a ð ə
captivador	k ə p t i β ə ð 'o
captivadora	k ə p t i β ə ð 'o ɾ ə
captivadors	k ə p t i β ə ð 'o s
captivant	k ə p t i β 'a n
captivar	k ə p t i β 'a
captivat	k ə p t i β 'a t
captivava	k ə p t i β 'a β ə
captiven	k ə p t 'i β ə n
captiveri	k ə p t i β 'ɛ ɾ i
captives	k ə p t 'i β ə s
captivitat	k ə p t i β i t 'a t
captors	k ə p t 'o s
captura	k ə p t 'u ɾ ə
capturada	k ə p t u ɾ 'a ð ə
capturades	k ə p t u ɾ 'a ð ə s
capturar	k ə p t u ɾ 'a
capturarlo	k ə p t u ɾ 'a r l u
capturat	k ə p t u ɾ 'a t
capturats	k ə p t u ɾ 'a t s
capturen	k ə p t 'u ɾ ə n
captures	k ə p t 'u ɾ ə s
capuccinos	k ə p u k s 'i n u s
caputxa	k ə p 'u t ʃ ə
caputxes	k ə p 'u t ʃ ə s
caputxeta	k ə p u t ʃ 'ɛ t ə
caputxins	k ə p u t ʃ 'i n s
capvesprol	k ə b b ə s p ɾ 'ɔ l
capçal	k ə p s 'a l
capçalera	k ə p s ə l 'e ɾ ə
capçaleres	k ə p s ə l 'e ɾ ə s
capítol	k ə p 'i t u l
capítols	k ə p 'i t u l s
capó	k ə p 'o
caqui	k 'a k i
car	k 'a r
cara	k 'a ɾ ə
caracas	k ə ɾ 'a k ə s
caracteritza	k ə ɾ ə k t ə ɾ 'i d z ə
caracteritzacions	k ə ɾ ə k t ə ɾ i d z ə s i 'o n s
caracterització	k ə ɾ ə k t ə ɾ i d z ə s i 'o
caracteritzada	k ə ɾ ə k t ə ɾ i d z 'a ð ə
caracteritzades	k ə ɾ ə k t ə ɾ i d z 'a ð ə s
caracteritzant	k ə ɾ ə k t ə ɾ i d z 'a n
caracteritzantlo	k ə ɾ ə k t ə ɾ i d z 'a n l l u
caracteritzar	k ə ɾ ə k t ə ɾ i d z 'a
caracteritzarse	k ə ɾ ə k t ə ɾ i d z 'a r s ə
caracteritzarà	k ə ɾ ə k t ə ɾ i d z ə ɾ 'a
caracteritzat	k ə ɾ ə k t ə ɾ i d z 'a t
caracteritzats	k ə ɾ ə k t ə ɾ i d z 'a t s
caracteritzava	k ə ɾ ə k t ə ɾ i d z 'a β ə
caracteritzaven	k ə ɾ ə k t ə ɾ i d z 'a β ə n
caracteritzen	k ə ɾ ə k t ə ɾ 'i d z ə n
caracteritzeu	k ə ɾ ə k t ə ɾ i d z 'ɛ w
característic	k ə ɾ ə k t ə ɾ 'i s t i k
característica	k ə ɾ ə k t ə ɾ 'i s t i k ə
característics	k ə ɾ ə k t ə ɾ 'i s t i k s
característiques	k ə ɾ ə k t ə ɾ 'i s t i k ə s
caragols	k ə ɾ ə ɣ 'ɔ l s
carai	k ə ɾ 'a j
carajillos	k ə ɾ ə ʒ 'i ʎ u s
caram	k ə ɾ 'a m
carambola	k ə ɾ ə m b 'ɔ l ə
caramboles	k ə ɾ ə m b 'ɔ l ə s
caramel	k ə ɾ ə m 'ɛ l
caramelles	k ə ɾ ə m 'e ʎ ə s
caramels	k ə ɾ ə m 'ɛ l s
caravana	k ə ɾ ə β 'a n ə
caravanes	k ə ɾ ə β 'a n ə s
carbassa	k ə ɾ β 'a s ə
carbassons	k ə ɾ β ə s 'o n s
carbonats	k ə ɾ β u n 'a t s
carboncle	k ə ɾ β 'o ŋ k l ə
carboncles	k ə ɾ β 'o ŋ k l ə s
carbonet	k ə ɾ β u n 'ɛ t
carboni	k ə ɾ β 'ɔ n i
carbonitzat	k ə ɾ β u n i d z 'a t
carbonitzats	k ə ɾ β u n i d z 'a t s
carburant	k ə ɾ β u ɾ 'a n
carburants	k ə ɾ β u ɾ 'a n s
carbó	k ə ɾ β 'o
carca	k 'a r k ə
carcassa	k ə r k 'a s ə
carcasses	k ə r k 'a s ə s
carcerari	k ə r s ə ɾ 'a ɾ i
carcerària	k ə r s ə ɾ 'a ɾ i ə
card	k 'a r t
cardats	k ə ɾ ð 'a t s
carden	k 'a ɾ ð ə n
cardenal	k ə ɾ ð ə n 'a l
cardenals	k ə ɾ ð ə n 'a l s
cardener	k ə ɾ ð ə n 'e
cardiologia	k ə ɾ ð i u l u ʒ 'i ə
cardiopatia	k ə ɾ ð i u p ə t 'i ə
cardiòleg	k ə ɾ ð i 'ɔ l ə k
cardo	k 'a ɾ ð u
cards	k 'a r s
cardíac	k ə ɾ ð 'i ə k
cardíaca	k ə ɾ ð 'i ə k ə
cardíacs	k ə ɾ ð 'i ə k s
cardíaques	k ə ɾ ð 'i ə k ə s
carena	k ə ɾ 'ɛ n ə
carenes	k ə ɾ 'ɛ n ə s
cares	k 'a ɾ ə s
carestia	k ə ɾ ə s t 'i ə
careta	k ə ɾ 'ɛ t ə
caretes	k ə ɾ 'ɛ t ə s
cargol	k ə ɾ ɣ 'ɔ l
cargola	k ə ɾ ɣ 'ɔ l ə
cargols	k ə ɾ ɣ 'ɔ l s
caribeny	k ə ɾ i β 'ɛ ɲ
caribenya	k ə ɾ i β 'ɛ ɲ ə
caribenys	k ə ɾ i β 'ɛ ɲ s
caricatura	k ə ɾ i k ə t 'u ɾ ə
caricatures	k ə ɾ i k ə t 'u ɾ ə s
caricaturesc	k ə ɾ i k ə t u ɾ 'ɛ s k
caricaturesca	k ə ɾ i k ə t u ɾ 'ɛ s k ə
caricaturista	k ə ɾ i k ə t u ɾ 'i s t ə
caricaturistes	k ə ɾ i k ə t u ɾ 'i s t ə s
caricaturitza	k ə ɾ i k ə t u ɾ 'i d z ə
caricaturitzar	k ə ɾ i k ə t u ɾ i d z 'a
carillonista	k ə ɾ i ʎ u n 'i s t ə
carilló	k ə ɾ i ʎ 'o
carini	k ə ɾ 'i n i
carinyo	k ə ɾ 'i ɲ u
carinyosos	k ə ɾ i ɲ 'o z u s
carioca	k ə ɾ i 'ɔ k ə
carisma	k ə ɾ 'i z m ə
carismàtic	k ə ɾ i z m 'a t i k
carismàtica	k ə ɾ i z m 'a t i k ə
carismàtics	k ə ɾ i z m 'a t i k s
carismàtiques	k ə ɾ i z m 'a t i k ə s
caritat	k ə ɾ i t 'a t
caritativa	k ə ɾ i t ə t 'i β ə
caritatives	k ə ɾ i t ə t 'i β ə s
carla	k 'a r l ə
carles	k 'a r l ə s
carlina	k ə r l 'i n ə
carlinada	k ə r l i n 'a ð ə
carlines	k ə r l 'i n ə s
carlins	k ə r l 'i n s
carlisme	k ə r l 'i z m ə
carlistes	k ə r l 'i s t ə s
carlota	k ə r l 'ɔ t ə
carlí	k ə r l 'i
carme	k 'a r m ə
carmel	k ə r m 'ɛ l
carmelita	k ə r m ə l 'i t ə
carmelites	k ə r m ə l 'i t ə s
carn	k 'a r n
carnal	k ə r n 'a l
carnalitat	k ə r n ə l i t 'a t
carnals	k ə r n 'a l s
carnassa	k ə r n 'a s ə
carnaval	k ə r n ə β 'a l
carnavals	k ə r n ə β 'a l s
carneriana	k ə r n ə ɾ i 'a n ə
carnerià	k ə r n ə ɾ i 'a
carnero	k ə r n 'e ɾ u
carnestoltes	k ə r n ə s t 'ɔ l t ə s
carnet	k ə r n 'ɛ t
carnets	k ə r n 'ɛ t s
carnisser	k ə r n i s 'e
carnisseria	k ə r n i s ə ɾ 'i ə
carnisseries	k ə r n i s ə ɾ 'i ə s
carnissers	k ə r n i s 'e s
carns	k 'a r n s
carnívor	k ə r n 'i β u r
carnívora	k ə r n 'i β u ɾ ə
carnívores	k ə r n 'i β u ɾ ə s
carnívors	k ə r n 'i β u r s
carnós	k ə r n 'o s
caro	k 'a ɾ u
carolingi	k ə ɾ u l 'i n ʒ i
carolíngia	k ə ɾ u l 'i n ʒ i ə
carpa	k 'a r p ə
carpes	k 'a r p ə s
carpeta	k ə r p 'ɛ t ə
carpetes	k ə r p 'ɛ t ə s
carpàtxio	k ə r p 'a t ʃ i u
carques	k 'a r k ə s
carrabina	k ə r ə β 'i n ə
carrabiner	k ə r ə β i n 'e
carrabiners	k ə r ə β i n 'e s
carrassos	k ə r 'a s u s
carrega	k ə r 'ɛ ɣ ə
carregada	k ə r ə ɣ 'a ð ə
carregades	k ə r ə ɣ 'a ð ə s
carregador	k ə r ə ɣ ə ð 'o
carregadors	k ə r ə ɣ ə ð 'o s
carregala	k ə r ə ɣ 'a l ə
carregament	k ə r ə ɣ ə m 'e n
carregant	k ə r ə ɣ 'a n
carregar	k ə r ə ɣ 'a
carregaran	k ə r ə ɣ ə ɾ 'a n
carregarlo	k ə r ə ɣ 'a r l u
carregarse	k ə r ə ɣ 'a r s ə
carregarà	k ə r ə ɣ ə ɾ 'a
carregaré	k ə r ə ɣ ə ɾ 'e
carregat	k ə r ə ɣ 'a t
carregats	k ə r ə ɣ 'a t s
carregava	k ə r ə ɣ 'a β ə
carregaven	k ə r ə ɣ 'a β ə n
carrego	k ə r 'ɛ ɣ u
carreguem	k ə r ə ɣ 'ɛ m
carreguen	k ə r 'ɛ ɣ ə n
carregueu	k ə r ə ɣ 'ɛ w
carregui	k ə r 'ɛ ɣ i
carreguin	k ə r 'ɛ ɣ i n
carreguis	k ə r 'ɛ ɣ i s
carregós	k ə r ə ɣ 'o s
carrer	k ə r 'e
carrera	k ə r 'e ɾ ə
carreras	k ə r 'e ɾ ə s
carreres	k ə r 'e ɾ ə s
carrerons	k ə r ə ɾ 'o n s
carrers	k ə r 'e s
carreró	k ə r ə ɾ 'o
carret	k ə r 'ɛ t
carretada	k ə r ə t 'a ð ə
carretades	k ə r ə t 'a ð ə s
carretejar	k ə r ə t ə ʒ 'a
carretejo	k ə r ə t 'ɛ ʒ u
carretera	k ə r ə t 'e ɾ ə
carreteres	k ə r ə t 'e ɾ ə s
carrets	k ə r 'ɛ t s
carretó	k ə r ə t 'o
carril	k ə r 'i l
carrilers	k ə r i l 'e s
carrilet	k ə r i l 'ɛ t
carrils	k ə r 'i l s
carrinclona	k ə r i ŋ k l 'o n ə
carrincloneria	k ə r i ŋ k l u n ə ɾ 'i ə
carrinclons	k ə r i ŋ k l 'o n s
carrincló	k ə r i ŋ k l 'o
carro	k 'a r u
carros	k 'a r u s
carrossa	k ə r 'ɔ s ə
carrosseria	k ə r u s ə ɾ 'i ə
carrosseries	k ə r u s ə ɾ 'i ə s
carrosses	k ə r 'ɔ s ə s
carruatge	k ə r u 'a d ʒ ə
carruatges	k ə r u 'a d ʒ ə s
carràs	k ə r 'a s
cars	k 'a r s
carta	k 'a r t ə
cartaginesos	k ə r t ə ʒ i n 'ɛ z u s
cartago	k ə r t 'a ɣ u
cartell	k ə r t 'e ʎ
cartellera	k ə r t ə ʎ 'e ɾ ə
cartelleres	k ə r t ə ʎ 'e ɾ ə s
cartellet	k ə r t ə ʎ 'ɛ t
cartellisme	k ə r t ə ʎ 'i z m ə
cartellista	k ə r t ə ʎ 'i s t ə
cartells	k ə r t 'e ʎ s
carter	k ə r t 'e
cartera	k ə r t 'e ɾ ə
carteres	k ə r t 'e ɾ ə s
carteristes	k ə r t ə ɾ 'i s t ə s
carters	k ə r t 'e s
cartes	k 'a r t ə s
cartescadena	k ə r t ə s k ə ð 'ɛ n ə
cartesianes	k ə r t ə z i 'a n ə s
cartesià	k ə r t ə z i 'a
cartilaginoses	k ə r t i l ə ʒ i n 'o z ə s
cartilla	k ə r t 'i ʎ ə
cartografia	k ə r t u ɣ ɾ ə f 'i ə
cartografies	k ə r t u ɣ ɾ ə f 'i ə s
cartogràfic	k ə r t u ɣ ɾ 'a f i k
cartogràfica	k ə r t u ɣ ɾ 'a f i k ə
cartogràfics	k ə r t u ɣ ɾ 'a f i k s
cartoixa	k ə r t 'o ʃ ə
cartolina	k ə r t u l 'i n ə
cartolines	k ə r t u l 'i n ə s
cartrons	k ə r t ɾ 'o n s
cartró	k ə r t ɾ 'o
cartutx	k ə r t 'u tʃ
cartutxos	k ə r t 'u t ʃ u s
cartílags	k ə r t 'i l ə k s
cartògraf	k ə r t 'ɔ ɣ ɾ ə f
cartó	k ə r t 'o
carxofes	k ə r ʃ 'ɔ f ə s
caràcter	k ə ɾ 'a k t ə r
caràcters	k ə ɾ 'a k t ə r s
caràtula	k ə ɾ 'a t u l ə
caràtules	k ə ɾ 'a t u l ə s
carència	k ə ɾ 'ɛ n s i ə
carències	k ə ɾ 'ɛ n s i ə s
carícia	k ə ɾ 'i s i ə
carícies	k ə ɾ 'i s i ə s
caríssim	k ə ɾ 'i s i m
caríssima	k ə ɾ 'i s i m ə
caríssimes	k ə ɾ 'i s i m ə s
caríssims	k ə ɾ 'i s i m s
cas	k 'a s
casa	k 'a z ə
casada	k ə z 'a ð ə
casades	k ə z 'a ð ə s
casal	k ə z 'a l
casalot	k ə z ə l 'ɔ t
casals	k ə z 'a l s
casament	k ə z ə m 'e n
casaments	k ə z ə m 'e n s
casaques	k ə z 'a k ə s
casar	k ə z 'a
casaran	k ə z ə ɾ 'a n
casaria	k ə z ə ɾ 'i ə
casarà	k ə z ə ɾ 'a
casaràs	k ə z ə ɾ 'a s
casat	k ə z 'a t
casats	k ə z 'a t s
casava	k ə z 'a β ə
casc	k 'a s k
cascada	k ə s k 'a ð ə
cascades	k ə s k 'a ð ə s
cascall	k ə s k 'a ʎ
cascos	k 'a s k u s
cascs	k 'a s k s
casella	k ə z 'e ʎ ə
caselles	k ə z 'e ʎ ə s
casen	k 'a z ə n
caserna	k ə z 'ɛ r n ə
casernes	k ə z 'ɛ r n ə s
cases	k 'a z ə s
caseta	k ə z 'ɛ t ə
casetes	k ə z 'ɛ t ə s
casi	k 'a z i
casin	k 'a z i n
casino	k ə z 'i n u
casinos	k ə z 'i n u s
caso	k 'a z u
casolana	k ə z u l 'a n ə
casolanes	k ə z u l 'a n ə s
casolans	k ə z u l 'a n s
casolà	k ə z u l 'a
casori	k ə z 'ɔ ɾ i
casoris	k ə z 'ɔ ɾ i s
casos	k 'a z u s
casota	k ə z 'ɔ t ə
caspa	k 'a s p ə
casposa	k ə s p 'o z ə
caspós	k ə s p 'o s
casquet	k ə s k 'ɛ t
casquets	k ə s k 'ɛ t s
cassació	k ə s ə s i 'o
cassen	k 'a s ə n
casset	k ə s 'ɛ t
cassets	k ə s 'ɛ t s
cassola	k ə s 'ɔ l ə
cassolada	k ə s u l 'a ð ə
cassolades	k ə s u l 'a ð ə s
cassoles	k ə s 'ɔ l ə s
cassos	k 'a s u s
cassó	k ə s 'o
cast	k 'a s t
casta	k 'a s t ə
castanya	k ə s t 'a ɲ ə
castanyada	k ə s t ə ɲ 'a ð ə
castanyer	k ə s t ə ɲ 'e
castanyes	k ə s t 'a ɲ ə s
castanyola	k ə s t ə ɲ 'ɔ l ə
castanyoles	k ə s t ə ɲ 'ɔ l ə s
castanys	k ə s t 'a ɲ s
castedat	k ə s t ə ð 'a t
castell	k ə s t 'e ʎ
castella	k ə s t 'e ʎ ə
castellalleó	k ə s t ə ʎ ə ʎ ə 'o
castellana	k ə s t ə ʎ 'a n ə
castellanes	k ə s t ə ʎ 'a n ə s
castellanisme	k ə s t ə ʎ ə n 'i z m ə
castellanització	k ə s t ə ʎ ə n i d z ə s i 'o
castellanitzar	k ə s t ə ʎ ə n i d z 'a
castellans	k ə s t ə ʎ 'a n s
castelldefels	k ə s t ə ʎ d ə f 'ɛ l s
casteller	k ə s t ə ʎ 'e
castellera	k ə s t ə ʎ 'e ɾ ə
castelleres	k ə s t ə ʎ 'e ɾ ə s
castellers	k ə s t ə ʎ 'e s
castellet	k ə s t ə ʎ 'ɛ t
castellonenc	k ə s t ə ʎ u n 'ɛ ŋ
castellonenca	k ə s t ə ʎ u n 'ɛ ŋ k ə
castellonenques	k ə s t ə ʎ u n 'ɛ ŋ k ə s
castells	k ə s t 'e ʎ s
castellterçol	k ə s t ə ʎ t ə r s 'ɔ l
castellà	k ə s t ə ʎ 'a
castellàcatalà	k ə s t ə ʎ 'a k ə t ə l a
castelló	k ə s t ə ʎ 'o
castes	k 'a s t ə s
castiga	k ə s t 'i ɣ ə
castigada	k ə s t i ɣ 'a ð ə
castigades	k ə s t i ɣ 'a ð ə s
castigant	k ə s t i ɣ 'a n
castigantse	k ə s t i ɣ 'a n s ə
castigar	k ə s t i ɣ 'a
castigarlos	k ə s t i ɣ 'a r l u s
castigarà	k ə s t i ɣ ə ɾ 'a
castigat	k ə s t i ɣ 'a t
castigats	k ə s t i ɣ 'a t s
castigava	k ə s t i ɣ 'a β ə
castigo	k ə s t 'i ɣ u
castiguen	k ə s t 'i ɣ ə n
castigui	k ə s t 'i ɣ i
castiguin	k ə s t 'i ɣ i n
castissa	k ə s t 'i s ə
castor	k ə s t 'o
castració	k ə s t ɾ ə s i 'o
castradora	k ə s t ɾ ə ð 'o ɾ ə
castrant	k ə s t ɾ 'a n
castrat	k ə s t ɾ 'a t
castrense	k ə s t ɾ 'ɛ n s ə
castrenses	k ə s t ɾ 'ɛ n s ə s
castrisme	k ə s t ɾ 'i z m ə
castrista	k ə s t ɾ 'i s t ə
castro	k 'a s t ɾ u
casts	k 'a s t s
castís	k ə s t 'i s
casual	k ə z u 'a l
casualitat	k ə z u ə l i t 'a t
casualitats	k ə z u ə l i t 'a t s
casuals	k ə z u 'a l s
casés	k ə z 'e s
cat	k 'a t
cataclisme	k ə t ə k l 'i z m ə
catacumbes	k ə t ə k 'u m b ə s
catalana	k ə t ə l 'a n ə
catalanes	k ə t ə l 'a n ə s
catalanets	k ə t ə l ə n 'ɛ t s
catalanisme	k ə t ə l ə n 'i z m ə
catalanista	k ə t ə l ə n 'i s t ə
catalanistes	k ə t ə l ə n 'i s t ə s
catalanitat	k ə t ə l ə n i t 'a t
catalanització	k ə t ə l ə n i d z ə s i 'o
catalanitzar	k ə t ə l ə n i d z 'a
catalans	k ə t ə l 'a n s
catalanum	k ə t ə l ə n 'u m
catalanòfil	k ə t ə l ə n 'ɔ f i l
catalitzador	k ə t ə l i d z ə ð 'o
catalitzar	k ə t ə l i d z 'a
cataloga	k ə t ə l 'ɔ ɣ ə
catalogació	k ə t ə l u ɣ ə s i 'o
catalogada	k ə t ə l u ɣ 'a ð ə
catalogades	k ə t ə l u ɣ 'a ð ə s
catalogar	k ə t ə l u ɣ 'a
catalogat	k ə t ə l u ɣ 'a t
catalogats	k ə t ə l u ɣ 'a t s
catalonais	k ə t ə l u n 'a j s
catalunya	k ə t ə l 'u ɲ ə
català	k ə t ə l 'a
catalàanglès	k ə t ə l 'a ə ŋ g l ɛ s
catalàvalenciàbalear	k ə t ə l 'a β ə l ə n s i a β ə l e ə
catalític	k ə t ə l 'i t i k
catamarans	k ə t ə m ə ɾ 'a n s
catamarà	k ə t ə m ə ɾ 'a
cataplasma	k ə t ə p l 'a z m ə
catapulta	k ə t ə p 'u l t ə
catapultar	k ə t ə p u l t 'a
catapultat	k ə t ə p u l t 'a t
cataractes	k ə t ə ɾ 'a k t ə s
catarsi	k ə t 'a r s i
catastrofisme	k ə t ə s t ɾ u f 'i z m ə
catastrofista	k ə t ə s t ɾ u f 'i s t ə
catastrofistes	k ə t ə s t ɾ u f 'i s t ə s
catastròfic	k ə t ə s t ɾ 'ɔ f i k
catastròfica	k ə t ə s t ɾ 'ɔ f i k ə
catastròfics	k ə t ə s t ɾ 'ɔ f i k s
catastròfiques	k ə t ə s t ɾ 'ɔ f i k ə s
catatònic	k ə t ə t 'ɔ n i k
catecisme	k ə t ə s 'i z m ə
catedral	k ə t ə ð ɾ 'a l
catedralici	k ə t ə ð ɾ ə l 'i s i
catedrals	k ə t ə ð ɾ 'a l s
catedràtic	k ə t ə ð ɾ 'a t i k
catedràtica	k ə t ə ð ɾ 'a t i k ə
catedràtics	k ə t ə ð ɾ 'a t i k s
categoria	k ə t ə ɣ u ɾ 'i ə
categories	k ə t ə ɣ u ɾ 'i ə s
categoritzada	k ə t ə ɣ u ɾ i d z 'a ð ə
categòric	k ə t ə ɣ 'ɔ ɾ i k
categòrica	k ə t ə ɣ 'ɔ ɾ i k ə
categòriques	k ə t ə ɣ 'ɔ ɾ i k ə s
catenària	k ə t ə n 'a ɾ i ə
catequesi	k ə t ə k 'ɛ z i
caterina	k ə t ə ɾ 'i n ə
caterva	k ə t 'ɛ ɾ β ə
catifa	k ə t 'i f ə
catifes	k ə t 'i f ə s
catolicisme	k ə t u l i s 'i z m ə
catorze	k ə t 'o r z ə
catorzena	k ə t u r z 'ɛ n ə
catorzenes	k ə t u r z 'ɛ n ə s
catorzens	k ə t u r z 'ɛ n s
catorzè	k ə t u r z 'ɛ
catxet	k ə t ʃ 'ɛ t
catàleg	k ə t 'a l ə k
catàlegs	k ə t 'a l ə k s
catàrtic	k ə t 'a r t i k
catàstrofe	k ə t 'a s t ɾ u f ə
catàstrofes	k ə t 'a s t ɾ u f ə s
catòdica	k ə t 'ɔ ð i k ə
catòdics	k ə t 'ɔ ð i k s
catòdiques	k ə t 'ɔ ð i k ə s
catòlic	k ə t 'ɔ l i k
catòlica	k ə t 'ɔ l i k ə
catòlics	k ə t 'ɔ l i k s
catòliques	k ə t 'ɔ l i k ə s
cau	k 'a w
caucasians	k ə w k ə z i 'a n s
caudal	k ə w ð 'a l
cauen	k 'a w ə n
cauran	k ə w ɾ 'a n
caure	k 'a w ɾ ə
caureli	k ə w ɾ 'ɛ l i
caurels	k ə w ɾ 'ɛ l s
cauria	k ə w ɾ 'i ə
caurien	k ə w ɾ 'i ə n
caurà	k ə w ɾ 'a
caus	k 'a w s
causa	k 'a w z ə
causada	k ə w z 'a ð ə
causades	k ə w z 'a ð ə s
causaefecte	k ə w z ə e f 'e k t ə
causal	k ə w z 'a l
causalitat	k ə w z ə l i t 'a t
causalitats	k ə w z ə l i t 'a t s
causant	k ə w z 'a n
causants	k ə w z 'a n s
causar	k ə w z 'a
causaran	k ə w z ə ɾ 'a n
causaria	k ə w z ə ɾ 'i ə
causarli	k ə w z 'a r l i
causarà	k ə w z ə ɾ 'a
causat	k ə w z 'a t
causats	k ə w z 'a t s
causava	k ə w z 'a β ə
causaven	k ə w z 'a β ə n
causen	k 'a w z ə n
causes	k 'a w z ə s
causessin	k ə w z 'e s i n
causeu	k ə w z 'ɛ w
causi	k 'a w z i
causin	k 'a w z i n
causticitat	k ə w s t i s i t 'a t
causà	k ə w z 'a
causés	k ə w z 'e s
caut	k 'a w t
cautela	k ə w t 'ɛ l ə
cautelar	k ə w t ə l 'a
cautelars	k ə w t ə l 'a s
cauteles	k ə w t 'ɛ l ə s
cautelosa	k ə w t ə l 'o z ə
cautelosos	k ə w t ə l 'o z u s
cautelós	k ə w t ə l 'o s
cautes	k 'a w t ə s
cauts	k 'a w t s
cautxú	k ə w t ʃ 'u
cava	k 'a β ə
cavalca	k ə β 'a l k ə
cavalcada	k ə β ə l k 'a ð ə
cavalcant	k ə β ə l k 'a n
cavalcar	k ə β ə l k 'a
cavalcava	k ə β ə l k 'a β ə
cavalcaven	k ə β ə l k 'a β ə n
cavall	k ə β 'a ʎ
cavaller	k ə β ə ʎ 'e
cavalleresc	k ə β ə ʎ ə ɾ 'ɛ s k
cavalleria	k ə β ə ʎ ə ɾ 'i ə
cavalleries	k ə β ə ʎ ə ɾ 'i ə s
cavallerisses	k ə β ə ʎ ə ɾ 'i s ə s
cavallers	k ə β ə ʎ 'e s
cavallet	k ə β ə ʎ 'ɛ t
cavallets	k ə β ə ʎ 'ɛ t s
cavalls	k ə β 'a ʎ s
cavalquen	k ə β 'a l k ə n
cavar	k ə β 'a
caverna	k ə β 'ɛ r n ə
cavernes	k ə β 'ɛ r n ə s
cavernositat	k ə β ə r n u z i t 'a t
cavernícola	k ə β ə r n 'i k u l ə
caves	k 'a β ə s
caviar	k ə β i 'a r
cavitat	k ə β i t 'a t
caça	k 'a s ə
caçabombarders	k ə s ə β u m b ə ɾ ð 'e s
caçada	k ə s 'a ð ə
caçador	k ə s ə ð 'o
caçadora	k ə s ə ð 'o ɾ ə
caçadores	k ə s ə ð 'o ɾ ə s
caçadors	k ə s ə ð 'o s
caçafantasmes	k ə s ə f ə n t 'a z m ə s
caçanegocis	k ə s ə n ə ɣ 'ɔ s i s
caçant	k ə s 'a n
caçar	k ə s 'a
caçarecompenses	k ə s ə ɾ ə k u m p 'ɛ n s ə s
caçat	k ə s 'a t
caçatalents	k ə s ə t ə l 'e n s
caçats	k ə s 'a t s
caçaven	k ə s 'a β ə n
caòtic	k ə 'ɔ t i k
caòtica	k ə 'ɔ t i k ə
caòtics	k ə 'ɔ t i k s
caòtiques	k ə 'ɔ t i k ə s
cdrom	k d ɾ 'o m
ce	s 'e
ceba	s 'ɛ β ə
ceballots	s ə β ə ʎ 'ɔ t s
cebes	s 'e β ə s
cebo	s 'ɛ β u
cec	s 'e k
cecs	s 'e k s
cedeix	s ə ð 'ɛ ʃ
cedeixen	s ə ð 'ɛ ʃ ə n
cedeixi	s ə ð 'ɛ ʃ i
cedeixin	s ə ð 'ɛ ʃ i n
cedia	s ə ð 'i ə
cedida	s ə ð 'i ð ə
cedides	s ə ð 'i ð ə s
cedint	s ə ð 'i n
