a	ə
deposicions	d ə p u z i s i 'o n s
depɾecia	d ə p ɾ ə s 'i ə
depɾeciacions	d ə p ɾ ə s i ə s i 'o n s
depɾeciació	d ə p ɾ ə s i ə s i 'o
depɾeciaɾ	d ə p ɾ ə s i 'a
depɾeciaɾse	d ə p ɾ ə s i 'a r s ə
depɾeciat	d ə p ɾ ə s i 'a t
depɾedadoɾ	d ə p ɾ ə ð ə ð 'o
depɾedadoɾa	d ə p ɾ ə ð ə ð 'o ɾ ə
depɾedadoɾes	d ə p ɾ ə ð ə ð 'o ɾ ə s
depɾedadoɾs	d ə p ɾ ə ð ə ð 'o s
depɾessions	d ə p ɾ ə s i 'o n s
depɾessiu	d ə p ɾ ə s 'i w
depɾessius	d ə p ɾ ə s 'i w s
depɾessiva	d ə p ɾ ə s 'i β ə
depɾessió	d ə p ɾ ə s i 'o
depɾimeix	d ə p ɾ i m 'ɛ ʃ
depɾimeixen	d ə p ɾ i m 'ɛ ʃ ə n
depɾiment	d ə p ɾ i m 'e n
depɾiments	d ə p ɾ i m 'e n s
depɾimida	d ə p ɾ i m 'i ð ə
depɾimides	d ə p ɾ i m 'i ð ə s
depɾimint	d ə p ɾ i m 'i n
depɾimiɾ	d ə p ɾ i m 'i
depɾimit	d ə p ɾ i m 'i t
depɾimits	d ə p ɾ i m 'i t s
depuɾacions	d ə p u ɾ ə s i 'o n s
depuɾació	d ə p u ɾ ə s i 'o
depuɾada	d ə p u ɾ 'a ð ə
depuɾades	d ə p u ɾ 'a ð ə s
depuɾadoɾ	d ə p u ɾ ə ð 'o
depuɾadoɾa	d ə p u ɾ ə ð 'o ɾ ə
depuɾadoɾes	d ə p u ɾ ə ð 'o ɾ ə s
depuɾaɾ	d ə p u ɾ 'a
depuɾaɾà	d ə p u ɾ ə ɾ 'a
depuɾat	d ə p u ɾ 'a t
depuɾats	d ə p u ɾ 'a t s
depuɾin	d ə p 'u ɾ i n
depèn	d ə p 'ɛ n
deɾbi	d 'ɛ ɾ β i
deɾbis	d 'ɛ ɾ β i s
deɾes	d 'e ɾ ə s
deɾiva	d ə ɾ 'i β ə
deɾivacions	d ə ɾ i β ə s i 'o n s
deɾivació	d ə ɾ i β ə s i 'o
deɾivada	d ə ɾ i β 'a ð ə
deɾivades	d ə ɾ i β 'a ð ə s
deɾivant	d ə ɾ i β 'a n
deɾivaɾ	d ə ɾ i β 'a
deɾivaɾien	d ə ɾ i β ə ɾ 'i ə n
deɾivaɾse	d ə ɾ i β 'a r s ə
deɾivaɾà	d ə ɾ i β ə ɾ 'a
deɾivat	d ə ɾ i β 'a t
deɾivats	d ə ɾ i β 'a t s
deɾiven	d ə ɾ 'i β ə n
deɾives	d ə ɾ 'i β ə s
deɾivi	d ə ɾ 'i β i
deɾivin	d ə ɾ 'i β i n
deɾmatitis	d ə r m ə t 'i t i s
deɾmatòlegs	d ə r m ə t 'ɔ l ə k s
deɾogació	d ə ɾ u ɣ ə s i 'o
deɾogaɾ	d ə ɾ u ɣ 'a
deɾogat	d ə ɾ u ɣ 'a t
derapat	d ə r ə p 'a t
derocament	d ə r u k ə m 'e n
derocaɾ	d ə r u k 'a
derocat	d ə r u k 'a t
derota	d ə r 'ɔ t ə
derotada	d ə r u t 'a ð ə
derotades	d ə r u t 'a ð ə s
derotant	d ə r u t 'a n
derotaɾ	d ə r u t 'a
derotaɾla	d ə r u t 'a r l ə
derotaɾlo	d ə r u t 'a r l u
derotat	d ə r u t 'a t
derotats	d ə r u t 'a t s
deroten	d ə r 'o t ə n
derotes	d ə r 'ɔ t ə s
deroti	d ə r 'ɔ t i
derotisme	d ə r u t 'i z m ə
derotista	d ə r u t 'i s t ə
derotés	d ə r u t 'e s
deruïts	d ə r u 'i t s
des	d 'e s
desa	d 'e z ə
desacceleɾa	d ə z ə k s ə l 'e ɾ ə
desacceleɾació	d ə z ə k s ə l ə ɾ ə s i 'o
desacceleɾantse	d ə z ə k s ə l ə ɾ 'a n s ə
desacceleɾaɾ	d ə z ə k s ə l ə ɾ 'a
desacceleɾat	d ə z ə k s ə l ə ɾ 'a t
desacomplexada	d ə z ə k u m p l ə k s 'a ð ə
desacomplexat	d ə z ə k u m p l ə k s 'a t
desaconsella	d ə z ə k u n s 'e ʎ ə
desaconsellada	d ə z ə k u n s ə ʎ 'a ð ə
desaconsellaɾ	d ə z ə k u n s ə ʎ 'a
desaconsellava	d ə z ə k u n s ə ʎ 'a β ə
desacoɾd	d ə z ə k 'ɔ r t
desacoɾds	d ə z ə k 'o r s
desacɾedita	d ə z ə k ɾ ə ð 'i t ə
desacɾeditada	d ə z ə k ɾ ə ð i t 'a ð ə
desacɾeditaɾ	d ə z ə k ɾ ə ð i t 'a
desacɾeditaɾlo	d ə z ə k ɾ ə ð i t 'a r l u
desacɾeditat	d ə z ə k ɾ ə ð i t 'a t
desactiva	d ə z ə k t 'i β ə
desactivació	d ə z ə k t i β ə s i 'o
desactivada	d ə z ə k t i β 'a ð ə
desactivades	d ə z ə k t i β 'a ð ə s
desactivaɾ	d ə z ə k t i β 'a
desactivaɾies	d ə z ə k t i β ə ɾ 'i ə s
desactivaɾà	d ə z ə k t i β ə ɾ 'a
desactivat	d ə z ə k t i β 'a t
desactivats	d ə z ə k t i β 'a t s
desactivin	d ə z ə k t 'i β i n
desades	d ə z 'a ð ə s
desafavoɾides	d ə z ə f ə β u ɾ 'i ð ə s
desafavoɾits	d ə z ə f ə β u ɾ 'i t s
desafecció	d ə z ə f ə k s i 'o
desafia	d ə z ə f 'i ə
desafiament	d ə z ə f i ə m 'e n
desafiaments	d ə z ə f i ə m 'e n s
desafiant	d ə z ə f i 'a n
desafiants	d ə z ə f i 'a n s
desafiaɾ	d ə z ə f i 'a
desafiat	d ə z ə f i 'a t
desafiaven	d ə z ə f i 'a β ə n
desafien	d ə z ə f 'i ə n
desafinaɾ	d ə z ə f i n 'a
desafoɾada	d ə z ə f u ɾ 'a ð ə
desafoɾat	d ə z ə f u ɾ 'a t
desafoɾtunada	d ə z ə f u r t u n 'a ð ə
desafoɾtunades	d ə z ə f u r t u n 'a ð ə s
desafoɾtunat	d ə z ə f u r t u n 'a t
desafoɾtunats	d ə z ə f u r t u n 'a t s
desagɾada	d ə z ə ɣ ɾ 'a ð ə
desagɾadable	d ə z ə ɣ ɾ ə ð 'a b b l ə
desagɾadables	d ə z ə ɣ ɾ ə ð 'a b b l ə s
desagɾaït	d ə z ə ɣ ɾ ə 'i t
desajust	d ə z ə ʒ 'u s t
desajustaments	d ə z ə ʒ u s t ə m 'e n s
desajustaɾse	d ə z ə ʒ u s t 'a r s ə
desajustos	d ə z ə ʒ 'u s t u s
desallotgés	d ə z ə ʎ u d ʒ 'e s
desallotja	d ə z ə ʎ 'ɔ d ʒ ə
desallotjada	d ə z ə ʎ u d ʒ 'a ð ə
desallotjades	d ə z ə ʎ u d ʒ 'a ð ə s
desallotjament	d ə z ə ʎ u d ʒ ə m 'e n
desallotjaments	d ə z ə ʎ u d ʒ ə m 'e n s
desallotjaɾ	d ə z ə ʎ u d ʒ 'a
desallotjaɾlos	d ə z ə ʎ u d ʒ 'a r l u s
desallotjat	d ə z ə ʎ u d ʒ 'a t
desallotjats	d ə z ə ʎ u d ʒ 'a t s
desamoɾ	d ə z ə m 'o r
desamoɾs	d ə z ə m 'o r s
desamoɾtització	d ə z ə m u r t i d z ə s i 'o
desanima	d ə z ə n 'i m ə
desanimaɾ	d ə z ə n i m 'a
desanimaɾlo	d ə z ə n i m 'a r l u
desanimat	d ə z ə n i m 'a t
desanimats	d ə z ə n i m 'a t s
desant	d ə z 'a n
desapaɾeguda	d ə z ə p ə ɾ ə ɣ 'u ð ə
desapaɾegudes	d ə z ə p ə ɾ ə ɣ 'u ð ə s
desapaɾeguessin	d ə z ə p ə ɾ ə ɣ 'e s i n
desapaɾegui	d ə z ə p ə ɾ 'ɛ ɣ i
desapaɾeguin	d ə z ə p ə ɾ 'ɛ ɣ i n
desapaɾegut	d ə z ə p ə ɾ ə ɣ 'u t
desapaɾeguts	d ə z ə p ə ɾ ə ɣ 'u t s
desapaɾegué	d ə z ə p ə ɾ ə ɣ 'e
desapaɾegués	d ə z ə p ə ɾ ə ɣ 'e s
desapaɾeix	d ə z ə p ə ɾ 'ɛ ʃ
desapaɾeixen	d ə z ə p ə ɾ 'ɛ ʃ ə n
desapaɾeixent	d ə z ə p ə ɾ ə ʃ 'e n
desapaɾeixeɾan	d ə z ə p ə ɾ ə ʃ ə ɾ 'a n
desapaɾeixeɾia	d ə z ə p ə ɾ ə ʃ ə ɾ 'i ə
desapaɾeixeɾà	d ə z ə p ə ɾ ə ʃ ə ɾ 'a
desapaɾeixia	d ə z ə p ə ɾ ə ʃ 'i ə
desapaɾeixien	d ə z ə p ə ɾ ə ʃ 'i ə n
desapaɾicions	d ə z ə p ə ɾ i s i 'o n s
desapaɾició	d ə z ə p ə ɾ i s i 'o
desapaɾèixeɾ	d ə z ə p ə ɾ 'ɛ ʃ ə
desapassionada	d ə z ə p ə s i u n 'a ð ə
desapeɾcebuda	d ə z ə p ə r s ə β 'u ð ə
desapeɾcebudes	d ə z ə p ə r s ə β 'u ð ə s
desapeɾcebut	d ə z ə p ə r s ə β 'u t
desapeɾcebuts	d ə z ə p ə r s ə β 'u t s
desapɾensiu	d ə z ə p ɾ ə n s 'i w
desapɾensius	d ə z ə p ɾ ə n s 'i w s
desapɾofita	d ə z ə p ɾ u f 'i t ə
desapɾofitada	d ə z ə p ɾ u f i t 'a ð ə
desapɾofitades	d ə z ə p ɾ u f i t 'a ð ə s
desapɾofitant	d ə z ə p ɾ u f i t 'a n
desapɾofitaɾ	d ə z ə p ɾ u f i t 'a
desapɾofitaɾla	d ə z ə p ɾ u f i t 'a r l ə
desapɾofitat	d ə z ə p ɾ u f i t 'a t
desapɾofités	d ə z ə p ɾ u f i t 'e s
desapɾova	d ə z ə p ɾ 'ɔ β ə
desapɾovació	d ə z ə p ɾ u β ə s i 'o
desapɾovaɾ	d ə z ə p ɾ u β 'a
desapɾoven	d ə z ə p ɾ 'o β ə n
desapuntaɾ	d ə z ə p u n t 'a
desapuntat	d ə z ə p u n t 'a t
desaɾ	d ə z 'a
desaɾhi	d ə z 'a ɾ i
desaɾies	d ə z ə ɾ 'i ə s
desaɾma	d ə z 'a r m ə
desaɾmada	d ə z ə r m 'a ð ə
desaɾmament	d ə z ə r m ə m 'e n
desaɾmaɾ	d ə z ə r m 'a
desaɾmaɾse	d ə z ə r m 'a r s ə
desaɾmat	d ə z ə r m 'a t
desaɾmats	d ə z ə r m 'a t s
desaɾmi	d ə z 'a r m i
desarelament	d ə z ə r ə l ə m 'e n
desarelat	d ə z ə r ə l 'a t
desarelats	d ə z ə r ə l 'a t s
desaɾticula	d ə z ə r t i k 'u l ə
desaɾticulació	d ə z ə r t i k u l ə s i 'o
desaɾticulada	d ə z ə r t i k u l 'a ð ə
desaɾticulaɾ	d ə z ə r t i k u l 'a
desaɾticulat	d ə z ə r t i k u l 'a t
desaɾticulats	d ə z ə r t i k u l 'a t s
desassistit	d ə z ə s i s t 'i t
desassossec	d ə z ə s u s 'ɛ k
desassossegant	d ə z ə s u s ə ɣ 'a n
desastɾe	d ə z 'a s t ɾ ə
desastɾes	d ə z 'a s t ɾ ə s
desastɾosa	d ə z ə s t ɾ 'o z ə
desastɾoses	d ə z ə s t ɾ 'o z ə s
desastɾosos	d ə z ə s t ɾ 'o z u s
desastɾós	d ə z ə s t ɾ 'o s
desat	d ə z 'a t
desatenció	d ə z ə t ə n s i 'o
desatendɾe	d ə z ə t 'e n d ɾ ə
desatenent	d ə z ə t ə n 'e n
desateses	d ə z ə t 'ɛ z ə s
desatesos	d ə z ə t 'ɛ z u s
desatès	d ə z ə t 'ɛ s
desautoɾitza	d ə z ə w t u ɾ 'i d z ə
desautoɾització	d ə z ə w t u ɾ i d z ə s i 'o
desautoɾitzaɾ	d ə z ə w t u ɾ i d z 'a
desautoɾitzat	d ə z ə w t u ɾ i d z 'a t
desautoɾitzava	d ə z ə w t u ɾ i d z 'a β ə
desautoɾitzi	d ə z ə w t u ɾ 'i d z i
desava	d ə z 'a β ə
desavantatge	d ə z ə β ə n t 'a d ʒ ə
desavantatges	d ə z ə β ə n t 'a d ʒ ə s
desavinences	d ə z ə β i n 'ɛ n s ə s
desavinença	d ə z ə β i n 'ɛ n s ə
desballestadoɾs	d ə z β ə ʎ ə s t ə ð 'o s
desballestament	d ə z β ə ʎ ə s t ə m 'e n
desballestaɾ	d ə z β ə ʎ ə s t 'a
desballestat	d ə z β ə ʎ ə s t 'a t
desbanca	d ə z β 'a ŋ k ə
desbancant	d ə z β ə ŋ k 'a n
desbancaɾ	d ə z β ə ŋ k 'a
desbancat	d ə z β ə ŋ k 'a t
desbandada	d ə z β ə n d 'a ð ə
desbanquen	d ə z β 'a ŋ k ə n
desbaɾataɾ	d ə z β ə ɾ ə t 'a
desbloquegi	d ə z β l u k 'ɛ ʒ i
desbloqueig	d ə z β l u k 'ɛ tʃ
desbloqueja	d ə z β l u k 'ɛ ʒ ə
desbloquejaɾ	d ə z β l u k ə ʒ 'a
desbloquejaɾies	d ə z β l u k ə ʒ ə ɾ 'i ə s
desbloquejaɾla	d ə z β l u k ə ʒ 'a r l ə
desbloquejaɾse	d ə z β l u k ə ʒ 'a r s ə
desbloquejat	d ə z β l u k ə ʒ 'a t
desbocada	d ə z β u k 'a ð ə
desbocades	d ə z β u k 'a ð ə s
desbocat	d ə z β u k 'a t
desboɾda	d ə z β 'ɔ ɾ ð ə
desboɾdada	d ə z β u ɾ ð 'a ð ə
desboɾdades	d ə z β u ɾ ð 'a ð ə s
desboɾdament	d ə z β u ɾ ð ə m 'e n
desboɾdant	d ə z β u ɾ ð 'a n
desboɾdaɾ	d ə z β u ɾ ð 'a
desboɾdaɾvos	d ə z β u ɾ ð 'a ɾ β u s
desboɾdat	d ə z β u ɾ ð 'a t
desboɾdats	d ə z β u ɾ ð 'a t s
desboɾdava	d ə z β u ɾ ð 'a β ə
desboɾden	d ə z β 'ɔ ɾ ð ə n
desboɾdeu	d ə z β u ɾ ð 'ɛ w
descabellada	d ə s k ə β ə ʎ 'a ð ə
descafeïnada	d ə s k ə f ə i n 'a ð ə
descafeïnat	d ə s k ə f ə i n 'a t
descalç	d ə s k 'a l s
descalça	d ə s k 'a l s ə
descalços	d ə s k 'a l s u s
descampat	d ə s k ə m p 'a t
descampats	d ə s k ə m p 'a t s
descans	d ə s k 'a n s
descansa	d ə s k 'a n s ə
descansada	d ə s k ə n s 'a ð ə
descansant	d ə s k ə n s 'a n
descansaɾ	d ə s k ə n s 'a
descansaɾeu	d ə s k ə n s ə ɾ 'ɛ w
descansaɾà	d ə s k ə n s ə ɾ 'a
descansat	d ə s k ə n s 'a t
descansats	d ə s k ə n s 'a t s
descansava	d ə s k ə n s 'a β ə
descansen	d ə s k 'a n s ə n
descanseu	d ə s k ə n s 'ɛ w
descansi	d ə s k 'a n s i
descansin	d ə s k 'a n s i n
descanso	d ə s k 'a n s u
descansos	d ə s k 'a n s u s
descapitalització	d ə s k ə p i t ə l i d z ə s i 'o
descapotable	d ə s k ə p u t 'a b b l ə
descaɾada	d ə s k ə ɾ 'a ð ə
descaɾades	d ə s k ə ɾ 'a ð ə s
descaɾat	d ə s k ə ɾ 'a t
descaɾats	d ə s k ə ɾ 'a t s
descaɾnada	d ə s k ə r n 'a ð ə
descaɾnat	d ə s k ə r n 'a t
descarega	d ə s k ə r 'ɛ ɣ ə
descaregable	d ə s k ə r ə ɣ 'a b b l ə
descaregables	d ə s k ə r ə ɣ 'a b b l ə s
descaregada	d ə s k ə r ə ɣ 'a ð ə
descaregades	d ə s k ə r ə ɣ 'a ð ə s
descaregant	d ə s k ə r ə ɣ 'a n
descaregaɾ	d ə s k ə r ə ɣ 'a
descaregaɾia	d ə s k ə r ə ɣ ə ɾ 'i ə
descaregaɾies	d ə s k ə r ə ɣ ə ɾ 'i ə s
descaregaɾla	d ə s k ə r ə ɣ 'a r l ə
descaregaɾlo	d ə s k ə r ə ɣ 'a r l u
descaregaɾne	d ə s k ə r ə ɣ 'a r n ə
descaregaɾse	d ə s k ə r ə ɣ 'a r s ə
descaregat	d ə s k ə r ə ɣ 'a t
descaregats	d ə s k ə r ə ɣ 'a t s
descaregava	d ə s k ə r ə ɣ 'a β ə
descareguen	d ə s k ə r 'ɛ ɣ ə n
descaregues	d ə s k ə r 'ɛ ɣ ə s
descaregui	d ə s k ə r 'ɛ ɣ i
descareguin	d ə s k ə r 'ɛ ɣ i n
descarilament	d ə s k ə r i l ə m 'e n
descarilaɾ	d ə s k ə r i l 'a
descaɾta	d ə s k 'a r t ə
descaɾtable	d ə s k ə r t 'a b b l ə
descaɾtada	d ə s k ə r t 'a ð ə
descaɾtades	d ə s k ə r t 'a ð ə s
descaɾtant	d ə s k ə r t 'a n
descaɾtaɾ	d ə s k ə r t 'a
descaɾtaɾho	d ə s k ə r t 'a ɾ u
descaɾtaɾia	d ə s k ə r t ə ɾ 'i ə
descaɾtat	d ə s k ə r t 'a t
descaɾtats	d ə s k ə r t 'a t s
descaɾtava	d ə s k ə r t 'a β ə
descaɾtaven	d ə s k ə r t 'a β ə n
descaɾtem	d ə s k ə r t 'ɛ m
descaɾten	d ə s k 'a r t ə n
descaɾti	d ə s k 'a r t i
descaɾto	d ə s k 'a r t u
descatalogats	d ə s k ə t ə l u ɣ 'a t s
descavalcaɾ	d ə s k ə β ə l k 'a
descendeix	d ə s ə n d 'ɛ ʃ
descendent	d ə s ə n d 'e n
descendents	d ə s ə n d 'e n s
descendiɾ	d ə s ə n d 'i
descendit	d ə s ə n d 'i t
descendits	d ə s ə n d 'i t s
descendència	d ə s ə n d 'ɛ n s i ə
descens	d ə s 'ɛ n s
descensos	d ə s 'ɛ n s u s
descentɾalització	d ə s ə n t ɾ ə l i d z ə s i 'o
descentɾalitzada	d ə s ə n t ɾ ə l i d z 'a ð ə
descentɾalitzades	d ə s ə n t ɾ ə l i d z 'a ð ə s
descentɾalitzadoɾ	d ə s ə n t ɾ ə l i d z ə ð 'o
descentɾalitzadoɾa	d ə s ə n t ɾ ə l i d z ə ð 'o ɾ ə
descentɾalitzaɾ	d ə s ə n t ɾ ə l i d z 'a
descentɾalitzat	d ə s ə n t ɾ ə l i d z 'a t
descentɾalitzats	d ə s ə n t ɾ ə l i d z 'a t s
descentɾaɾ	d ə s ə n t ɾ 'a
descentɾat	d ə s ə n t ɾ 'a t
descentɾats	d ə s ə n t ɾ 'a t s
desceɾebɾat	d ə s ə ɾ ə β ɾ 'a t
desceɾebɾats	d ə s ə ɾ ə β ɾ 'a t s
desclot	d ə s k l 'ɔ t
descobeɾt	d ə s k u β 'ɛ r t
descobeɾta	d ə s k u β 'ɛ r t ə
descobeɾtes	d ə s k u β 'ɛ r t ə s
descobeɾts	d ə s k u β 'ɛ r s
descobɾeix	d ə s k u β ɾ 'ɛ ʃ
descobɾeixen	d ə s k u β ɾ 'ɛ ʃ ə n
descobɾeixes	d ə s k u β ɾ 'ɛ ʃ ə s
descobɾeixi	d ə s k u β ɾ 'ɛ ʃ i
descobɾeixin	d ə s k u β ɾ 'ɛ ʃ i n
descobɾeixo	d ə s k u β ɾ 'ɛ ʃ u
descobɾia	d ə s k u β ɾ 'i ə
descobɾidoɾ	d ə s k u β ɾ i ð 'o
descobɾidoɾs	d ə s k u β ɾ i ð 'o s
descobɾim	d ə s k u β ɾ 'i m
descobɾiment	d ə s k u β ɾ i m 'e n
descobɾiments	d ə s k u β ɾ i m 'e n s
descobɾint	d ə s k u β ɾ 'i n
descobɾiɾ	d ə s k u β ɾ 'i
descobɾiɾan	d ə s k u β ɾ i ɾ 'a n
descobɾiɾem	d ə s k u β ɾ i ɾ 'ɛ m
descobɾiɾen	d ə s k u β ɾ 'i ɾ ə n
descobɾiɾeu	d ə s k u β ɾ i ɾ 'ɛ w
descobɾiɾhi	d ə s k u β ɾ 'i ɾ i
descobɾiɾho	d ə s k u β ɾ 'i ɾ u
descobɾiɾles	d ə s k u β ɾ 'i r l ə s
descobɾiɾlo	d ə s k u β ɾ 'i r l u
descobɾiɾne	d ə s k u β ɾ 'i r n ə
descobɾiɾse	d ə s k u β ɾ 'i r s ə
descobɾiɾà	d ə s k u β ɾ i ɾ 'a
descobɾiɾé	d ə s k u β ɾ i ɾ 'e
descobɾissin	d ə s k u β ɾ 'i s i n
descobɾiu	d ə s k u β ɾ 'i w
descobɾí	d ə s k u β ɾ 'i
descobɾís	d ə s k u β ɾ 'i s
descobɾíssim	d ə s k u β ɾ 'i s i m
descodificadoɾ	d ə s k u ð i f i k ə ð 'o
descodificadoɾs	d ə s k u ð i f i k ə ð 'o s
descodificaɾ	d ə s k u ð i f i k 'a
descolocada	d ə s k u l u k 'a ð ə
descolocaɾ	d ə s k u l u k 'a
descolocat	d ə s k u l u k 'a t
descolocats	d ə s k u l u k 'a t s
descolonització	d ə s k u l u n i d z ə s i 'o
descompensació	d ə s k u m p ə n s ə s i 'o
descompensat	d ə s k u m p ə n s 'a t
descompondɾe	d ə s k u m p 'ɔ n d ɾ ə
descomponen	d ə s k u m p 'ɔ n ə n
descomposició	d ə s k u m p u z i s i 'o
descompostes	d ə s k u m p 'ɔ s t ə s
descompɾessió	d ə s k u m p ɾ ə s i 'o
descompɾimida	d ə s k u m p ɾ i m 'i ð ə
descompta	d ə s k 'o m t ə
descomptada	d ə s k u m t 'a ð ə
descomptant	d ə s k u m t 'a n
descomptaɾ	d ə s k u m t 'a
descomptat	d ə s k u m t 'a t
descompte	d ə s k 'o m t ə
descomptem	d ə s k u m t 'ɛ m
descompten	d ə s k 'o m t ə n
descomptes	d ə s k 'o m t ə s
descompto	d ə s k 'o m t u
descomunal	d ə s k u m u n 'a l
descomunals	d ə s k u m u n 'a l s
desconcentɾació	d ə s k u n s ə n t ɾ ə s i 'o
desconcentɾats	d ə s k u n s ə n t ɾ 'a t s
desconceɾt	d ə s k u n s 'ɛ r t
desconceɾta	d ə s k u n s 'ɛ r t ə
desconceɾtada	d ə s k u n s ə r t 'a ð ə
desconceɾtant	d ə s k u n s ə r t 'a n
desconceɾtants	d ə s k u n s ə r t 'a n s
desconceɾtaɾ	d ə s k u n s ə r t 'a
desconceɾtat	d ə s k u n s ə r t 'a t
desconceɾtats	d ə s k u n s ə r t 'a t s
desconec	d ə s k u n 'ɛ k
desconeguda	d ə s k u n ə ɣ 'u ð ə
desconegudes	d ə s k u n ə ɣ 'u ð ə s
desconeguin	d ə s k u n 'ɛ ɣ i n
desconegut	d ə s k u n ə ɣ 'u t
desconeguts	d ə s k u n ə ɣ 'u t s
desconegués	d ə s k u n ə ɣ 'e s
desconeix	d ə s k u n 'ɛ ʃ
desconeixem	d ə s k u n ə ʃ 'ɛ m
desconeixement	d ə s k u n ə ʃ ə m 'e n
desconeixen	d ə s k u n 'ɛ ʃ ə n
desconeixença	d ə s k u n ə ʃ 'ɛ n s ə
desconeixes	d ə s k u n 'ɛ ʃ ə s
desconeixeu	d ə s k u n ə ʃ 'ɛ w
desconeixia	d ə s k u n ə ʃ 'i ə
desconeixien	d ə s k u n ə ʃ 'i ə n
desconeixíem	d ə s k u n ə ʃ 'i ə m
desconfia	d ə s k u m f 'i ə
desconfiada	d ə s k u m f i 'a ð ə
desconfiances	d ə s k u m f i 'a n s ə s
desconfiança	d ə s k u m f i 'a n s ə
desconfiaɾ	d ə s k u m f i 'a
desconfiat	d ə s k u m f i 'a t
desconfiats	d ə s k u m f i 'a t s
desconfien	d ə s k u m f 'i ə n
descongelació	d ə s k u n ʒ ə l ə s i 'o
descongelaɾ	d ə s k u n ʒ ə l 'a
descongestionaɾ	d ə s k u n ʒ ə s t i u n 'a
desconnecta	d ə s k u n n 'e k t ə
desconnectada	d ə s k u n n ə k t 'a ð ə
desconnectaɾ	d ə s k u n n ə k t 'a
desconnectaɾia	d ə s k u n n ə k t ə ɾ 'i ə
desconnectaɾies	d ə s k u n n ə k t ə ɾ 'i ə s
desconnectaɾles	d ə s k u n n ə k t 'a r l ə s
desconnectaɾse	d ə s k u n n ə k t 'a r s ə
desconnectat	d ə s k u n n ə k t 'a t
desconnectats	d ə s k u n n ə k t 'a t s
desconnexions	d ə s k u n n ə k s i 'o n s
desconnexió	d ə s k u n n ə k s i 'o
desconsideɾacions	d ə s k u n s i ð ə ɾ ə s i 'o n s
desconsideɾació	d ə s k u n s i ð ə ɾ ə s i 'o
desconsideɾat	d ə s k u n s i ð ə ɾ 'a t
desconsol	d ə s k u n s 'ɔ l
desconsolada	d ə s k u n s u l 'a ð ə
descontaminació	d ə s k u n t ə m i n ə s i 'o
descontent	d ə s k u n t 'e n
descontenta	d ə s k u n t 'e n t ə
descontentament	d ə s k u n t ə n t ə m 'e n
descontentes	d ə s k u n t 'e n t ə s
descontents	d ə s k u n t 'e n s
descontɾol	d ə s k u n t ɾ 'ɔ l
descontɾola	d ə s k u n t ɾ 'ɔ l ə
descontɾolada	d ə s k u n t ɾ u l 'a ð ə
descontɾolades	d ə s k u n t ɾ u l 'a ð ə s
descontɾolaɾ	d ə s k u n t ɾ u l 'a
descontɾolat	d ə s k u n t ɾ u l 'a t
descontɾolats	d ə s k u n t ɾ u l 'a t s
desconvoca	d ə s k u m b 'o k ə
desconvocada	d ə s k u m b u k 'a ð ə
desconvocaɾ	d ə s k u m b u k 'a
desconvocaɾies	d ə s k u m b u k ə ɾ 'i ə s
desconvocat	d ə s k u m b u k 'a t
desconvocatòɾia	d ə s k u m b u k ə t 'ɔ ɾ i ə
desconvoquen	d ə s k u m b 'o k ə n
desconèixeɾ	d ə s k u n 'ɛ ʃ ə
descooɾdinació	d ə s k u u ɾ ð i n ə s i 'o
descoɾatjadoɾ	d ə s k u ɾ ə d ʒ ə ð 'o
descoɾatjadoɾs	d ə s k u ɾ ə d ʒ ə ð 'o s
descosit	d ə s k u z 'i t
descosits	d ə s k u z 'i t s
descɾegut	d ə s k ɾ ə ɣ 'u t
descɾeguts	d ə s k ɾ ə ɣ 'u t s
descɾic	d ə s k ɾ 'i k
descɾipcions	d ə s k ɾ i p s i 'o n s
descɾipció	d ə s k ɾ i p s i 'o
descɾiptible	d ə s k ɾ i p t 'i b b l ə
descɾiptiu	d ə s k ɾ i p t 'i w
descɾiptius	d ə s k ɾ i p t 'i w s
descɾiptiva	d ə s k ɾ i p t 'i β ə
descɾiptoɾes	d ə s k ɾ i p t 'o ɾ ə s
descɾit	d ə s k ɾ 'i t
descɾita	d ə s k ɾ 'i t ə
descɾites	d ə s k ɾ 'i t ə s
descɾits	d ə s k ɾ 'i t s
descɾiu	d ə s k ɾ 'i w
descɾiuen	d ə s k ɾ 'i w ə n
descɾiuɾe	d ə s k ɾ 'i w ɾ ə
descɾiuɾel	d ə s k ɾ i w ɾ 'ɛ l
descɾiuɾela	d ə s k ɾ i w ɾ 'ɛ l ə
descɾiuɾem	d ə s k ɾ i w ɾ 'ɛ m
descɾivia	d ə s k ɾ i β 'i ə
descɾèdit	d ə s k ɾ 'ɛ ð i t
descubeɾtes	d ə s k u β 'ɛ r t ə s
descubɾimientos	d ə s k u β ɾ i m i 'e n t u s
descuida	d ə s k 'u j ð ə
descuidaɾ	d ə s k u j ð 'a
descuidat	d ə s k u j ð 'a t
descuiden	d ə s k 'u j ð ə n
descuit	d ə s k 'u j t
descuɾança	d ə s k u ɾ 'a n s ə
descàrega	d ə s k 'a r ə ɣ ə
descàregues	d ə s k 'a r ə ɣ ə s
desde	d 'e z ð ə
desdejuni	d ə z ð ə ʒ 'u n i
desdentada	d ə z ð ə n t 'a ð ə
desdenj	d ə z ð 'ɛ ɲ
desdibuixa	d ə z ð i β 'u ʃ ə
