A	'ə
superfície	s u p ə r f 'i s i ə
superfluïtat	s u p ə r f l u i t 'a t
superfluïtats	s u p ə r f l u i t 'a t s
superilla	s u p ə ɾ 'i ʎ ə
superior	s u p ə ɾ i 'o r
superjò	s u p ə r ʒ 'ɔ
supermercat	s u p ə r m ə r k 'a t
supero	s u p 'e ɾ u
superposada	s u p ə r p u z 'a ð ə
superposades	s u p ə r p u z 'a ð ə s
superposar	s u p ə r p u z 'a
superposat	s u p ə r p u z 'a t
superposats	s u p ə r p u z 'a t s
supí	s u p 'i
supina	s u p 'i n ə
supines	s u p 'i n ə s
supins	s u p 'i n s
suplantada	s u p l ə n t 'a ð ə
suplantades	s u p l ə n t 'a ð ə s
suplantar	s u p l ə n t 'a
suplantat	s u p l ə n t 'a t
suplantats	s u p l ə n t 'a t s
supleció	s u p l ə s i 'o
suplement	s u p l ə m 'e n
suplementari	s u p l ə m ə n t 'a ɾ i
suplementària	s u p l ə m ə n t 'a ɾ i ə
suplementàries	s u p l ə m ə n t 'a ɾ i ə s
suplementaris	s u p l ə m ə n t 'a ɾ i s
suplent	s u p l 'e n
suplert	s u p l 'ɛ r t
supletori	s u p l ə t 'ɔ ɾ i
suplia	s u p l 'i ə
suplica	s u p l 'i k ə
suplicà	s u p l i k 'a
súplica	s 'u p l i k ə
suplicada	s u p l i k 'a ð ə
suplicades	s u p l i k 'a ð ə s
suplicar	s u p l i k 'a
suplicat	s u p l i k 'a t
suplicats	s u p l i k 'a t s
súpliques	s 'u p l i k ə s
suplir	s u p l 'i
suport	s u p 'ɔ r t
suportà	s u p u r t 'a
suportada	s u p u r t 'a ð ə
suportades	s u p u r t 'a ð ə s
suportar	s u p u r t 'a
suportat	s u p u r t 'a t
suportats	s u p u r t 'a t s
suporti	s u p 'ɔ r t i
suporto	s u p 'ɔ r t u
suposada	s u p u z 'a ð ə
suposades	s u p u z 'a ð ə s
suposar	s u p u z 'a
suposat	s u p u z 'a t
suposats	s u p u z 'a t s
suposició	s u p u z i s i 'o
suposo	s u p 'ɔ z u
supranacional	s u p ɾ ə n ə s i u n 'a l
suprem	s u p ɾ 'e m
supressió	s u p ɾ ə s i 'o
suprimible	s u p ɾ i m 'i b b l ə
suprimida	s u p ɾ i m 'i ð ə
suprimides	s u p ɾ i m 'i ð ə s
suprimir	s u p ɾ i m 'i
suprimit	s u p ɾ i m 'i t
suprimits	s u p ɾ i m 'i t s
suquejada	s u k ə ʒ 'a ð ə
suquejades	s u k ə ʒ 'a ð ə s
suquejar	s u k ə ʒ 'a
suquejat	s u k ə ʒ 'a t
suquejats	s u k ə ʒ 'a t s
sura	s 'u ɾ ə
surada	s u ɾ 'a ð ə
surades	s u ɾ 'a ð ə s
surar	s u ɾ 'a
surat	s u ɾ 'a t
surats	s u ɾ 'a t s
surenc	s u ɾ 'ɛ ŋ
sureny	s u ɾ 'ɛ ɲ
suricata	s u ɾ i k 'a t ə
Surinam	s u ɾ i n 'a m
surinamès	s u ɾ i n ə m 'ɛ s
surinamesa	s u ɾ i n ə m 'ɛ z ə
surinameses	s u ɾ i n ə m 'ɛ z ə s
suro	s 'u ɾ u
surolí	s u ɾ u l 'i
surt	s 'u r t
susceptible	s u s ə p t 'i b b l ə
suscitar	s u s i t 'a
suspendre	s u s p 'ɛ n d ɾ ə
suspensió	s u s p ə n s i 'o
suspensori	s u s p ə n s 'ɔ ɾ i
suspès	s u s p 'ɛ s
suspicaç	s u s p i k 'a s
suspicàcia	s u s p i k 'a s i ə
suspició	s u s p i s i 'o
sustentar	s u s t ə n t 'a
sutge	s 'u d ʒ ə
sutura	s u t 'u ɾ ə
suturada	s u t u ɾ 'a ð ə
suturades	s u t u ɾ 'a ð ə s
suturar	s u t u ɾ 'a
suturat	s u t u ɾ 'a t
suturats	s u t u ɾ 'a t s
sutures	s u t 'u ɾ ə s
sutza	s 'u d z ə
sutze	s 'u d z ə
sutzes	s 'u d z ə s
sutzura	s u d z 'u ɾ ə
taba	t 'a β ə
tabac	t ə β 'a k
tabacaire	t ə β ə k 'a j ɾ ə
tabal	t ə β 'a l
tabaquer	t ə β ə k 'e
tabaquera	t ə β ə k 'e ɾ ə
tabaquisme	t ə β ə k 'i z m ə
tabard	t ə β 'a r
tabarra	t ə β 'a r ə
tabloide	t ə b b l 'ɔ j ð ə
tabola	t ə β 'ɔ l ə
tabú	t ə β 'u
tabular	t ə β u l 'a
taca	t 'a k ə
tacà	t ə k 'a
tacada	t ə k 'a ð ə
tacades	t ə k 'a ð ə s
tacany	t ə k 'a ɲ
tacar	t ə k 'a
tacarem	t ə k ə ɾ 'ɛ m
tacares	t ə k 'a ɾ ə s
tacaria	t ə k ə ɾ 'i ə
tacat	t ə k 'a t
tacats	t ə k 'a t s
tacava	t ə k 'a β ə
tàcit	t 'a s i t
tàcita	t 'a s i t ə
tàcites	t 'a s i t ə s
tàcits	t 'a s i t s
taciturn	t ə s i t 'u r n
taciturna	t ə s i t 'u r n ə
taciturnes	t ə s i t 'u r n ə s
taciturnitat	t ə s i t u r n i t 'a t
taciturns	t ə s i t 'u r n s
taco	t 'a k u
tacó	t ə k 'o
tacons	t ə k 'o n s
tacte	t 'a k t ə
tàctic	t 'a k t i k
tàctica	t 'a k t i k ə
tàctics	t 'a k t i k s
tàctil	t 'a k t i l
tàctiques	t 'a k t i k ə s
tadjik	t ə d ʒ 'i k
tafanejar	t ə f ə n ə ʒ 'a
tafaner	t ə f ə n 'e
tafaneria	t ə f ə n ə ɾ 'i ə
tafetà	t ə f ə t 'a
tafur	t ə f 'u r
tafura	t ə f 'u ɾ ə
tagarnina	t ə ɣ ə r n 'i n ə
tailandesa	t ə j l ə n d 'ɛ z ə
tailandeses	t ə j l ə n d 'ɛ z ə s
Tailàndia	t ə j l 'a n d i ə
taiwanès	t ə j β ə n 'ɛ s
taiwanés	t ə j β ə n 'e s
taiwanesa	t ə j β ə n 'ɛ z ə
taiwaneses	t ə j β ə n 'ɛ z ə s
taiwanesos	t ə j β ə n 'ɛ z u s
tal	t 'a l
tala	t 'a l ə
talada	t ə l 'a ð ə
talades	t ə l 'a ð ə s
talaia	t ə l 'a j ə
talar	t ə l 'a
talat	t ə l 'a t
talats	t ə l 'a t s
tàlem	t 'a l ə m
talent	t ə l 'e n
talentós	t ə l ə n t 'o s
talismà	t ə l i z m 'a
tall	t 'a ʎ
talla	t 'a ʎ ə
tallada	t ə ʎ 'a ð ə
tallades	t ə ʎ 'a ð ə s
tallantó	t ə ʎ ə n t 'o
tallar	t ə ʎ 'a
tallareta	t ə ʎ ə ɾ 'ɛ t ə
tallarina	t ə ʎ ə ɾ 'i n ə
tallat	t ə ʎ 'a t
tallats	t ə ʎ 'a t s
tallatubs	t ə ʎ ə t 'u p s
taller	t ə ʎ 'e
talli	t 'a ʎ i
talmúdic	t ə l m 'u ð i k
talmudista	t ə l m u ð 'i s t ə
taló	t ə l 'o
talòs	t ə l 'ɔ s
talossà	t ə l u s 'a
talossana	t ə l u s 'a n ə
talossanes	t ə l u s 'a n ə s
talossans	t ə l u s 'a n s
talp	t 'a l p
talpó	t ə l p 'o
tals	t 'a l s
Talteüll	t ə l t ə 'u ʎ
tamariu	t ə m ə ɾ 'i w
també	t ə m b 'e
tambor	t ə m b 'o
tamboret	t ə m b u ɾ 'ɛ t
tamborí	t ə m b u ɾ 'i
Tàmesi	t 'a m ə z i
tamís	t ə m 'i s
tamoxifè	t ə m u k s i f 'ɛ
tampoc	t ə m p 'ɔ k
tan	t 'a n
tanarida	t ə n ə ɾ 'i ð ə
Tànatos	t 'a n ə t u s
tanc	t 'a ŋ
tanca	t 'a ŋ k ə
tancada	t ə ŋ k 'a ð ə
tancades	t ə ŋ k 'a ð ə s
tancament	t ə ŋ k ə m 'e n
tancar	t ə ŋ k 'a
tancat	t ə ŋ k 'a t
tancats	t ə ŋ k 'a t s
tanda	t 'a n d ə
tàndem	t 'a n d ə m
tangent	t ə n ʒ 'e n
taní	t ə n 'i
Tània	t 'a n i ə
tanmateix	t ə m m ə t 'e ʃ
tànnic	t 'a n n i k
tanoca	t ə n 'ɔ k ə
tanqueta	t ə ŋ k 'ɛ t ə
tant	t 'a n
tanta	t 'a n t ə
tàntal	t 'a n t ə l
Tàntal	t 'a n t ə l
tantalitzada	t ə n t ə l i d z 'a ð ə
tantalitzades	t ə n t ə l i d z 'a ð ə s
tantalitzar	t ə n t ə l i d z 'a
tantalitzat	t ə n t ə l i d z 'a t
tantalitzats	t ə n t ə l i d z 'a t s
tants	t 'a n s
tany	t 'a ɲ
tanzà	t ə n z 'a
Tanzània	t ə n z 'a n i ə
tap	t 'a p
tapa	t 'a p ə
tapada	t ə p 'a ð ə
tapades	t ə p 'a ð ə s
tapadora	t ə p ə ð 'o ɾ ə
tapar	t ə p 'a
taparada	t ə p ə ɾ 'a ð ə
tapat	t ə p 'a t
tapats	t ə p 'a t s
tàpera	t 'a p ə ɾ ə
tapí	t ə p 'i
tàpia	t 'a p i ə
tapir	t ə p 'i
tapís	t ə p 'i s
taquem	t ə k 'ɛ m
taques	t 'a k ə s
taquigrafia	t ə k i ɣ ɾ ə f 'i ə
taquilla	t ə k 'i ʎ ə
taquiller	t ə k i ʎ 'e
taquímetre	t ə k 'i m ə t ɾ ə
taquimètric	t ə k i m 'ɛ t ɾ i k
tara	t 'a ɾ ə
tarannà	t ə ɾ ə n n 'a
taràntula	t ə ɾ 'a n t u l ə
tard	t 'a r t
targeta	t ə r ʒ 'ɛ t ə
tarifa	t ə ɾ 'i f ə
tarima	t ə ɾ 'i m ə
tarimes	t ə ɾ 'i m ə s
tarja	t 'a r ʒ ə
tarongerar	t ə ɾ u n ʒ ə ɾ 'a
tarongina	t ə ɾ u n ʒ 'i n ə
taronja	t ə ɾ 'ɔ n ʒ ə
taronjada	t ə ɾ u n ʒ 'a ð ə
taronjar	t ə ɾ u n ʒ 'a
tarpó	t ə r p 'o
tarquim	t ə r k 'i m
Tàrraco	t 'a r ə k u
Tarragona	t ə r ə ɣ 'o n ə
tàrrec	t 'a r ə k
tarró	t ə r 'o
tartà	t ə r t 'a
tartana	t ə r t 'a n ə
tàrtar	t 'a r t ə r
Tàrtar	t 'a r t ə r
tartera	t ə r t 'e ɾ ə
tasca	t 'a s k ə
tascó	t ə s k 'o
Tasmània	t ə z m 'a n i ə
tasques	t 'a s k ə s
tassa	t 'a s ə
tassó	t ə s 'o
tast	t 'a s t
tastada	t ə s t 'a ð ə
tastades	t ə s t 'a ð ə s
tastar	t ə s t 'a
tastaria	t ə s t ə ɾ 'i ə
tastat	t ə s t 'a t
tastats	t ə s t 'a t s
tastet	t ə s t 'ɛ t
tatuada	t ə t u 'a ð ə
tatuades	t ə t u 'a ð ə s
tatuar	t ə t u 'a
tatuat	t ə t u 'a t
tatuatge	t ə t u 'a d ʒ ə
tatuats	t ə t u 'a t s
tatxa	t 'a t ʃ ə
tatxes	t 'a t ʃ ə s
tatxonar	t ə t ʃ u n 'a
tau	t 'a w
taujà	t ə w ʒ 'a
taula	t 'a w l ə
taulada	t ə w l 'a ð ə
taulades	t ə w l 'a ð ə s
taular	t ə w l 'a
tauler	t ə w l 'e
tauló	t ə w l 'o
tauó	t ə w 'o
taurí	t ə w ɾ 'i
tauró	t ə w ɾ 'o
tauròmac	t ə w ɾ 'ɔ m ə k
tauromàquia	t ə w ɾ u m 'a k i ə
tauromàquic	t ə w ɾ u m 'a k i k
taüt	t ə 'u t
tàvec	t 'a β ə k
tàvega	t 'a β ə ɣ ə
taverna	t ə β 'ɛ r n ə
taxa	t 'a k s ə
taxi	t 'a k s i
taxidermista	t ə k s i ð ə r m 'i s t ə
taxímetre	t ə k s 'i m ə t ɾ ə
taxista	t ə k s 'i s t ə
tàxon	t 'a k s u n
taxonomia	t ə k s u n u m 'i ə
taxonòmic	t ə k s u n 'ɔ m i k
taxonòmica	t ə k s u n 'ɔ m i k ə
taxonòmics	t ə k s u n 'ɔ m i k s
taxonòmiques	t ə k s u n 'ɔ m i k ə s
te	t 'ə
té	t 'e
teatre	t e 'a t ɾ ə
tebà	t ə β 'a
tebana	t ə β 'a n ə
tebanes	t ə β 'a n ə s
tebi	t 'ɛ β i
tèbia	t 'ɛ β i ə
tebis	t 'ɛ β i s
teca	t 'ɛ k ə
tecla	t 'e k l ə
teclat	t ə k l 'a t
teclejar	t ə k l ə ʒ 'a
tecles	t 'e k l ə s
tectònic	t ə k t 'ɔ n i k
tediós	t ə ð i 'o s
teia	t 'ɛ j ə
teisme	t ə 'i z m ə
teix	t 'e ʃ
teixeda	t ə ʃ 'ɛ ð ə
teixidor	t ə ʃ i ð 'o
teixir	t ə ʃ 'i
teixó	t ə ʃ 'o
tel	t 'ɛ l
tela	t 'ɛ l ə
telèfon	t ə l 'ɛ f u n
telefonada	t ə l ə f u n 'a ð ə
telefonades	t ə l ə f u n 'a ð ə s
telefonar	t ə l ə f u n 'a
telefonat	t ə l ə f u n 'a t
telefonats	t ə l ə f u n 'a t s
telefonia	t ə l ə f u n 'i ə
telefònic	t ə l ə f 'ɔ n i k
telefònica	t ə l ə f 'ɔ n i k ə
telefònics	t ə l ə f 'ɔ n i k s
telefòniques	t ə l ə f 'ɔ n i k ə s
telèfons	t ə l 'ɛ f u n s
telègraf	t ə l 'ɛ ɣ ɾ ə f
telegrafiada	t ə l ə ɣ ɾ ə f i 'a ð ə
telegrafiades	t ə l ə ɣ ɾ ə f i 'a ð ə s
telegrafiar	t ə l ə ɣ ɾ ə f i 'a
telegrafiat	t ə l ə ɣ ɾ ə f i 'a t
telegrafiats	t ə l ə ɣ ɾ ə f i 'a t s
telegràfic	t ə l ə ɣ ɾ 'a f i k
telegràfica	t ə l ə ɣ ɾ 'a f i k ə
telegràfics	t ə l ə ɣ ɾ 'a f i k s
telegràfiques	t ə l ə ɣ ɾ 'a f i k ə s
telegrama	t ə l ə ɣ ɾ 'a m ə
telemàtica	t ə l ə m 'a t i k ə
telepàtic	t ə l ə p 'a t i k
telepàtica	t ə l ə p 'a t i k ə
telepàtics	t ə l ə p 'a t i k s
telepàtiques	t ə l ə p 'a t i k ə s
teler	t ə l 'e
teleria	t ə l ə ɾ 'i ə
teles	t 'ɛ l ə s
telescopi	t ə l ə s k 'ɔ p i
telescòpic	t ə l ə s k 'ɔ p i k
telescòpica	t ə l ə s k 'ɔ p i k ə
telescòpics	t ə l ə s k 'ɔ p i k s
telescòpiques	t ə l ə s k 'ɔ p i k ə s
televisar	t ə l ə β i z 'a
televisió	t ə l ə β i z i 'o
televisiu	t ə l ə β i z 'i w
televisor	t ə l ə β i z 'o
tellerina	t ə ʎ ə ɾ 'i n ə
tellina	t ə ʎ 'i n ə
teló	t ə l 'o
teloner	t ə l u n 'e
tem	t 'e m
tema	t 'e m ə
temàtic	t ə m 'a t i k
temàtica	t ə m 'a t i k ə
temàtics	t ə m 'a t i k s
temàtiques	t ə m 'a t i k ə s
temen	t 'e m ə n
témer	t 'e m ə
temerari	t ə m ə ɾ 'a ɾ i
temerària	t ə m ə ɾ 'a ɾ i ə
temeràries	t ə m ə ɾ 'a ɾ i ə s
temeraris	t ə m ə ɾ 'a ɾ i s
temeritat	t ə m ə ɾ i t 'a t
temes	t 'e m ə s
temi	t 'ɛ m i
temin	t 'ɛ m i n
temis	t 'ɛ m i s
temo	t 'e m u
temor	t ə m 'o r
temperada	t ə m p ə ɾ 'a ð ə
temperades	t ə m p ə ɾ 'a ð ə s
temperament	t ə m p ə ɾ ə m 'e n
temperància	t ə m p ə ɾ 'a n s i ə
temperar	t ə m p ə ɾ 'a
temperat	t ə m p ə ɾ 'a t
temperats	t ə m p ə ɾ 'a t s
temperatura	t ə m p ə ɾ ə t 'u ɾ ə
tempesta	t ə m p 'e s t ə
tempestat	t ə m p ə s t 'a t
templa	t 'e m p l ə
temple	t 'e m p l ə
temples	t 'e m p l ə s
tempo	t 'ɛ m p u
temporada	t ə m p u ɾ 'a ð ə
temporal	t ə m p u ɾ 'a l
temporani	t ə m p u ɾ 'a n i
temporer	t ə m p u ɾ 'e
tempra	t 'ɛ m p ɾ ə
temprança	t ə m p ɾ 'a n s ə
temprar	t ə m p ɾ 'a
tempren	t 'ɛ m p ɾ ə n
tempres	t 'ɛ m p ɾ ə s
tempri	t 'ɛ m p ɾ i
temprin	t 'ɛ m p ɾ i n
tempris	t 'ɛ m p ɾ i s
tempro	t 'ɛ m p ɾ u
temps	t 'e m s
temptació	t ə m t ə s i 'o
temptada	t ə m t 'a ð ə
temptades	t ə m t 'a ð ə s
temptar	t ə m t 'a
temptat	t ə m t 'a t
temptats	t ə m t 'a t s
tempteig	t ə m t 'ɛ t ʃ
temuda	t ə m 'u ð ə
temudes	t ə m 'u ð ə s
temut	t ə m 'u t
temuts	t ə m 'u t s
ten	t 'ɛ n
tén	t 'e n
tenaç	t ə n 'a s
tenaces	t ə n 'a s ə s
tenacitat	t ə n ə s i t 'a t
tenaços	t ə n 'a s u s
tenc	t 'ɛ ŋ
tenca	t 'ɛ ŋ k ə
tenda	t 'e n d ə
tendal	t ə n d 'a l
tendals	t ə n d 'a l s
tendència	t ə n d 'ɛ n s i ə
tendenciós	t ə n d ə n s i 'o s
tendenciosa	t ə n d ə n s i 'o z ə
tendencioses	t ə n d ə n s i 'o z ə s
tendenciosos	t ə n d ə n s i 'o z u s
tendes	t 'e n d ə s
tendida	t ə n d 'i ð ə
tendides	t ə n d 'i ð ə s
tendir	t ə n d 'i
tendit	t ə n d 'i t
tendits	t ə n d 'i t s
tendó	t ə n d 'o
tendra	t 'ɛ n d ɾ ə
tendre	t 'ɛ n d ɾ ə
tendres	t 'ɛ n d ɾ ə s
tenebra	t ə n 'e β ɾ ə
tenebres	t ə n 'e β ɾ ə s
tenebrós	t ə n ə β ɾ 'o s
tenebrosa	t ə n ə β ɾ 'o z ə
tenebroses	t ə n ə β ɾ 'o z ə s
tenebrosos	t ə n ə β ɾ 'o z u s
tenen	t 'e n ə n
tenia	t ə n 'i ə
tènia	t 'ɛ n i ə
tenir	t ə n 'i
tenis	t 'ɛ n i s
teniu	t ə n 'i w
tennis	t 'ɛ n n i s
tennista	t ə n n 'i s t ə
tenor	t ə n 'o r
tenques	t 'ɛ ŋ k ə s
tens	t 'e n s
tensa	t 'ɛ n s ə
tenses	t 'ɛ n s ə s
tensió	t ə n s i 'o
tensos	t 'ɛ n s u s
tentacle	t ə n t 'a k l ə
tentines	t ə n t 'i n ə s
téntol	t 'e n t u l
tènue	t 'ɛ n u ə
tenyir	t ə ɲ 'i
teocràcia	t ə u k ɾ 'a s i ə
teologia	t ə u l u ʒ 'i ə
teològic	t ə u l 'ɔ ʒ i k
teològica	t ə u l 'ɔ ʒ i k ə
teològics	t ə u l 'ɔ ʒ i k s
teològiques	t ə u l 'ɔ ʒ i k ə s
teomàquia	t ə u m 'a k i ə
teorema	t ə u ɾ 'ɛ m ə
teques	t 'ɛ k ə s
Ter	t 'e r
teranyina	t ə ɾ ə ɲ 'i n ə
terapèutic	t ə ɾ ə p 'ɛ w t i k
teràpia	t ə ɾ 'a p i ə
teratogen	t ə ɾ ə t 'ɔ ʒ ə n
teratogènic	t ə ɾ ə t u ʒ 'ɛ n i k
teratogènica	t ə ɾ ə t u ʒ 'ɛ n i k ə
teratogènics	t ə ɾ ə t u ʒ 'ɛ n i k s
teratogèniques	t ə ɾ ə t u ʒ 'ɛ n i k ə s
terç	t 'ɛ r s
tercer	t ə r s 'e
tercera	t ə r s 'e ɾ ə
terciari	t ə r s i 'a ɾ i
terciària	t ə r s i 'a ɾ i ə
terciàries	t ə r s i 'a ɾ i ə s
terciaris	t ə r s i 'a ɾ i s
terços	t 'ɛ r s u s
terebè	t ə ɾ ə β 'ɛ
terebint	t ə ɾ ə β 'i n
Teresa	t ə ɾ 'ɛ z ə
tergiversar	t ə r ʒ i β ə r s 'a
termal	t ə r m 'a l
termals	t ə r m 'a l s
terme	t 'e r m ə
termes	t 'e r m ə s
tèrmica	t 'ɛ r m i k ə
tèrmics	t 'ɛ r m i k s
termina	t ə r m 'i n ə
terminació	t ə r m i n ə s i 'o
terminada	t ə r m i n 'a ð ə
terminades	t ə r m i n 'a ð ə s
terminal	t ə r m i n 'a l
terminar	t ə r m i n 'a
terminaràs	t ə r m i n ə ɾ 'a s
terminares	t ə r m i n 'a ɾ ə s
terminaria	t ə r m i n ə ɾ 'i ə
terminat	t ə r m i n 'a t
terminats	t ə r m i n 'a t s
terminava	t ə r m i n 'a β ə
termines	t ə r m 'i n ə s
termini	t ə r m 'i n i
terminis	t ə r m 'i n i s
termino	t ə r m 'i n u
terminologia	t ə r m i n u l u ʒ 'i ə
terminològic	t ə r m i n u l 'ɔ ʒ i k
terminològica	t ə r m i n u l 'ɔ ʒ i k ə
terminològics	t ə r m i n u l 'ɔ ʒ i k s
terminològiques	t ə r m i n u l 'ɔ ʒ i k ə s
tèrmiques	t 'ɛ r m i k ə s
tèrmit	t 'ɛ r m i t
termita	t ə r m 'i t ə
termogènesi	t ə r m u ʒ 'ɛ n ə z i
termòmetre	t ə r m 'ɔ m ə t ɾ ə
termopausa	t ə r m u p 'a w z ə
termoplàstica	t ə r m u p l 'a s t i k ə
termoplàstics	t ə r m u p l 'a s t i k s
termoplàstiques	t ə r m u p l 'a s t i k ə s
tern	t 'ɛ r n
ternal	t ə r n 'a l
terpè	t ə r p 'ɛ
terpinè	t ə r p i n 'ɛ
terra	t 'ɛ r ə
Terra	t 'ɛ r ə
Terranova	t ə r ə n 'ɔ β ə
terranova	t ə r ə n 'ɔ β ə
terraplè	t ə r ə p l 'ɛ
terrassa	t ə r 'a s ə
Terrassa	t ə r 'a s ə
terrassenc	t ə r ə s 'ɛ ŋ
terrassenca	t ə r ə s 'ɛ ŋ k ə
terrat	t ə r 'a t
terrè	t ə r 'ɛ
terregada	t ə r ə ɣ 'a ð ə
terrejar	t ə r ə ʒ 'a
terrenal	t ə r ə n 'a l
terreny	t ə r 'ɛ ɲ
terres	t 'ɛ r ə s
terrestre	t ə r 'e s t ɾ ə
terrestres	t ə r 'e s t ɾ ə s
terrible	t ə r 'i b b l ə
terrícola	t ə r 'i k u l ə
terrissa	t ə r 'i s ə
terrissaire	t ə r i s 'a j ɾ ə
territ	t ə r 'i t
territori	t ə r i t 'ɔ ɾ i
terror	t ə r 'o r
terrorisme	t ə r u ɾ 'i z m ə
terrorista	t ə r u ɾ 'i s t ə
terroritzada	t ə r u ɾ i d z 'a ð ə
terroritzades	t ə r u ɾ i d z 'a ð ə s
terroritzar	t ə r u ɾ i d z 'a
terroritzat	t ə r u ɾ i d z 'a t
terroritzats	t ə r u ɾ i d z 'a t s
terroritzo	t ə r u ɾ 'i d z u
terròs	t ə r 'ɔ s
terrós	t ə r 'o s
tertulià	t ə r t u l i 'a
tertúlia	t ə r t 'u l i ə
tesa	t 'ɛ z ə
Tesà	t ə z 'a
tesada	t ə z 'a ð ə
tesades	t ə z 'a ð ə s
tesar	t ə z 'a
tesat	t ə z 'a t
tesats	t ə z 'a t s
tesen	t 'ɛ z ə n
teses	t 'ɛ z ə s
Teseu	t ə z 'ɛ w
tesi	t 'ɛ z i
tesin	t 'ɛ z i n
tesis	t 'ɛ z i s
teso	t 'ɛ z u
tesos	t 'ɛ z u s
Tessàlia	t ə s 'a l i ə
test	t 'e s t
testa	t 'e s t ə
testament	t ə s t ə m 'e n
testejar	t ə s t ə ʒ 'a
testicle	t ə s t 'i k l ə
testicular	t ə s t i k u l 'a r
testiculars	t ə s t i k u l 'a r s
testificar	t ə s t i f i k 'a
testimoni	t ə s t i m 'ɔ n i
testimoniar	t ə s t i m u n i 'a
testimoniatge	t ə s t i m u n i 'a d ʒ ə
testó	t ə s t 'o
testos	t 'e s t u s
tètan	t 'ɛ t ə n
tètanus	t 'ɛ t ə n u s
tètol	t 'ɛ t u l
tetolet	t ə t u l 'ɛ t
tetràgon	t ə t ɾ 'a ɣ u n
tetràgona	t ə t ɾ 'a ɣ u n ə
tetragonal	t ə t ɾ ə ɣ u n 'a l
tetràgones	t ə t ɾ 'a ɣ u n ə s
tetràgons	t ə t ɾ 'a ɣ u n s
tètric	t 'ɛ t ɾ i k
teu	t 'e w
teula	t 'ɛ w l ə
teulada	t ə w l 'a ð ə
teuladí	t ə w l ə ð 'i
teuladins	t ə w l ə ð 'i n s
teular	t ə w l 'a
teulat	t ə w l 'a t
teulats	t ə w l 'a t s
teúrgia	t ə 'u r ʒ i ə
teus	t 'e w s
teva	t 'e β ə
teves	t 'e β ə s
texà	t ə k s 'a
texana	t ə k s 'a n ə
texans	t ə k s 'a n s
Texas	t 'ɛ k s ə s
text	t 'e k s t
tèxtil	t 'ɛ k s t i l
textos	t 'e k s t u s
textual	t ə k s t u 'a l
textuals	t ə k s t u 'a l s
textura	t ə k s t 'u ɾ ə
theta	t 'ɛ t ə
thetes	t 'ɛ t ə s
tia	t 'i ə
tiastra	t i 'a s t ɾ ə
tibada	t i β 'a ð ə
tibades	t i β 'a ð ə s
tibant	t i β 'a n
tibar	t i β 'a
tibat	t i β 'a t
tibats	t i β 'a t s
Tiberi	t i β 'ɛ ɾ i
tiberi	t i β 'ɛ ɾ i
tiberí	t i β ə ɾ 'i
Tiberíades	t i β ə ɾ 'i ə ð ə s
Tibet	t i β 'ɛ t
tibetà	t i β ə t 'a
tibetana	t i β ə t 'a n ə
tíbia	t 'i β i ə
tic	t 'i k
tiet	t i 'ɛ t
tieta	t i 'ɛ t ə
tifa	t 'i f ə
tifarada	t i f ə ɾ 'a ð ə
tifó	t i f 'o
tifoide	t i f 'ɔ j ð ə
tifus	t 'i f u s
tigre	t 'i ɣ ɾ ə
tigres	t 'i ɣ ɾ ə s
tigressa	t i ɣ ɾ 'ɛ s ə
Tigris	t 'i ɣ ɾ i s
tija	t 'i ʒ ə
tim	t 'i m
timba	t 'i m b ə
timbal	t i m b 'a l
timbala	t i m b 'a l ə
timbalejar	t i m b ə l ə ʒ 'a
timbre	t 'i m b ɾ ə
tímid	t 'i m i t
tímida	t 'i m i ð ə
timiditat	t i m i ð i t 'a t
timó	t i m 'o
timoner	t i m u n 'e
timonet	t i m u n 'ɛ t
timorès	t i m u ɾ 'ɛ s
timpà	t i m p 'a
tinamú	t i n ə m 'u
tinc	t 'i ŋ
tindre	t 'i n d ɾ ə
tindré	t i n d ɾ 'e
tindria	t i n d ɾ 'i ə
tinença	t i n 'ɛ n s ə
tinent	t i n 'e n
tinta	t 'i n t ə
tinter	t i n t 'e
tintoreria	t i n t u ɾ ə ɾ 'i ə
tinya	t 'i ɲ ə
tinyes	t 'i ɲ ə s
tio	t 'i u
tió	t i 'o
tiofè	t i u f 'ɛ
tip	t 'i p
tipes	t 'i p ə s
tipi	t 'i p i
típic	t 'i p i k
típica	t 'i p i k ə
tipografia	t i p u ɣ ɾ ə f 'i ə
tipogràfic	t i p u ɣ ɾ 'a f i k
tipogràfica	t i p u ɣ ɾ 'a f i k ə
tipogràfics	t i p u ɣ ɾ 'a f i k s
tipogràfiques	t i p u ɣ ɾ 'a f i k ə s
tipus	t 'i p u s
tir	t 'i r
tira	t 'i ɾ ə
tirà	t i ɾ 'a
tirabuixó	t i ɾ ə β u ʃ 'o
tirada	t i ɾ 'a ð ə
tirades	t i ɾ 'a ð ə s
tirador	t i ɾ ə ð 'o
tirania	t i ɾ ə n 'i ə
tirànic	t i ɾ 'a n i k
tiranitzada	t i ɾ ə n i d z 'a ð ə
tiranitzades	t i ɾ ə n i d z 'a ð ə s
tiranitzar	t i ɾ ə n i d z 'a
tiranitzat	t i ɾ ə n i d z 'a t
tiranitzats	t i ɾ ə n i d z 'a t s
tirant	t i ɾ 'a n
tirapits	t i ɾ ə p 'i t s
tirar	t i ɾ 'a
tirarem	t i ɾ ə ɾ 'ɛ m
