A	'ə
carolí	k ə ɾ u l 'i
carolina	k ə ɾ u l 'i n ə
carota	k ə ɾ 'ɔ t ə
carotè	k ə ɾ u t 'ɛ
carp	k 'a r p
carpa	k 'a r p ə
carpat	k ə r p 'a t
carpes	k 'a r p ə s
carpeta	k ə r p 'ɛ t ə
carpetada	k ə r p ə t 'a ð ə
carpí	k ə r p 'i
carpià	k ə r p i 'a
carpins	k ə r p 'i n s
carps	k 'a r p s
carrancs	k ə r 'a ŋ s
carranquejar	k ə r ə ŋ k ə ʒ 'a
carrasca	k ə r 'a s k ə
carraspic	k ə r ə s p 'i k
carrat	k ə r 'a t
carrau	k ə r 'a w
càrrec	k 'a r ə k
càrrecs	k 'a r ə k s
càrrega	k 'a r ə ɣ ə
carregada	k ə r ə ɣ 'a ð ə
carregades	k ə r ə ɣ 'a ð ə s
carregar	k ə r ə ɣ 'a
carregat	k ə r ə ɣ 'a t
carregats	k ə r ə ɣ 'a t s
càrregues	k 'a r ə ɣ ə s
carrer	k ə r 'e
carrera	k ə r 'e ɾ ə
carrerany	k ə r ə ɾ 'a ɲ
carreró	k ə r ə ɾ 'o
carret	k ə r 'ɛ t
carreta	k ə r 'ɛ t ə
carretada	k ə r ə t 'a ð ə
carretades	k ə r ə t 'a ð ə s
carretejar	k ə r ə t ə ʒ 'a
carretera	k ə r ə t 'e ɾ ə
carretes	k ə r 'ɛ t ə s
carretó	k ə r ə t 'o
Carreu	k ə r 'ɛ w
carreu	k ə r 'ɛ w
carril	k ə r 'i l
carrilaire	k ə r i l 'a j ɾ ə
carrils	k ə r 'i l s
carrincló	k ə r i ŋ k l 'o
carrisquejar	k ə r i s k ə ʒ 'a
càrritx	k 'a r i t ʃ
carro	k 'a r u
carroll	k ə r 'o ʎ
carronyaire	k ə r u ɲ 'a j ɾ ə
carros	k 'a r u s
carrosseria	k ə r u s ə ɾ 'i ə
carrosseries	k ə r u s ə ɾ 'i ə s
carruatge	k ə r u 'a d ʒ ə
carruatges	k ə r u 'a d ʒ ə s
carrutxa	k ə r 'u t ʃ ə
carrutxes	k ə r 'u t ʃ ə s
cars	k 'a r s
carta	k 'a r t ə
cartaginès	k ə r t ə ʒ i n 'ɛ s
cartaginesa	k ə r t ə ʒ i n 'ɛ z ə
cartagineses	k ə r t ə ʒ i n 'ɛ z ə s
cartaginesos	k ə r t ə ʒ i n 'ɛ z u s
Cartago	k ə r t 'a ɣ u
cartell	k ə r t 'e ʎ
carter	k ə r t 'e
cartera	k ə r t 'e ɾ ə
carteria	k ə r t ə ɾ 'i ə
carterista	k ə r t ə ɾ 'i s t ə
carteristes	k ə r t ə ɾ 'i s t ə s
cartes	k 'a r t ə s
cartílag	k ə r t 'i l ə k
cartilaginós	k ə r t i l ə ʒ i n 'o s
cartilaginoses	k ə r t i l ə ʒ i n 'o z ə s
cartílags	k ə r t 'i l ə k s
cartipàs	k ə r t i p 'a s
cartó	k ə r t 'o
cartògraf	k ə r t 'ɔ ɣ ɾ ə f
cartografia	k ə r t u ɣ ɾ ə f 'i ə
cartogràfic	k ə r t u ɣ ɾ 'a f i k
cartogràfica	k ə r t u ɣ ɾ 'a f i k ə
cartogràfics	k ə r t u ɣ ɾ 'a f i k s
cartogràfiques	k ə r t u ɣ ɾ 'a f i k ə s
cartomància	k ə r t u m 'a n s i ə
cartró	k ə r t ɾ 'o
cartutx	k ə r t 'u t ʃ
cartutxos	k ə r t 'u t ʃ u s
carúncula	k ə ɾ 'u ŋ k u l ə
carunculat	k ə ɾ u ŋ k u l 'a t
carxofa	k ə r ʃ 'ɔ f ə
carxofeta	k ə r ʃ u f 'ɛ t ə
cas	k 'a s
casa	k 'a z ə
casà	k ə z 'a
casaca	k ə z 'a k ə
casada	k ə z 'a ð ə
casades	k ə z 'a ð ə s
casal	k ə z 'a l
Casal	k ə z 'a l
Casals	k ə z 'a l s
casals	k ə z 'a l s
casamata	k ə z ə m 'a t ə
casament	k ə z ə m 'e n
Casanova	k ə z ə n 'ɔ β ə
casaques	k ə z 'a k ə s
casar	k ə z 'a
casarà	k ə z ə ɾ 'a
casaràs	k ə z ə ɾ 'a s
casarem	k ə z ə ɾ 'ɛ m
casares	k ə z 'a ɾ ə s
casàreu	k ə z 'a ɾ ə w
casaria	k ə z ə ɾ 'i ə
Casas	k 'a z ə s
casat	k ə z 'a t
casats	k ə z 'a t s
casava	k ə z 'a β ə
casàvem	k ə z 'a β ə m
casàveu	k ə z 'a β ə w
casc	k 'a s k
casca	k 'a s k ə
cascada	k ə s k 'a ð ə
cascades	k ə s k 'a ð ə s
cascall	k ə s k 'a ʎ
cascalls	k ə s k 'a ʎ s
cascar	k ə s k 'a
cascat	k ə s k 'a t
cascats	k ə s k 'a t s
cascavellejar	k ə s k ə β ə ʎ ə ʒ 'a
cascos	k 'a s k u s
cascs	k 'a s k s
cascú	k ə s k 'u
casella	k ə z 'e ʎ ə
casem	k ə z 'ɛ m
caseós	k ə z ə 'o s
caserna	k ə z 'ɛ r n ə
casernari	k ə z ə r n 'a ɾ i
casernària	k ə z ə r n 'a ɾ i ə
cases	k 'a z ə s
Cases	k 'a z ə s
caseta	k ə z 'ɛ t ə
casi	k 'a z i
casí	k ə z 'i
caso	k 'a z u
casolà	k ə z u l 'a
casori	k ə z 'ɔ ɾ i
casos	k 'a z u s
caspa	k 'a s p ə
caspes	k 'a s p ə s
caspi	k 'a s p i
casquet	k ə s k 'ɛ t
casqueta	k ə s k 'ɛ t ə
cassa	k 'a s ə
casserolada	k ə s ə ɾ u l 'a ð ə
casset	k ə s 'ɛ t
cassigall	k ə s i ɣ 'a ʎ
cassó	k ə s 'o
cassola	k ə s 'ɔ l ə
cassolada	k ə s u l 'a ð ə
cassolades	k ə s u l 'a ð ə s
cassolet	k ə s u l 'ɛ t
cassoleta	k ə s u l 'ɛ t ə
cast	k 'a s t
casta	k 'a s t ə
castany	k ə s t 'a ɲ
castanya	k ə s t 'a ɲ ə
castanyada	k ə s t ə ɲ 'a ð ə
castanyades	k ə s t ə ɲ 'a ð ə s
castanyeda	k ə s t ə ɲ 'ɛ ð ə
castanyer	k ə s t ə ɲ 'e
castanyereda	k ə s t ə ɲ ə ɾ 'ɛ ð ə
castanyes	k ə s t 'a ɲ ə s
castanyeta	k ə s t ə ɲ 'ɛ t ə
castanyola	k ə s t ə ɲ 'ɔ l ə
castanyoleta	k ə s t ə ɲ u l 'ɛ t ə
castedat	k ə s t ə ð 'a t
castell	k ə s t 'e ʎ
castellà	k ə s t ə ʎ 'a
castellana	k ə s t ə ʎ 'a n ə
castellanes	k ə s t ə ʎ 'a n ə s
castellanisme	k ə s t ə ʎ ə n 'i z m ə
castellanitzar	k ə s t ə ʎ ə n i d z 'a
castellans	k ə s t ə ʎ 'a n s
casteller	k ə s t ə ʎ 'e
Castelló	k ə s t ə ʎ 'o
castes	k 'a s t ə s
càstig	k 'a s t i k
castigada	k ə s t i ɣ 'a ð ə
castigades	k ə s t i ɣ 'a ð ə s
castigar	k ə s t i ɣ 'a
castigat	k ə s t i ɣ 'a t
castigats	k ə s t i ɣ 'a t s
càstigs	k 'a s t i k s
castor	k ə s t 'o
castos	k 'a s t u s
castrada	k ə s t ɾ 'a ð ə
castrades	k ə s t ɾ 'a ð ə s
castrar	k ə s t ɾ 'a
castrat	k ə s t ɾ 'a t
castrats	k ə s t ɾ 'a t s
casts	k 'a s t s
casual	k ə z u 'a l
casuari	k ə z u 'a ɾ i
casuístic	k ə z u 'i s t i k
casuística	k ə z u 'i s t i k ə
casulla	k ə z 'u ʎ ə
cataclisme	k ə t ə k l 'i z m ə
cataclismes	k ə t ə k l 'i z m ə s
català	k ə t ə l 'a
catalana	k ə t ə l 'a n ə
catalanada	k ə t ə l ə n 'a ð ə
catalanades	k ə t ə l ə n 'a ð ə s
catalanes	k ə t ə l 'a n ə s
catalanisme	k ə t ə l ə n 'i z m ə
catalanismes	k ə t ə l ə n 'i z m ə s
catalanista	k ə t ə l ə n 'i s t ə
catalanitat	k ə t ə l ə n i t 'a t
catalanitats	k ə t ə l ə n i t 'a t s
catalanitzada	k ə t ə l ə n i d z 'a ð ə
catalanitzades	k ə t ə l ə n i d z 'a ð ə s
catalanitzar	k ə t ə l ə n i d z 'a
catalanitzat	k ə t ə l ə n i d z 'a t
catalanitzats	k ə t ə l ə n i d z 'a t s
catalanòfil	k ə t ə l ə n 'ɔ f i l
catalans	k ə t ə l 'a n s
catàleg	k ə t 'a l ə k
catàlegs	k ə t 'a l ə k s
catàlisi	k ə t 'a l i z i
catalític	k ə t ə l 'i t i k
catalítica	k ə t ə l 'i t i k ə
catalítics	k ə t ə l 'i t i k s
catalítiques	k ə t ə l 'i t i k ə s
catalitzada	k ə t ə l i d z 'a ð ə
catalitzades	k ə t ə l i d z 'a ð ə s
catalitzat	k ə t ə l i d z 'a t
catalitzats	k ə t ə l i d z 'a t s
catalogació	k ə t ə l u ɣ ə s i 'o
catalogada	k ə t ə l u ɣ 'a ð ə
catalogades	k ə t ə l u ɣ 'a ð ə s
catalogar	k ə t ə l u ɣ 'a
catalogat	k ə t ə l u ɣ 'a t
catalogats	k ə t ə l u ɣ 'a t s
catalogràfic	k ə t ə l u ɣ ɾ 'a f i k
catalogràfica	k ə t ə l u ɣ ɾ 'a f i k ə
catalpa	k ə t 'a l p ə
Catalunya	k ə t ə l 'u ɲ ə
catamarà	k ə t ə m ə ɾ 'a
Catània	k ə t 'a n i ə
catània	k ə t 'a n i ə
catànies	k ə t 'a n i ə s
catapulta	k ə t ə p 'u l t ə
catapultada	k ə t ə p u l t 'a ð ə
catapultades	k ə t ə p u l t 'a ð ə s
catapultar	k ə t ə p u l t 'a
catapultat	k ə t ə p u l t 'a t
catapultats	k ə t ə p u l t 'a t s
càtar	k 'a t ə r
cataracta	k ə t ə ɾ 'a k t ə
catarral	k ə t ə r 'a l
catarro	k ə t 'a r u
catàstrofe	k ə t 'a s t ɾ u f ə
catàstrofes	k ə t 'a s t ɾ u f ə s
catastròfic	k ə t ə s t ɾ 'ɔ f i k
catastròfica	k ə t ə s t ɾ 'ɔ f i k ə
catastròfics	k ə t ə s t ɾ 'ɔ f i k s
catastròfiques	k ə t ə s t ɾ 'ɔ f i k ə s
catastrofisme	k ə t ə s t ɾ u f 'i z m ə
càtedra	k 'a t ə ð ɾ ə
catedral	k ə t ə ð ɾ 'a l
catedralici	k ə t ə ð ɾ ə l 'i s i
catedrals	k ə t ə ð ɾ 'a l s
catedràtics	k ə t ə ð ɾ 'a t i k s
càtedres	k 'a t ə ð ɾ ə s
categòric	k ə t ə ɣ 'ɔ ɾ i k
categoritzacions	k ə t ə ɣ u ɾ i d z ə s i 'o n s
categoritzada	k ə t ə ɣ u ɾ i d z 'a ð ə
categoritzades	k ə t ə ɣ u ɾ i d z 'a ð ə s
categoritzat	k ə t ə ɣ u ɾ i d z 'a t
categoritzats	k ə t ə ɣ u ɾ i d z 'a t s
Caterina	k ə t ə ɾ 'i n ə
catexi	k ə t 'ɛ k s i
catifa	k ə t 'i f ə
catifes	k ə t 'i f ə s
catió	k ə t i 'o
catipén	k ə t i p 'e n
Cató	k ə t 'o
càtodes	k 'a t u ð ə s
catòlic	k ə t 'ɔ l i k
catòlica	k ə t 'ɔ l i k ə
catolicismes	k ə t u l i s 'i z m ə s
catòlics	k ə t 'ɔ l i k s
catòliques	k ə t 'ɔ l i k ə s
catorze	k ə t 'o r z ə
catúfol	k ə t 'u f u l
catxap	k ə t ʃ 'a p
catxel	k ə t ʃ 'ɛ l
cau	k 'a w
Caucas	k 'a w k ə s
caucasià	k ə w k ə z i 'a
caucasiana	k ə w k ə z i 'a n ə
caucasianes	k ə w k ə z i 'a n ə s
caucasians	k ə w k ə z i 'a n s
caucàsic	k ə w k 'a z i k
caució	k ə w s i 'o
caucionar	k ə w s i u n 'a
caule	k 'a w l ə
caure	k 'a w ɾ ə
cauri	k 'a w ɾ i
caus	k 'a w s
causa	k 'a w z ə
causà	k ə w z 'a
causada	k ə w z 'a ð ə
causades	k ə w z 'a ð ə s
causar	k ə w z 'a
causarà	k ə w z ə ɾ 'a
causaràs	k ə w z ə ɾ 'a s
causarem	k ə w z ə ɾ 'ɛ m
causàrem	k ə w z 'a ɾ ə m
causares	k ə w z 'a ɾ ə s
causàreu	k ə w z 'a ɾ ə w
causaria	k ə w z ə ɾ 'i ə
causat	k ə w z 'a t
causats	k ə w z 'a t s
causava	k ə w z 'a β ə
causàvem	k ə w z 'a β ə m
causàveu	k ə w z 'a β ə w
causem	k ə w z 'ɛ m
causes	k 'a w z ə s
causo	k 'a w z u
càustic	k 'a w s t i k
caut	k 'a w t
cautela	k ə w t 'ɛ l ə
cautelar	k ə w t ə l 'a
cautelós	k ə w t ə l 'o s
cauterització	k ə w t ə ɾ i d z ə s i 'o
cauteritzada	k ə w t ə ɾ i d z 'a ð ə
cauteritzades	k ə w t ə ɾ i d z 'a ð ə s
cauteritzar	k ə w t ə ɾ i d z 'a
cauteritzat	k ə w t ə ɾ i d z 'a t
cauteritzats	k ə w t ə ɾ i d z 'a t s
cauts	k 'a w t s
cautxú	k ə w t ʃ 'u
cava	k 'a β ə
cavada	k ə β 'a ð ə
cavades	k ə β 'a ð ə s
cavalcada	k ə β ə l k 'a ð ə
cavalcades	k ə β ə l k 'a ð ə s
cavalcar	k ə β ə l k 'a
cavalcat	k ə β ə l k 'a t
cavalcats	k ə β ə l k 'a t s
cavall	k ə β 'a ʎ
cavalla	k ə β 'a ʎ ə
cavaller	k ə β ə ʎ 'e
cavalleria	k ə β ə ʎ ə ɾ 'i ə
cavalleries	k ə β ə ʎ ə ɾ 'i ə s
cavalles	k ə β 'a ʎ ə s
cavallet	k ə β ə ʎ 'ɛ t
cavalló	k ə β ə ʎ 'o
cavalls	k ə β 'a ʎ s
cavar	k ə β 'a
cavat	k ə β 'a t
cavats	k ə β 'a t s
càvec	k 'a β ə k
cavernícola	k ə β ə r n 'i k u l ə
cavi	k 'a β i
caviar	k ə β i 'a r
cavilat	k ə β i l 'a t
cavitat	k ə β i t 'a t
cavitats	k ə β i t 'a t s
cavo	k 'a β u
ce	s 'e
ceba	s 'ɛ β ə
cec	s 'e k
cecal	s ə k 'a l
cecidi	s ə s 'i ð i
Cecili	s ə s 'i l i
Cecília	s ə s 'i l i ə
cecs	s 'e k s
cedia	s ə ð 'i ə
cedida	s ə ð 'i ð ə
cedides	s ə ð 'i ð ə s
cedir	s ə ð 'i
cedit	s ə ð 'i t
cedits	s ə ð 'i t s
cedre	s 'ɛ ð ɾ ə
cedres	s 'ɛ ð ɾ ə s
cèdula	s 'ɛ ð u l ə
cèdules	s 'ɛ ð u l ə s
cefàlic	s ə f 'a l i k
cefàlica	s ə f 'a l i k ə
cefàlics	s ə f 'a l i k s
cefàliques	s ə f 'a l i k ə s
cega	s 'e ɣ ə
cegar	s ə ɣ 'a
cegard	s ə ɣ 'a r
cego	s 'ɛ ɣ u
ceguen	s 'ɛ ɣ ə n
cegues	s 'e ɣ ə s
ceguesa	s ə ɣ 'ɛ z ə
cegui	s 'ɛ ɣ i
ceguin	s 'ɛ ɣ i n
ceguis	s 'ɛ ɣ i s
Ceilan	s ə j l 'a n
ceilòmetre	s ə j l 'ɔ m ə t ɾ ə
ceilòmetres	s ə j l 'ɔ m ə t ɾ ə s
cel	s 'ɛ l
celada	s ə l 'a ð ə
celebració	s ə l ə β ɾ ə s i 'o
celebracions	s ə l ə β ɾ ə s i 'o n s
celebrada	s ə l ə β ɾ 'a ð ə
celebrades	s ə l ə β ɾ 'a ð ə s
celebrar	s ə l ə β ɾ 'a
celebrat	s ə l ə β ɾ 'a t
celebrats	s ə l ə β ɾ 'a t s
cèlebre	s 'ɛ l ə β ɾ ə
celebritat	s ə l ə β ɾ i t 'a t
celebritats	s ə l ə β ɾ i t 'a t s
celeritat	s ə l ə ɾ i t 'a t
celeste	s ə l 'ɛ s t ə
celiandre	s ə l i 'a n d ɾ ə
celidònia	s ə l i ð 'ɔ n i ə
cella	s 'ɛ ʎ ə
celles	s 'ɛ ʎ ə s
celluda	s ə ʎ 'u ð ə
celludes	s ə ʎ 'u ð ə s
cellut	s ə ʎ 'u t
celluts	s ə ʎ 'u t s
celobert	s ə l u β 'ɛ r t
celta	s 'ɛ l t ə
celtes	s 'ɛ l t ə s
celtibèric	s ə l t i β 'ɛ ɾ i k
cèltic	s 'ɛ l t i k
cèltica	s 'ɛ l t i k ə
cèltics	s 'ɛ l t i k s
cèltiques	s 'ɛ l t i k ə s
cementeri	s ə m ə n t 'ɛ ɾ i
cementeris	s ə m ə n t 'ɛ ɾ i s
cementiri	s ə m ə n t 'i ɾ i
cementiris	s ə m ə n t 'i ɾ i s
cena	s 'ɛ n ə
cendra	s 'ɛ n d ɾ ə
cendrer	s ə n d ɾ 'e
cendres	s 'ɛ n d ɾ ə s
cenobi	s ə n 'ɔ β i
cenobita	s ə n u β 'i t ə
cenotafi	s ə n u t 'a f i
cens	s 'ɛ n s
censor	s ə n s 'o
censos	s 'ɛ n s u s
censura	s ə n s 'u ɾ ə
censurada	s ə n s u ɾ 'a ð ə
censurades	s ə n s u ɾ 'a ð ə s
censurar	s ə n s u ɾ 'a
censurarem	s ə n s u ɾ ə ɾ 'ɛ m
censurares	s ə n s u ɾ 'a ɾ ə s
censuraria	s ə n s u ɾ ə ɾ 'i ə
censurat	s ə n s u ɾ 'a t
censurats	s ə n s u ɾ 'a t s
censurava	s ə n s u ɾ 'a β ə
censurem	s ə n s u ɾ 'ɛ m
censures	s ə n s 'u ɾ ə s
censuri	s ə n s 'u ɾ i
censuris	s ə n s 'u ɾ i s
censuro	s ə n s 'u ɾ u
centau	s ə n t 'a w
centaure	s ə n t 'a w ɾ ə
centaus	s ə n t 'a w s
centè	s ə n t 'ɛ
centé	s ə n t 'e
centenar	s ə n t ə n 'a
centenari	s ə n t ə n 'a ɾ i
centenària	s ə n t ə n 'a ɾ i ə
centenàries	s ə n t ə n 'a ɾ i ə s
centenaris	s ə n t ə n 'a ɾ i s
centenni	s ə n t 'ɛ n n i
centèsim	s ə n t 'ɛ z i m
cèntim	s 'ɛ n t i m
centímetre	s ə n t 'i m ə t ɾ ə
centímetres	s ə n t 'i m ə t ɾ ə s
cèntims	s 'ɛ n t i m s
centra	s 'e n t ɾ ə
centrada	s ə n t ɾ 'a ð ə
centrades	s ə n t ɾ 'a ð ə s
central	s ə n t ɾ 'a l
centralisme	s ə n t ɾ ə l 'i z m ə
centralismes	s ə n t ɾ ə l 'i z m ə s
centralitat	s ə n t ɾ ə l i t 'a t
centralitats	s ə n t ɾ ə l i t 'a t s
centralització	s ə n t ɾ ə l i d z ə s i 'o
centralitzacions	s ə n t ɾ ə l i d z ə s i 'o n s
centralitzada	s ə n t ɾ ə l i d z 'a ð ə
centralitzades	s ə n t ɾ ə l i d z 'a ð ə s
centralitzat	s ə n t ɾ ə l i d z 'a t
centralitzats	s ə n t ɾ ə l i d z 'a t s
centrals	s ə n t ɾ 'a l s
centrar	s ə n t ɾ 'a
centrat	s ə n t ɾ 'a t
centrats	s ə n t ɾ 'a t s
centre	s 'e n t ɾ ə
centren	s 'e n t ɾ ə n
centres	s 'e n t ɾ ə s
centri	s 'e n t ɾ i
cèntrica	s 'ɛ n t ɾ i k ə
cèntrics	s 'ɛ n t ɾ i k s
centrin	s 'e n t ɾ i n
cèntriques	s 'ɛ n t ɾ i k ə s
centrisme	s ə n t ɾ 'i z m ə
centrismes	s ə n t ɾ 'i z m ə s
centristes	s ə n t ɾ 'i s t ə s
centro	s 'e n t ɾ u
centúria	s ə n t 'u ɾ i ə
centurió	s ə n t u ɾ i 'o
cenyida	s ə ɲ 'i ð ə
cenyides	s ə ɲ 'i ð ə s
cenyir	s ə ɲ 'i
cenyit	s ə ɲ 'i t
cenyits	s ə ɲ 'i t s
cep	s 'ɛ p
ceptre	s 'e p t ɾ ə
cera	s 'ɛ ɾ ə
ceràmic	s ə ɾ 'a m i k
ceràmica	s ə ɾ 'a m i k ə
ceràmiques	s ə ɾ 'a m i k ə s
ceramista	s ə ɾ ə m 'i s t ə
ceramistes	s ə ɾ ə m 'i s t ə s
cerç	s 'ɛ r s
cerca	s 'ɛ r k ə
cercà	s ə r k 'a
cercada	s ə r k 'a ð ə
cercades	s ə r k 'a ð ə s
cercametalls	s ə r k ə m ə t 'a ʎ s
cercapromeses	s ə r k ə p ɾ u m 'ɛ z ə s
cercar	s ə r k 'a
cercarà	s ə r k ə ɾ 'a
cercaràs	s ə r k ə ɾ 'a s
cercarem	s ə r k ə ɾ 'ɛ m
cercàrem	s ə r k 'a ɾ ə m
cercares	s ə r k 'a ɾ ə s
cercaria	s ə r k ə ɾ 'i ə
cercat	s ə r k 'a t
cercatresors	s ə r k ə t ɾ ə z 'o s
cercats	s ə r k 'a t s
cercava	s ə r k 'a β ə
cercle	s 'e r k l ə
cercles	s 'e r k l ə s
cerco	s 'ɛ r k u
cèrcol	s 'ɛ r k u l
cèrcols	s 'ɛ r k u l s
cercopitec	s ə r k u p i t 'ɛ k
cereal	s ə ɾ e 'a l
cerebel	s ə ɾ ə β 'ɛ l
cerebral	s ə ɾ ə β ɾ 'a l
cerebrals	s ə ɾ ə β ɾ 'a l s
cerebroespinal	s ə ɾ ə β ɾ u ə s p i n 'a l
Ceret	s ə ɾ 'ɛ t
cereta	s ə ɾ 'ɛ t ə
ceretà	s ə ɾ ə t 'a
cerfull	s ə r f 'u ʎ
ceri	s 'ɛ ɾ i
cèria	s 'ɛ ɾ i ə
cèries	s 'ɛ ɾ i ə s
cerimònia	s ə ɾ i m 'ɔ n i ə
cerimonial	s ə ɾ i m u n i 'a l
cerimoniós	s ə ɾ i m u n i 'o s
ceris	s 'ɛ ɾ i s
cerndran	s ə r n d ɾ 'a n
cerndre	s 'ɛ r n d ɾ ə
cernen	s 'ɛ r n ə n
cerni	s 'ɛ r n i
cernin	s 'ɛ r n i n
cernis	s 'ɛ r n i s
cerno	s 'ɛ r n u
cernuda	s ə r n 'u ð ə
cernudes	s ə r n 'u ð ə s
cernut	s ə r n 'u t
cernuts	s ə r n 'u t s
cerquem	s ə r k 'ɛ m
cerquen	s 'ɛ r k ə n
cerques	s 'ɛ r k ə s
cerqui	s 'ɛ r k i
cerquin	s 'ɛ r k i n
cerquis	s 'ɛ r k i s
cerra	s 'ɛ r ə
cerro	s 'ɛ r u
cert	s 'ɛ r t
certa	s 'ɛ r t ə
certamen	s ə r t 'a m ə n
certàmens	s ə r t 'a m ə n s
certes	s 'ɛ r t ə s
certificació	s ə r t i f i k ə s i 'o
certificacions	s ə r t i f i k ə s i 'o n s
certificada	s ə r t i f i k 'a ð ə
certificades	s ə r t i f i k 'a ð ə s
certificat	s ə r t i f i k 'a t
certificats	s ə r t i f i k 'a t s
cerumen	s ə ɾ 'u m ə n
ces	s 'ɛ s
Cèsar	s 'ɛ z ə r
cesari	s ə z 'a ɾ i
cesària	s ə z 'a ɾ i ə
cesàries	s ə z 'a ɾ i ə s
Cesc	s 'ɛ s k
cesi	s 'ɛ z i
cessa	s 'e s ə
cessació	s ə s ə s i 'o
cessacions	s ə s ə s i 'o n s
cessada	s ə s 'a ð ə
cessades	s ə s 'a ð ə s
cessament	s ə s ə m 'e n
cessar	s ə s 'a
cessat	s ə s 'a t
cessats	s ə s 'a t s
cessen	s 'e s ə n
cesses	s 'ɛ s ə s
cessi	s 'e s i
cessin	s 'e s i n
cessió	s ə s i 'o
cessions	s ə s i 'o n s
cesso	s 'ɛ s u
cèstrum	s 'ɛ s t ɾ u m
cesura	s ə z 'u ɾ ə
cesures	s ə z 'u ɾ ə s
cetè	s ə t 'ɛ
cian	s i 'a n
cianobacteri	s i ə n u β ə k t 'ɛ ɾ i
cianogen	s i ə n 'ɔ ʒ ə n
cianur	s i ə n 'u r
ciàtic	s i 'a t i k
ciàtica	s i 'a t i k ə
ciàtics	s i 'a t i k s
ciàtiques	s i 'a t i k ə s
ciberatac	s i β ə ɾ ə t 'a k
cibercafè	s i β ə r k ə f 'ɛ
cibercafé	s i β ə r k ə f 'e
ciberespai	s i β ə ɾ ə s p 'a j
ciberespais	s i β ə ɾ ə s p 'a j s
cibernauta	s i β ə r n 'a w t ə
ciberpunk	s i β ə r p 'u ŋ k
ciberseguretat	s i β ə r s ə ɣ u ɾ ə t 'a t
cibersexe	s i β ə r s 'ɛ k s ə
cibulet	s i β u l 'ɛ t
cicatriu	s i k ə t ɾ 'i w
cicatrius	s i k ə t ɾ 'i w s
Cíclades	s 'i k l ə ð ə s
ciclamen	s i k l 'a m ə n
cicle	s 'i k l ə
cicles	s 'i k l ə s
cíclic	s 'i k l i k
cíclica	s 'i k l i k ə
cíclics	s 'i k l i k s
cícliques	s 'i k l i k ə s
ciclismes	s i k l 'i z m ə s
ciclista	s i k l 'i s t ə
ciclistes	s i k l 'i s t ə s
cicló	s i k l 'o
cicloalquè	s i k l u ə l k 'ɛ
ciclomotor	s i k l u m u t 'o r
cicuta	s i k 'u t ə
cicutes	s i k 'u t ə s
ciència	s i 'ɛ n s i ə
ciències	s i 'ɛ n s i ə s
científica	s i ə n t 'i f i k ə
cigala	s i ɣ 'a l ə
cigaló	s i ɣ ə l 'o
cigar	s i ɣ 'a r
cigarret	s i ɣ ə r 'ɛ t
cigarreta	s i ɣ ə r 'ɛ t ə
cigarro	s i ɣ 'a r u
cigonyal	s i ɣ u ɲ 'a l
cigró	s i ɣ ɾ 'o
cilici	s i l 'i s i
Cilícia	s i l 'i s i ə
cilicis	s i l 'i s i s
cilindrada	s i l i n d ɾ 'a ð ə
cilindrades	s i l i n d ɾ 'a ð ə s
cilindrar	s i l i n d ɾ 'a
cilindrat	s i l i n d ɾ 'a t
cilindrats	s i l i n d ɾ 'a t s
cilindre	s i l 'i n d ɾ ə
cilindres	s i l 'i n d ɾ ə s
cilíndrica	s i l 'i n d ɾ i k ə
cilindro	s i l 'i n d ɾ u
cim	s 'i m
cima	s 'i m ə
címbal	s 'i m b ə l
cimè	s i m 'ɛ
ciment	s i m 'e n
cimera	s i m 'e ɾ ə
cimes	s 'i m ə s
cims	s 'i m s
cinabri	s i n 'a β ɾ i
cínamom	s 'i n ə m u m
cinc	s 'i ŋ
cincs	s 'i ŋ s
cine	s 'i n ə
cinèfil	s i n 'ɛ f i l
cinèfils	s i n 'ɛ f i l s
cinegètic	s i n ə ʒ 'ɛ t i k
cinegètica	s i n ə ʒ 'ɛ t i k ə
cinema	s i n 'ɛ m ə
cinemàtic	s i n ə m 'a t i k
cinemàtics	s i n ə m 'a t i k s
cinematogràfic	s i n ə m ə t u ɣ ɾ 'a f i k
cinematogràfica	s i n ə m ə t u ɣ ɾ 'a f i k ə
cinematogràfics	s i n ə m ə t u ɣ ɾ 'a f i k s
cinematogràfiques	s i n ə m ə t u ɣ ɾ 'a f i k ə s
cinerària	s i n ə ɾ 'a ɾ i ə
cínic	s 'i n i k
cínica	s 'i n i k ə
cínics	s 'i n i k s
cíniques	s 'i n i k ə s
cinisme	s i n 'i z m ə
cinismes	s i n 'i z m ə s
cinquanta	s i ŋ k w 'a n t ə
cinquantes	s i ŋ k w 'a n t ə s
cinquè	s i ŋ k 'ɛ
cinta	s 'i n t ə
cintes	s 'i n t ə s
cintura	s i n t 'u ɾ ə
cintures	s i n t 'u ɾ ə s
cinturilla	s i n t u ɾ 'i ʎ ə
cinturó	s i n t u ɾ 'o
cinturons	s i n t u ɾ 'o n s
ciprés	s i p ɾ 'e s
Cir	s 'i r
circ	s 'i r k
circadiari	s i r k ə ð i 'a ɾ i
círcol	s 'i r k u l
círcols	s 'i r k u l s
circs	s 'i r k s
circuit	s i r k 'u j t
circuits	s i r k 'u j t s
circulació	s i r k u l ə s i 'o
circulacions	s i r k u l ə s i 'o n s
